Cluster_ID	Genes	Maize_Gene	Best_Sb	Best_Sb_dS	Best_Os	Best_Os_dS
Cluster_0028	Zm00008a037981,Zm00008a037980	Zm00008a037980	Sobic.006G096300.1	0.1602	NA	NA
Cluster_0028	Zm00008a037981,Zm00008a037980	Zm00008a037981	Sobic.006G096400.1	0.4366	NA	NA
Cluster_0029	Zm00008a037991,Zm00008a037992	Zm00008a037992	Sobic.006G097500.1	0.1754	NA	NA
Cluster_0032	Zm00008a038018,Zm00008a038017	Zm00008a038017	Sobic.006G102800.1	0.5605	NA	NA
Cluster_0034	Zm00008a038033,Zm00008a038044	Zm00008a038044	Sobic.006G105900.1	1.1340	OS04T0459500-02	3.5420
Cluster_0038	Zm00008a038111,Zm00008a038100,Zm00008a038112	Zm00008a038100	Sobic.006G116200.1	0.3104	NA	NA
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125	Zm00008a038123	Sobic.006G123100.1	0.3062	NA	NA
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125	Zm00008a038125	Sobic.006G123200.1	0.2553	OS04T0481900-00	0.8154
Cluster_0041	Zm00008a038128,Zm00008a038127	Zm00008a038128	Sobic.006G123900.1	0.1936	OS06T0304500-01	1.6723
Cluster_0042	Zm00008a038136,Zm00008a038135	Zm00008a038135	Sobic.006G126100.1	0.1954	OS04T0485100-01	0.7003
Cluster_0044	Zm00008a036599,Zm00008a036598	Zm00008a036599	Sobic.008G032000.1	0.3052	OS11T0113700-01	0.7309
Cluster_0048	Zm00008a036287,Zm00008a036279	Zm00008a036279	Sobic.008G003600.1	0.3409	NA	NA
Cluster_0048	Zm00008a036287,Zm00008a036279	Zm00008a036287	Sobic.005G004800.1	1.8890	NA	NA
Cluster_0049	Zm00008a038208,Zm00008a038210	Zm00008a038210	Sobic.006G140300.1	0.2035	NA	NA
Cluster_0051	Zm00008a038214,Zm00008a038213	Zm00008a038214	Sobic.006G140600.1	0.1507	NA	NA
Cluster_0052	Zm00008a038235,Zm00008a038236	Zm00008a038235	Sobic.006G146200.1	0.4094	NA	NA
Cluster_0052	Zm00008a038235,Zm00008a038236	Zm00008a038236	Sobic.006G146000.1	0.3930	NA	NA
Cluster_0053	Zm00008a038238,Zm00008a038239	Zm00008a038239	Sobic.006G144900.1	0.3452	NA	NA
Cluster_0058	Zm00008a038285,Zm00008a038286	Zm00008a038285	Sobic.001G040701.1	0.6077	NA	NA
Cluster_0058	Zm00008a038285,Zm00008a038286	Zm00008a038286	Sobic.007G149600.1	2.7759	NA	NA
Cluster_0060	Zm00008a038289,Zm00008a038288	Zm00008a038289	Sobic.006G157500.1	0.1790	OS04T0530500-01	0.7547
Cluster_0061	Zm00008a038296,Zm00008a038294,Zm00008a038295	Zm00008a038295	Sobic.006G158200.1	0.5111	NA	NA
Cluster_0062	Zm00008a038297,Zm00008a038298,Zm00008a038299	Zm00008a038298	Sobic.006G158400.1	0.3159	NA	NA
Cluster_0062	Zm00008a038297,Zm00008a038298,Zm00008a038299	Zm00008a038299	Sobic.006G158800.1	0.4704	NA	NA
Cluster_0064	Zm00008a038354,Zm00008a038353,Zm00008a038352	Zm00008a038352	Sobic.010G086400.2	0.9621	OS06T0218300-01	2.0935
Cluster_0064	Zm00008a038354,Zm00008a038353,Zm00008a038352	Zm00008a038354	Sobic.006G189700.1	0.2933	NA	NA
Cluster_0066	Zm00008a038374,Zm00008a038373	Zm00008a038373	Sobic.006G194000.1	0.3524	NA	NA
Cluster_0071	Zm00008a038449,Zm00008a038448	Zm00008a038449	Sobic.006G180200.1	0.4906	NA	NA
Cluster_0073	Zm00008a038461,Zm00008a038460	Zm00008a038460	Sobic.006G178300.2	0.7015	NA	NA
Cluster_0073	Zm00008a038461,Zm00008a038460	Zm00008a038461	Sobic.006G178200.1	0.5379	NA	NA
Cluster_0074	Zm00008a038465,Zm00008a038466	Zm00008a038466	Sobic.006G176200.1	0.3169	NA	NA
Cluster_0075	Zm00008a038472,Zm00008a038471	Zm00008a038472	Sobic.010G039500.1	0.1153	NA	NA
Cluster_0077	Zm00008a038487,Zm00008a038486	Zm00008a038486	Sobic.006G172400.1	0.2945	OS04T0554300-00	0.8542
Cluster_0078	Zm00008a038489,Zm00008a038488	Zm00008a038488	Sobic.006G172200.2	0.1624	NA	NA
Cluster_0079	Zm00008a038492,Zm00008a038493	Zm00008a038492	Sobic.006G171300.1	0.2773	OS04T0552200-00	1.4182
Cluster_0079	Zm00008a038492,Zm00008a038493	Zm00008a038493	Sobic.006G171200.1	0.4236	OS05T0246300-01	1.9409
Cluster_0081	Zm00008a038506,Zm00008a038507	Zm00008a038507	Sobic.006G170500.2	0.4434	NA	NA
Cluster_0083	Zm00008a038511,Zm00008a038517	Zm00008a038511	Sobic.006G169900.1	0.5303	NA	NA
Cluster_0083	Zm00008a038511,Zm00008a038517	Zm00008a038517	Sobic.006G167800.3	0.4009	OS04T0546800-01	1.2474
Cluster_0084	Zm00008a038513,Zm00008a038514	Zm00008a038513	Sobic.006G169700.1	0.2421	NA	NA
Cluster_0085	Zm00008a038552,Zm00008a038551,Zm00008a038550,Zm00008a038549	Zm00008a038551	Sobic.007G157200.1	1.3548	NA	NA
Cluster_0086	Zm00008a038561,Zm00008a038562	Zm00008a038561	Sobic.006G205600.1	0.5385	NA	NA
Cluster_0086	Zm00008a038561,Zm00008a038562	Zm00008a038562	Sobic.006G205700.1	0.2667	NA	NA
Cluster_0087	Zm00008a036289,Zm00008a036291	Zm00008a036289	Sobic.008G009100.1	0.4589	NA	NA
Cluster_0087	Zm00008a036289,Zm00008a036291	Zm00008a036291	Sobic.008G009200.1	0.7500	NA	NA
Cluster_0090	Zm00008a038603,Zm00008a038604	Zm00008a038603	Sobic.006G215000.1	0.1998	NA	NA
Cluster_0094	Zm00008a038656,Zm00008a038657,Zm00008a038659	Zm00008a038656	Sobic.006G226700.1	0.5763	NA	NA
Cluster_0094	Zm00008a038656,Zm00008a038657,Zm00008a038659	Zm00008a038657	Sobic.006G227300.1	0.5693	NA	NA
Cluster_0097	Zm00008a038726,Zm00008a038725	Zm00008a038726	Sobic.006G242300.1	0.5559	NA	NA
Cluster_0098	Zm00008a038746,Zm00008a038747	Zm00008a038746	Sobic.001G267500.1	0.3486	NA	NA
Cluster_0099	Zm00008a038760,Zm00008a038761	Zm00008a038761	Sobic.006G247700.1	0.4786	OS04T0656500-01	1.7671
Cluster_0100	Zm00008a038775,Zm00008a038777,Zm00008a038776	Zm00008a038775	Sobic.006G251400.1	0.3251	OS04T0661100-00	0.6130
Cluster_0103	Zm00008a038807,Zm00008a038809,Zm00008a038808	Zm00008a038808	Sobic.006G258600.2	0.0945	NA	NA
Cluster_0105	Zm00008a038830,Zm00008a038831	Zm00008a038830	Sobic.006G262300.1	0.2536	OS01T0551400-00	1.1862
Cluster_0106	Zm00008a038869,Zm00008a038868	Zm00008a038868	Sobic.006G270800.1	0.4352	OS04T0681500-01	1.7082
Cluster_0108	Zm00008a038890,Zm00008a038888	Zm00008a038890	Sobic.006G274000.1	0.3984	OS04T0685000-01	3.3753
Cluster_0111	Zm00008a038898,Zm00008a038897	Zm00008a038897	Sobic.006G274866.1	0.4864	NA	NA
Cluster_0113	Zm00008a038921,Zm00008a038922	Zm00008a038921	Sobic.006G116300.2	0.3576	NA	NA
Cluster_0114	Zm00008a036633,Zm00008a036631	Zm00008a036631	Sobic.008G094400.1	0.5216	NA	NA
Cluster_0114	Zm00008a036633,Zm00008a036631	Zm00008a036633	Sobic.008G094300.1	0.6463	NA	NA
Cluster_0117	Zm00008a036650,Zm00008a036652	Zm00008a036650	Sobic.008G062300.1	0.0752	OS12T0183200-00	0.5562
Cluster_0117	Zm00008a036650,Zm00008a036652	Zm00008a036652	Sobic.008G062400.1	0.1482	NA	NA
Cluster_0118	Zm00008a036672,Zm00008a036669,Zm00008a036670,Zm00008a036667,Zm00008a036673	Zm00008a036673	Sobic.008G104400.1	0.2163	OS12T0502700-01	0.7291
Cluster_0119	Zm00008a036678,Zm00008a036679	Zm00008a036679	Sobic.008G104000.1	0.1701	OS12T0502300-01	0.5606
Cluster_0120	Zm00008a036681,Zm00008a036680	Zm00008a036680	Sobic.008G103800.1	0.1365	NA	NA
Cluster_0123	Zm00008a036706,Zm00008a036705	Zm00008a036706	Sobic.005G104800.1	0.2589	NA	NA
Cluster_0124	Zm00008a036311,Zm00008a036309	Zm00008a036309	Sobic.008G012700.1	1.7826	NA	NA
Cluster_0124	Zm00008a036311,Zm00008a036309	Zm00008a036311	Sobic.008G012800.2	0.3968	OS11T0141500-00	3.5145
Cluster_0125	Zm00008a036713,Zm00008a036712	Zm00008a036713	Sobic.K001900.1	0.1036	NA	NA
Cluster_0127	Zm00008a036303,Zm00008a036315	Zm00008a036303	Sobic.008G011200.1	0.4056	NA	NA
Cluster_0127	Zm00008a036303,Zm00008a036315	Zm00008a036315	Sobic.008G013800.1	0.7744	NA	NA
Cluster_0128	Zm00008a036318,Zm00008a036316	Zm00008a036316	Sobic.008G014000.1	0.6507	NA	NA
Cluster_0131	Zm00008a036744,Zm00008a036745	Zm00008a036745	Sobic.010G184900.1	0.1120	NA	NA
Cluster_0133	Zm00008a036761,Zm00008a036763	Zm00008a036763	Sobic.008G123000.1	0.1212	NA	NA
Cluster_0136	Zm00008a036773,Zm00008a036757	Zm00008a036757	Sobic.008G118600.1	0.6379	NA	NA
Cluster_0137	Zm00008a036779,Zm00008a036778,Zm00008a036782,Zm00008a036780,Zm00008a036781	Zm00008a036779	Sobic.008G117600.2	0.3956	NA	NA
Cluster_0138	Zm00008a036803,Zm00008a036805,Zm00008a036804	Zm00008a036805	Sobic.008G113900.1	0.2740	NA	NA
Cluster_0139	Zm00008a036807,Zm00008a036806	Zm00008a036807	Sobic.008G113700.1	0.3494	NA	NA
Cluster_0140	Zm00008a036342,Zm00008a036343	Zm00008a036342	Sobic.008G019400.1	0.6706	NA	NA
Cluster_0142	Zm00008a036347,Zm00008a036349	Zm00008a036347	Sobic.008G020300.1	0.5388	NA	NA
Cluster_0143	Zm00008a036353,Zm00008a036352	Zm00008a036352	Sobic.008G021000.1	0.2649	NA	NA
Cluster_0144	Zm00008a036829,Zm00008a036826	Zm00008a036826	Sobic.008G111300.2	0.5055	OS12T0514000-01	1.5339
Cluster_0144	Zm00008a036829,Zm00008a036826	Zm00008a036829	Sobic.008G111100.1	0.5713	NA	NA
Cluster_0146	Zm00008a036368,Zm00008a036369,Zm00008a036371,Zm00008a036370	Zm00008a036369	Sobic.008G026200.1	0.3587	OS02T0262800-01	1.1535
Cluster_0147	Zm00008a036866,Zm00008a036864,Zm00008a036863	Zm00008a036863	Sobic.008G079800.1	0.5034	NA	NA
Cluster_0154	Zm00008a036898,Zm00008a036897	Zm00008a036897	Sobic.008G083000.3	0.3541	OS12T0233400-01	0.7218
Cluster_0156	Zm00008a036389,Zm00008a036385	Zm00008a036385	Sobic.008G028400.1	0.2670	NA	NA
Cluster_0156	Zm00008a036389,Zm00008a036385	Zm00008a036389	Sobic.008G028800.1	0.5084	OS10T0558600-00	nan
Cluster_0158	Zm00008a036391,Zm00008a036390,Zm00008a036392,Zm00008a036387	Zm00008a036390	Sobic.008G029500.1	0.1578	NA	NA
Cluster_0158	Zm00008a036391,Zm00008a036390,Zm00008a036392,Zm00008a036387	Zm00008a036392	Sobic.008G029800.1	0.1295	NA	NA
Cluster_0159	Zm00008a036394,Zm00008a036384	Zm00008a036384	Sobic.010G231400.1	0.9644	OS12T0432600-01	1.4461
Cluster_0159	Zm00008a036394,Zm00008a036384	Zm00008a036394	Sobic.008G030200.2	0.5913	NA	NA
Cluster_0160	Zm00008a036399,Zm00008a036405,Zm00008a036404,Zm00008a036406,Zm00008a036401,Zm00008a036400,Zm00008a036402	Zm00008a036400	Sobic.008G032000.1	0.2823	NA	NA
Cluster_0160	Zm00008a036399,Zm00008a036405,Zm00008a036404,Zm00008a036406,Zm00008a036401,Zm00008a036400,Zm00008a036402	Zm00008a036406	NA	NA	OS11T0113700-01	0.6377
Cluster_0163	Zm00008a036421,Zm00008a036420	Zm00008a036421	Sobic.008G034700.1	0.9428	NA	NA
Cluster_0165	Zm00008a036427,Zm00008a036440,Zm00008a036426	Zm00008a036426	Sobic.008G035800.1	1.0655	NA	NA
Cluster_0165	Zm00008a036427,Zm00008a036440,Zm00008a036426	Zm00008a036427	Sobic.008G035700.1	0.5473	NA	NA
Cluster_0166	Zm00008a036438,Zm00008a036433	Zm00008a036433	Sobic.008G036900.1	0.5954	NA	NA
Cluster_0167	Zm00008a036435,Zm00008a036436	Zm00008a036436	Sobic.008G037100.1	0.8075	NA	NA
Cluster_0170	Zm00008a036439,Zm00008a036432	Zm00008a036439	Sobic.008G036000.1	0.8700	NA	NA
Cluster_0171	Zm00008a037011,Zm00008a037010,Zm00008a037013,Zm00008a037029,Zm00008a037016	Zm00008a037029	Sobic.007G064800.1	0.3464	NA	NA
Cluster_0172	Zm00008a037017,Zm00008a037005	Zm00008a037005	Sobic.007G092000.1	0.3405	NA	NA
Cluster_0172	Zm00008a037017,Zm00008a037005	Zm00008a037017	Sobic.007G062100.1	0.2622	NA	NA
Cluster_0174	Zm00008a037021,Zm00008a037022	Zm00008a037022	Sobic.007G062200.1	0.2285	OS08T0179400-00	1.0700
Cluster_0175	Zm00008a036458,Zm00008a036469	Zm00008a036458	Sobic.008G040300.1	0.1278	OS11T0153900-01	0.6508
Cluster_0177	Zm00008a037039,Zm00008a037037,Zm00008a037043,Zm00008a037041	Zm00008a037037	Sobic.007G065900.1	0.1902	OS12T0154800-00	0.5756
Cluster_0177	Zm00008a037039,Zm00008a037037,Zm00008a037043,Zm00008a037041	Zm00008a037039	NA	NA	OS12T0155000-00	0.7560
Cluster_0178	Zm00008a037057,Zm00008a037056	Zm00008a037056	Sobic.007G069101.1	0.2870	OS03T0624800-01	0.9655
Cluster_0179	Zm00008a037062,Zm00008a037070	Zm00008a037070	Sobic.007G090451.1	0.8115	NA	NA
Cluster_0180	Zm00008a037101,Zm00008a037100	Zm00008a037100	Sobic.007G076100.1	0.4256	NA	NA
Cluster_0181	Zm00008a037108,Zm00008a037107,Zm00008a037106	Zm00008a037107	Sobic.007G077532.1	0.4843	NA	NA
Cluster_0181	Zm00008a037108,Zm00008a037107,Zm00008a037106	Zm00008a037108	Sobic.007G077466.1	0.2878	NA	NA
Cluster_0185	Zm00008a037128,Zm00008a037131	Zm00008a037131	Sobic.007G082500.1	0.3430	NA	NA
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037148	Sobic.007G085600.1	0.6937	OS08T0237800-00	1.8424
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037152	Sobic.007G090460.1	0.7914	NA	NA
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037154	Sobic.007G090436.1	1.5386	NA	NA
Cluster_0189	Zm00008a036484,Zm00008a036486	Zm00008a036486	Sobic.008G043600.1	0.0978	NA	NA
Cluster_0190	Zm00008a037163,Zm00008a037162	Zm00008a037162	Sobic.010G235200.2	0.1837	OS07T0530300-01	0.7593
Cluster_0192	Zm00008a037205,Zm00008a037206	Zm00008a037205	Sobic.007G056900.1	0.1614	NA	NA
Cluster_0195	Zm00008a036497,Zm00008a036498	Zm00008a036497	Sobic.008G045450.1	0.5732	NA	NA
Cluster_0196	Zm00008a036270,Zm00008a036271	Zm00008a036271	Sobic.008G002400.1	0.2280	OS12T0104300-01	0.6156
Cluster_0197	Zm00008a037222,Zm00008a037223	Zm00008a037222	Sobic.002G117000.1	0.1617	OS07T0418200-01	0.6413
Cluster_0199	Zm00008a036501,Zm00008a036502	Zm00008a036501	Sobic.008G046500.1	0.1500	NA	NA
Cluster_0199	Zm00008a036501,Zm00008a036502	Zm00008a036502	Sobic.004G146400.1	0.7922	NA	NA
Cluster_0202	Zm00008a037270,Zm00008a037269	Zm00008a037269	Sobic.007G047400.1	0.1143	NA	NA
Cluster_0203	Zm00008a037279,Zm00008a037275,Zm00008a037277	Zm00008a037279	Sobic.003G211233.1	nan	NA	NA
Cluster_0204	Zm00008a037281,Zm00008a037287	Zm00008a037281	Sobic.007G046100.1	0.9577	NA	NA
Cluster_0206	Zm00008a037301,Zm00008a037300,Zm00008a037299	Zm00008a037300	Sobic.007G043300.2	0.4520	NA	NA
Cluster_0207	Zm00008a037309,Zm00008a037310	Zm00008a037309	Sobic.007G042400.1	0.1295	NA	NA
Cluster_0209	Zm00008a037327,Zm00008a037326	Zm00008a037327	Sobic.007G039300.1	0.1500	OS10T0181700-01	0.7100
Cluster_0210	Zm00008a037334,Zm00008a037333	Zm00008a037333	Sobic.007G038500.1	0.4624	OS08T0151900-00	1.1760
Cluster_0213	Zm00008a037347,Zm00008a037348	Zm00008a037347	Sobic.007G035300.1	0.9535	NA	NA
Cluster_0213	Zm00008a037347,Zm00008a037348	Zm00008a037348	Sobic.007G035500.1	0.9461	NA	NA
Cluster_0215	Zm00008a036513,Zm00008a036506	Zm00008a036506	NA	NA	OS12T0163600-01	0.8277
Cluster_0215	Zm00008a036513,Zm00008a036506	Zm00008a036513	Sobic.008G047100.1	0.2087	NA	NA
Cluster_0219	Zm00008a036516,Zm00008a036515	Zm00008a036515	Sobic.008G048200.1	0.4804	NA	NA
Cluster_0222	Zm00008a037402,Zm00008a037401	Zm00008a037402	Sobic.009G031400.1	0.3040	NA	NA
Cluster_0223	Zm00008a037406,Zm00008a037407	Zm00008a037406	Sobic.009G031900.1	1.1020	NA	NA
Cluster_0224	Zm00008a037410,Zm00008a037409	Zm00008a037409	Sobic.009G032400.1	0.8282	NA	NA
Cluster_0225	Zm00008a037434,Zm00008a037418	Zm00008a037418	Sobic.009G033100.2	0.2396	OS01T0310800-01	0.6458
Cluster_0225	Zm00008a037434,Zm00008a037418	Zm00008a037434	Sobic.009G033700.1	0.2650	OS05T0135800-01	0.7362
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037411	Sobic.009G032600.1	2.7511	NA	NA
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037415	Sobic.009G032800.1	0.9087	OS05T0135000-01	3.0917
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037416	Sobic.009G032900.1	1.0465	NA	NA
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037428	Sobic.009G033300.2	0.6083	NA	NA
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037430	Sobic.009G033500.1	0.4354	NA	NA
Cluster_0228	Zm00008a037437,Zm00008a037439,Zm00008a037438	Zm00008a037437	Sobic.009G034100.1	0.1194	NA	NA
Cluster_0231	Zm00008a037440,Zm00008a037455,Zm00008a037456	Zm00008a037440	Sobic.009G034200.3	0.6233	NA	NA
Cluster_0231	Zm00008a037440,Zm00008a037455,Zm00008a037456	Zm00008a037456	Sobic.009G035700.1	0.3606	NA	NA
Cluster_0232	Zm00008a036522,Zm00008a036524	Zm00008a036524	Sobic.008G050100.1	0.1452	NA	NA
Cluster_0233	Zm00008a037458,Zm00008a037457	Zm00008a037457	Sobic.K024500.1	0.5455	NA	NA
Cluster_0235	Zm00008a037478,Zm00008a037480	Zm00008a037478	Sobic.009G039600.1	0.2382	OS06T0173800-00	1.8168
Cluster_0238	Zm00008a037502,Zm00008a037498,Zm00008a037501,Zm00008a037500	Zm00008a037500	NA	NA	OS05T0149400-01	1.4924
Cluster_0238	Zm00008a037502,Zm00008a037498,Zm00008a037501,Zm00008a037500	Zm00008a037502	Sobic.009G044400.1	0.6089	NA	NA
Cluster_0239	Zm00008a037512,Zm00008a037514	Zm00008a037512	Sobic.006G015400.1	0.4002	NA	NA
Cluster_0239	Zm00008a037512,Zm00008a037514	Zm00008a037514	Sobic.006G015300.1	0.7700	NA	NA
Cluster_0240	Zm00008a036531,Zm00008a036533,Zm00008a036532,Zm00008a036534	Zm00008a036531	Sobic.008G051400.2	nan	NA	NA
Cluster_0240	Zm00008a036531,Zm00008a036533,Zm00008a036532,Zm00008a036534	Zm00008a036534	NA	NA	OS12T0168800-01	0.7797
Cluster_0241	Zm00008a037536,Zm00008a037535	Zm00008a037536	Sobic.006G004600.2	0.3316	NA	NA
Cluster_0243	Zm00008a036539,Zm00008a036541,Zm00008a036540,Zm00008a036545,Zm00008a036550	Zm00008a036539	Sobic.008G052500.1	0.5255	NA	NA
Cluster_0243	Zm00008a036539,Zm00008a036541,Zm00008a036540,Zm00008a036545,Zm00008a036550	Zm00008a036550	Sobic.008G053800.1	0.3480	NA	NA
Cluster_0245	Zm00008a037567,Zm00008a037566	Zm00008a037566	Sobic.006G002100.1	0.2714	NA	NA
Cluster_0245	Zm00008a037567,Zm00008a037566	Zm00008a037567	Sobic.006G002000.4	0.1609	OS04T0102500-01	0.7326
Cluster_0247	Zm00008a037570,Zm00008a037571	Zm00008a037571	Sobic.006G001000.1	0.7264	NA	NA
Cluster_0249	Zm00008a037576,Zm00008a037577	Zm00008a037577	Sobic.006G000100.1	0.2045	OS06T0303400-00	0.5584
Cluster_0250	Zm00008a037585,Zm00008a037584	Zm00008a037584	Sobic.003G192600.1	0.3989	NA	NA
Cluster_0250	Zm00008a037585,Zm00008a037584	Zm00008a037585	Sobic.003G192400.1	0.1560	OS01T0117700-00	1.1575
Cluster_0251	Zm00008a037590,Zm00008a037589	Zm00008a037590	Sobic.001G010800.1	0.0791	OS04T0303900-01	0.7252
Cluster_0254	Zm00008a037615,Zm00008a037614	Zm00008a037614	Sobic.003G168600.1	0.4411	NA	NA
Cluster_0255	Zm00008a037629,Zm00008a037632	Zm00008a037629	Sobic.006G029200.1	0.2696	NA	NA
Cluster_0255	Zm00008a037629,Zm00008a037632	Zm00008a037632	Sobic.006G028600.1	0.4731	OS04T0182300-00	1.5196
Cluster_0256	Zm00008a036552,Zm00008a036551	Zm00008a036551	Sobic.008G054000.1	0.2243	NA	NA
Cluster_0258	Zm00008a037644,Zm00008a037645	Zm00008a037644	Sobic.006G024000.1	0.2590	OS04T0206600-01	1.3514
Cluster_0259	Zm00008a037655,Zm00008a037646	Zm00008a037646	Sobic.006G022800.1	0.9883	NA	NA
Cluster_0261	Zm00008a002189,Zm00008a002190	Zm00008a002190	Sobic.007G115000.3	0.3660	NA	NA
Cluster_0263	Zm00008a002201,Zm00008a002203	Zm00008a002201	Sobic.001G285200.2	0.1810	NA	NA
Cluster_0263	Zm00008a002201,Zm00008a002203	Zm00008a002203	Sobic.001G285100.2	0.2717	OS10T0577100-00	1.0165
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000334	Sobic.001G506900.1	0.3162	NA	NA
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000335	Sobic.001G506800.1	0.3467	NA	NA
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000336	Sobic.001G506600.1	0.5636	NA	NA
Cluster_0266	Zm00008a000341,Zm00008a000340	Zm00008a000340	Sobic.001G506000.1	0.3901	NA	NA
Cluster_0267	Zm00008a002226,Zm00008a002228	Zm00008a002228	Sobic.001G283100.1	0.2207	NA	NA
Cluster_0268	Zm00008a002231,Zm00008a002230	Zm00008a002230	Sobic.001G282800.1	0.1187	NA	NA
Cluster_0269	Zm00008a002237,Zm00008a002238	Zm00008a002237	Sobic.001G282400.1	0.3185	NA	NA
Cluster_0270	Zm00008a002253,Zm00008a002254	Zm00008a002253	Sobic.001G282000.1	0.2939	NA	NA
Cluster_0270	Zm00008a002253,Zm00008a002254	Zm00008a002254	Sobic.001G282100.1	0.1787	NA	NA
Cluster_0271	Zm00008a000350,Zm00008a000339	Zm00008a000339	Sobic.001G506100.1	0.2342	NA	NA
Cluster_0273	Zm00008a002275,Zm00008a002274	Zm00008a002275	Sobic.001G279800.1	0.2748	NA	NA
Cluster_0275	Zm00008a000022,Zm00008a000021	Zm00008a000021	Sobic.001G543900.1	0.1174	NA	NA
