Cluster_0000	Zm00001d025036,Zm00001d025037
Cluster_0093	Zm00001d023285,Zm00001d023288,Zm00001d023286,Zm00001d023289
Cluster_0095	Zm00001d023303,Zm00001d023304
Cluster_0096	Zm00001d023872,Zm00001d023869,Zm00001d023870,Zm00001d023873
Cluster_0097	Zm00001d023906,Zm00001d023903,Zm00001d023905,Zm00001d023907
Cluster_0098	Zm00001d023908,Zm00001d023904
Cluster_0102	Zm00001d023325,Zm00001d023320,Zm00001d023321,Zm00001d023329,Zm00001d023330,Zm00001d023318,Zm00001d023317,Zm00001d023323,Zm00001d023322
Cluster_0103	Zm00001d023327,Zm00001d023326
Cluster_0105	Zm00001d023337,Zm00001d023339
Cluster_0106	Zm00001d024018,Zm00001d024017,Zm00001d024016
Cluster_0107	Zm00001d023344,Zm00001d023343,Zm00001d023345
Cluster_0108	Zm00001d023349,Zm00001d023347
Cluster_0109	Zm00001d023213,Zm00001d023210
Cluster_0110	Zm00001d023365,Zm00001d023360,Zm00001d023353
Cluster_0111	Zm00001d023368,Zm00001d023369,Zm00001d023370
Cluster_0115	Zm00001d023400,Zm00001d023413
Cluster_0116	Zm00001d023405,Zm00001d023409
Cluster_0117	Zm00001d023410,Zm00001d023404
Cluster_0118	Zm00001d023411,Zm00001d023402
Cluster_0119	Zm00001d023418,Zm00001d023406,Zm00001d023398,Zm00001d023399,Zm00001d023417,Zm00001d023401,Zm00001d023412
Cluster_0122	Zm00001d024208,Zm00001d024207,Zm00001d024210,Zm00001d024211
Cluster_0123	Zm00001d023215,Zm00001d023216
Cluster_0124	Zm00001d024266,Zm00001d024265,Zm00001d024252
Cluster_0125	Zm00001d023217,Zm00001d023225
Cluster_0131	Zm00001d023472,Zm00001d023469
Cluster_0132	Zm00001d024392,Zm00001d024378,Zm00001d024386,Zm00001d024382,Zm00001d024379
Cluster_0133	Zm00001d023481,Zm00001d023493,Zm00001d023489,Zm00001d023490,Zm00001d023491,Zm00001d023483,Zm00001d023487,Zm00001d023484,Zm00001d023485,Zm00001d023486
Cluster_0134	Zm00001d024458,Zm00001d024454,Zm00001d024447
Cluster_0135	Zm00001d023494,Zm00001d023492
Cluster_0136	Zm00001d024486,Zm00001d024481,Zm00001d024478,Zm00001d024477,Zm00001d024480,Zm00001d024479
Cluster_0142	Zm00001d023506,Zm00001d023504
Cluster_0143	Zm00001d024562,Zm00001d024554,Zm00001d024558,Zm00001d024565,Zm00001d024559
Cluster_0147	Zm00001d024595,Zm00001d024594
Cluster_0148	Zm00001d024607,Zm00001d024610
Cluster_0149	Zm00001d024617,Zm00001d024619,Zm00001d024615
Cluster_0150	Zm00001d024627,Zm00001d024628
Cluster_0151	Zm00001d024651,Zm00001d024653,Zm00001d024657
Cluster_0152	Zm00001d024664,Zm00001d024665
Cluster_0153	Zm00001d024667,Zm00001d024669
Cluster_0154	Zm00001d024694,Zm00001d024693,Zm00001d024697,Zm00001d024695
Cluster_0157	Zm00001d024725,Zm00001d024726
Cluster_0158	Zm00001d024734,Zm00001d024738,Zm00001d024735,Zm00001d024740
Cluster_0160	Zm00001d024752,Zm00001d024753,Zm00001d024745,Zm00001d024751,Zm00001d024749,Zm00001d024750
Cluster_0162	Zm00001d024759,Zm00001d024760,Zm00001d024761
Cluster_0164	Zm00001d024810,Zm00001d024814,Zm00001d024809
Cluster_0165	Zm00001d024844,Zm00001d024849
Cluster_0166	Zm00001d024853,Zm00001d024850,Zm00001d024851,Zm00001d024852,Zm00001d024843
Cluster_0167	Zm00001d024871,Zm00001d024867
Cluster_0168	Zm00001d024895,Zm00001d024894
Cluster_0169	Zm00001d024897,Zm00001d024900
Cluster_0171	Zm00001d023541,Zm00001d023539,Zm00001d023540
Cluster_0172	Zm00001d024946,Zm00001d024943
Cluster_0174	Zm00001d024979,Zm00001d024978,Zm00001d024977
Cluster_0175	Zm00001d023548,Zm00001d023554,Zm00001d023551
Cluster_0179	Zm00001d030130,Zm00001d030127
Cluster_0184	Zm00001d027686,Zm00001d027687
Cluster_0185	Zm00001d030207,Zm00001d030208
Cluster_0186	Zm00001d030213,Zm00001d030212,Zm00001d030218
Cluster_0187	Zm00001d030234,Zm00001d030233,Zm00001d030235
Cluster_0189	Zm00001d030275,Zm00001d030276,Zm00001d030277,Zm00001d030274
Cluster_0190	Zm00001d030282,Zm00001d030270,Zm00001d030285,Zm00001d030269
Cluster_0196	Zm00001d030347,Zm00001d030348
Cluster_0200	Zm00001d030502,Zm00001d030501
Cluster_0202	Zm00001d030534,Zm00001d030536,Zm00001d030535
Cluster_0205	Zm00001d030587,Zm00001d030588
Cluster_0207	Zm00001d030680,Zm00001d030679
Cluster_0209	Zm00001d030720,Zm00001d030707
Cluster_0211	Zm00001d030782,Zm00001d030780,Zm00001d030781
Cluster_0212	Zm00001d030801,Zm00001d030803
Cluster_0213	Zm00001d030819,Zm00001d030813,Zm00001d030818,Zm00001d030822,Zm00001d030814,Zm00001d030824,Zm00001d030821
Cluster_0216	Zm00001d030856,Zm00001d030845,Zm00001d030851
Cluster_0218	Zm00001d030908,Zm00001d030907,Zm00001d030909
Cluster_0221	Zm00001d030947,Zm00001d030950
Cluster_0222	Zm00001d030971,Zm00001d030972
Cluster_0223	Zm00001d027900,Zm00001d027901,Zm00001d027899
Cluster_0225	Zm00001d031023,Zm00001d031020,Zm00001d031022
Cluster_0226	Zm00001d031078,Zm00001d031077
Cluster_0227	Zm00001d027925,Zm00001d027924,Zm00001d027929,Zm00001d027928
Cluster_0229	Zm00001d031155,Zm00001d031157,Zm00001d031158,Zm00001d031152
Cluster_0230	Zm00001d027946,Zm00001d027948
Cluster_0231	Zm00001d027947,Zm00001d027949
Cluster_0232	Zm00001d031204,Zm00001d031203
Cluster_0234	Zm00001d027954,Zm00001d027956
Cluster_0235	Zm00001d027957,Zm00001d027955
Cluster_0236	Zm00001d031281,Zm00001d031280
Cluster_0237	Zm00001d031303,Zm00001d031300
Cluster_0238	Zm00001d031305,Zm00001d031306
Cluster_0240	Zm00001d031338,Zm00001d031351,Zm00001d031395,Zm00001d031407,Zm00001d031366,Zm00001d031372,Zm00001d031384,Zm00001d031381
Cluster_0242	Zm00001d031345,Zm00001d031346
Cluster_0243	Zm00001d031359,Zm00001d031377,Zm00001d031398
Cluster_0244	Zm00001d031380,Zm00001d031367,Zm00001d031375,Zm00001d031409,Zm00001d031404,Zm00001d031396,Zm00001d031410
Cluster_0245	Zm00001d031402,Zm00001d031379,Zm00001d031349,Zm00001d031364,Zm00001d031403
Cluster_0249	Zm00001d027978,Zm00001d027979
Cluster_0251	Zm00001d031501,Zm00001d031499,Zm00001d031498,Zm00001d031500
Cluster_0253	Zm00001d031549,Zm00001d031550
Cluster_0256	Zm00001d031605,Zm00001d031604
Cluster_0258	Zm00001d031620,Zm00001d031626,Zm00001d031625
Cluster_0263	Zm00001d031670,Zm00001d031671
Cluster_0267	Zm00001d031771,Zm00001d031772
Cluster_0268	Zm00001d031779,Zm00001d031778
Cluster_0269	Zm00001d028009,Zm00001d028008
Cluster_0270	Zm00001d031805,Zm00001d031801,Zm00001d031804,Zm00001d031800
Cluster_0271	Zm00001d031814,Zm00001d031815,Zm00001d031813,Zm00001d031811
Cluster_0275	Zm00001d031904,Zm00001d031906,Zm00001d031907
Cluster_0276	Zm00001d031945,Zm00001d031951,Zm00001d031953
Cluster_0277	Zm00001d031949,Zm00001d031952,Zm00001d031946,Zm00001d031954
Cluster_0278	Zm00001d031956,Zm00001d031957
Cluster_0279	Zm00001d031986,Zm00001d031988
Cluster_0281	Zm00001d032004,Zm00001d032003,Zm00001d032000
Cluster_0284	Zm00001d032048,Zm00001d032047
Cluster_0285	Zm00001d032053,Zm00001d032054
Cluster_0286	Zm00001d032088,Zm00001d032094,Zm00001d032091
Cluster_0288	Zm00001d032166,Zm00001d032168,Zm00001d032170
Cluster_0290	Zm00001d032179,Zm00001d032178
Cluster_0296	Zm00001d032391,Zm00001d032392,Zm00001d032394
Cluster_0300	Zm00001d032459,Zm00001d032458,Zm00001d032467,Zm00001d032468
Cluster_0302	Zm00001d032492,Zm00001d032491
Cluster_0307	Zm00001d032550,Zm00001d032557
Cluster_0308	Zm00001d032556,Zm00001d032548
Cluster_0311	Zm00001d032630,Zm00001d032624,Zm00001d032626,Zm00001d032631,Zm00001d032628,Zm00001d032629
Cluster_0312	Zm00001d028115,Zm00001d028116
Cluster_0314	Zm00001d032721,Zm00001d032719
Cluster_0317	Zm00001d032747,Zm00001d032745,Zm00001d032746
Cluster_0320	Zm00001d032794,Zm00001d032797,Zm00001d032795,Zm00001d032791
Cluster_0322	Zm00001d032843,Zm00001d032847
Cluster_0323	Zm00001d032870,Zm00001d032868,Zm00001d032869
Cluster_0324	Zm00001d032883,Zm00001d032881,Zm00001d032882,Zm00001d032876,Zm00001d032884,Zm00001d032886,Zm00001d032885
Cluster_0325	Zm00001d028151,Zm00001d028144
Cluster_0328	Zm00001d032942,Zm00001d032943
Cluster_0329	Zm00001d032947,Zm00001d032946
Cluster_0331	Zm00001d032987,Zm00001d032985,Zm00001d032988
Cluster_0333	Zm00001d033030,Zm00001d033029
Cluster_0335	Zm00001d033063,Zm00001d033061,Zm00001d033062
Cluster_0336	Zm00001d033068,Zm00001d033066,Zm00001d033067,Zm00001d033071
Cluster_0341	Zm00001d033132,Zm00001d033136
Cluster_0342	Zm00001d033154,Zm00001d033156
Cluster_0344	Zm00001d033190,Zm00001d033189
Cluster_0345	Zm00001d033201,Zm00001d033200,Zm00001d033195,Zm00001d033196
Cluster_0346	Zm00001d033207,Zm00001d033208
Cluster_0347	Zm00001d033247,Zm00001d033248,Zm00001d033252,Zm00001d033250
Cluster_0348	Zm00001d033256,Zm00001d033254
Cluster_0350	Zm00001d033314,Zm00001d033315,Zm00001d033313
Cluster_0351	Zm00001d033348,Zm00001d033351
Cluster_0352	Zm00001d033362,Zm00001d033360
Cluster_0353	Zm00001d033408,Zm00001d033409
Cluster_0354	Zm00001d033412,Zm00001d033407,Zm00001d033413
Cluster_0355	Zm00001d033415,Zm00001d033416
Cluster_0356	Zm00001d033436,Zm00001d033438,Zm00001d033433,Zm00001d033440,Zm00001d033434,Zm00001d033442,Zm00001d033430,Zm00001d033429
Cluster_0357	Zm00001d033462,Zm00001d033460,Zm00001d033463,Zm00001d033464
Cluster_0360	Zm00001d033530,Zm00001d033531
Cluster_0361	Zm00001d033535,Zm00001d033537
Cluster_0363	Zm00001d033571,Zm00001d033564
Cluster_0364	Zm00001d033606,Zm00001d033607
Cluster_0365	Zm00001d033624,Zm00001d033623
Cluster_0367	Zm00001d033651,Zm00001d033649,Zm00001d033650
Cluster_0369	Zm00001d033694,Zm00001d033689,Zm00001d033686
Cluster_0370	Zm00001d033710,Zm00001d033711,Zm00001d033709
Cluster_0371	Zm00001d033722,Zm00001d033721
Cluster_0373	Zm00001d033754,Zm00001d033765
Cluster_0374	Zm00001d033837,Zm00001d033836
Cluster_0376	Zm00001d033890,Zm00001d033892,Zm00001d033891
Cluster_0377	Zm00001d033897,Zm00001d033899
Cluster_0380	Zm00001d028252,Zm00001d028249
Cluster_0383	Zm00001d034043,Zm00001d034041,Zm00001d034040
Cluster_0384	Zm00001d034045,Zm00001d034047
Cluster_0385	Zm00001d034058,Zm00001d034057
Cluster_0386	Zm00001d034066,Zm00001d034068,Zm00001d034069,Zm00001d034067
Cluster_0387	Zm00001d034096,Zm00001d034107,Zm00001d034095,Zm00001d034097,Zm00001d034103,Zm00001d034104
Cluster_0390	Zm00001d034166,Zm00001d034164,Zm00001d034167,Zm00001d034165
Cluster_0391	Zm00001d034186,Zm00001d034184
Cluster_0392	Zm00001d034200,Zm00001d034201
Cluster_0395	Zm00001d034247,Zm00001d034246
Cluster_0399	Zm00001d034305,Zm00001d034307
Cluster_0400	Zm00001d034322,Zm00001d034324
Cluster_0401	Zm00001d034327,Zm00001d034331
Cluster_0405	Zm00001d034385,Zm00001d034387,Zm00001d034388
Cluster_0406	Zm00001d034417,Zm00001d034418,Zm00001d034419
Cluster_0407	Zm00001d034432,Zm00001d034431
Cluster_0408	Zm00001d034446,Zm00001d034454,Zm00001d034456
Cluster_0409	Zm00001d034452,Zm00001d034453
Cluster_0410	Zm00001d034457,Zm00001d034455,Zm00001d034447,Zm00001d034448
Cluster_0411	Zm00001d034460,Zm00001d034461
Cluster_0413	Zm00001d034489,Zm00001d034488
Cluster_0414	Zm00001d034521,Zm00001d034520
Cluster_0415	Zm00001d034542,Zm00001d034541,Zm00001d034540,Zm00001d034538
Cluster_0416	Zm00001d034552,Zm00001d034551
Cluster_0419	Zm00001d034641,Zm00001d034639,Zm00001d034642
Cluster_0421	Zm00001d034651,Zm00001d034653
Cluster_0424	Zm00001d034672,Zm00001d034671
Cluster_0426	Zm00001d034686,Zm00001d034687
Cluster_0428	Zm00001d034741,Zm00001d034742
Cluster_0431	Zm00001d034771,Zm00001d034773,Zm00001d034776
Cluster_0432	Zm00001d034803,Zm00001d034802
Cluster_0433	Zm00001d028312,Zm00001d028314,Zm00001d028315
Cluster_0434	Zm00001d034900,Zm00001d034904
Cluster_0438	Zm00001d034945,Zm00001d034946,Zm00001d034947
Cluster_0440	Zm00001d028348,Zm00001d028349,Zm00001d028347
Cluster_0444	Zm00001d028439,Zm00001d028455,Zm00001d028454,Zm00001d028453
Cluster_0446	Zm00001d028467,Zm00001d028465,Zm00001d028469
Cluster_0447	Zm00001d028495,Zm00001d028497
Cluster_0448	Zm00001d028525,Zm00001d028519
Cluster_0450	Zm00001d028561,Zm00001d028555,Zm00001d028557
Cluster_0451	Zm00001d028639,Zm00001d028630
Cluster_0458	Zm00001d028814,Zm00001d028815,Zm00001d028816
Cluster_0459	Zm00001d028823,Zm00001d028822,Zm00001d028821
Cluster_0460	Zm00001d028854,Zm00001d028842,Zm00001d028849,Zm00001d028845,Zm00001d028850
Cluster_0461	Zm00001d028887,Zm00001d028888
Cluster_0465	Zm00001d028999,Zm00001d028995
Cluster_0467	Zm00001d029085,Zm00001d029089
Cluster_0468	Zm00001d029090,Zm00001d029086
Cluster_0470	Zm00001d029108,Zm00001d029111,Zm00001d029117,Zm00001d029115
Cluster_0471	Zm00001d029109,Zm00001d029112
Cluster_0472	Zm00001d027472,Zm00001d027474,Zm00001d027475
Cluster_0473	Zm00001d029159,Zm00001d029157,Zm00001d029168,Zm00001d029146
Cluster_0474	Zm00001d029164,Zm00001d029154
Cluster_0476	Zm00001d029241,Zm00001d029243
Cluster_0477	Zm00001d029247,Zm00001d029246
Cluster_0479	Zm00001d029280,Zm00001d029279,Zm00001d029274,Zm00001d029275
Cluster_0480	Zm00001d029289,Zm00001d029288,Zm00001d029290
Cluster_0482	Zm00001d029318,Zm00001d029314,Zm00001d029321,Zm00001d029320,Zm00001d029319
Cluster_0483	Zm00001d029353,Zm00001d029356,Zm00001d029359
Cluster_0486	Zm00001d029389,Zm00001d029387,Zm00001d029388
Cluster_0488	Zm00001d029454,Zm00001d029451,Zm00001d029449
Cluster_0489	Zm00001d029457,Zm00001d029459
Cluster_0492	Zm00001d029489,Zm00001d029488
Cluster_0493	Zm00001d027524,Zm00001d027525
Cluster_0494	Zm00001d029520,Zm00001d029526,Zm00001d029519
Cluster_0495	Zm00001d029523,Zm00001d029522
Cluster_0497	Zm00001d027535,Zm00001d027534
Cluster_0499	Zm00001d029580,Zm00001d029581,Zm00001d029582
Cluster_0500	Zm00001d029587,Zm00001d029586,Zm00001d029589,Zm00001d029584
Cluster_0501	Zm00001d027539,Zm00001d027542,Zm00001d027540,Zm00001d027541
Cluster_0504	Zm00001d029628,Zm00001d029631,Zm00001d029630
Cluster_0506	Zm00001d029667,Zm00001d029668
Cluster_0507	Zm00001d027572,Zm00001d027570,Zm00001d027571
Cluster_0508	Zm00001d029701,Zm00001d029703,Zm00001d029699,Zm00001d029704,Zm00001d029696,Zm00001d029707,Zm00001d029708,Zm00001d029706,Zm00001d029700,Zm00001d029702
Cluster_0509	Zm00001d027578,Zm00001d027580
Cluster_0512	Zm00001d029798,Zm00001d029800,Zm00001d029792
Cluster_0513	Zm00001d029799,Zm00001d029801,Zm00001d029793
Cluster_0514	Zm00001d027601,Zm00001d027599,Zm00001d027605,Zm00001d027604
Cluster_0516	Zm00001d029857,Zm00001d029858,Zm00001d029859
Cluster_0518	Zm00001d029899,Zm00001d029906,Zm00001d029903,Zm00001d029913,Zm00001d029907
Cluster_0520	Zm00001d029932,Zm00001d029933
Cluster_0522	Zm00001d027639,Zm00001d027643,Zm00001d027642,Zm00001d027638
Cluster_0524	Zm00001d002313,Zm00001d002309,Zm00001d002312
Cluster_0526	Zm00001d004305,Zm00001d004301,Zm00001d004308,Zm00001d004306
Cluster_0527	Zm00001d004326,Zm00001d004322
Cluster_0530	Zm00001d004371,Zm00001d004355,Zm00001d004364
Cluster_0531	Zm00001d002351,Zm00001d002349,Zm00001d002350
Cluster_0532	Zm00001d004387,Zm00001d004389,Zm00001d004388
Cluster_0533	Zm00001d004414,Zm00001d004417
Cluster_0534	Zm00001d004416,Zm00001d004418,Zm00001d004415
Cluster_0535	Zm00001d004423,Zm00001d004424
Cluster_0536	Zm00001d004429,Zm00001d004431
Cluster_0538	Zm00001d004491,Zm00001d004503
Cluster_0541	Zm00001d002393,Zm00001d002394
Cluster_0543	Zm00001d002400,Zm00001d002397,Zm00001d002398,Zm00001d002401
Cluster_0544	Zm00001d002402,Zm00001d002399
Cluster_0545	Zm00001d004586,Zm00001d004589,Zm00001d004591,Zm00001d004572
Cluster_0546	Zm00001d002409,Zm00001d002412,Zm00001d002410
Cluster_0548	Zm00001d002431,Zm00001d002430
Cluster_0549	Zm00001d002436,Zm00001d002435,Zm00001d002434
Cluster_0552	Zm00001d004685,Zm00001d004686,Zm00001d004684
Cluster_0553	Zm00001d004687,Zm00001d004689
Cluster_0554	Zm00001d004718,Zm00001d004719
Cluster_0555	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730
Cluster_0556	Zm00001d002474,Zm00001d002473
Cluster_0558	Zm00001d004753,Zm00001d004754,Zm00001d004758
Cluster_0559	Zm00001d004768,Zm00001d004763
Cluster_0560	Zm00001d004771,Zm00001d004772
Cluster_0562	Zm00001d004797,Zm00001d004794,Zm00001d004796
Cluster_0563	Zm00001d004826,Zm00001d004835
Cluster_0564	Zm00001d001817,Zm00001d001818
Cluster_0566	Zm00001d004841,Zm00001d004839
Cluster_0569	Zm00001d004884,Zm00001d004888,Zm00001d004887
Cluster_0570	Zm00001d002530,Zm00001d002523,Zm00001d002522,Zm00001d002520,Zm00001d002521
Cluster_0573	Zm00001d004945,Zm00001d004949,Zm00001d004942
Cluster_0574	Zm00001d002543,Zm00001d002546
Cluster_0580	Zm00001d005013,Zm00001d005012
Cluster_0581	Zm00001d005036,Zm00001d005043,Zm00001d005044
Cluster_0586	Zm00001d005076,Zm00001d005077,Zm00001d005075
Cluster_0587	Zm00001d002576,Zm00001d002568
Cluster_0588	Zm00001d001833,Zm00001d001835
Cluster_0589	Zm00001d005189,Zm00001d005190
Cluster_0590	Zm00001d005257,Zm00001d005256
Cluster_0591	Zm00001d005283,Zm00001d005284
Cluster_0596	Zm00001d005389,Zm00001d005374,Zm00001d005379,Zm00001d005380
Cluster_0597	Zm00001d005391,Zm00001d005381,Zm00001d005375
Cluster_0598	Zm00001d005392,Zm00001d005383,Zm00001d005378,Zm00001d005377
Cluster_0600	Zm00001d005421,Zm00001d005410
Cluster_0606	Zm00001d005678,Zm00001d005680
Cluster_0607	Zm00001d005688,Zm00001d005690
Cluster_0608	Zm00001d005717,Zm00001d005719,Zm00001d005722,Zm00001d005716
Cluster_0611	Zm00001d005786,Zm00001d005787,Zm00001d005788
Cluster_0612	Zm00001d005822,Zm00001d005821,Zm00001d005823
Cluster_0615	Zm00001d005878,Zm00001d005879
Cluster_0616	Zm00001d005909,Zm00001d005905,Zm00001d005910
Cluster_0617	Zm00001d005934,Zm00001d005933,Zm00001d005935
Cluster_0620	Zm00001d005974,Zm00001d005973
Cluster_0622	Zm00001d006014,Zm00001d006013
Cluster_0626	Zm00001d002708,Zm00001d002705
Cluster_0627	Zm00001d006137,Zm00001d006140,Zm00001d006145
Cluster_0628	Zm00001d006142,Zm00001d006147
Cluster_0629	Zm00001d006143,Zm00001d006148
Cluster_0630	Zm00001d006144,Zm00001d006149
Cluster_0632	Zm00001d006193,Zm00001d006199,Zm00001d006203
Cluster_0633	Zm00001d006252,Zm00001d006253
Cluster_0634	Zm00001d006263,Zm00001d006260,Zm00001d006261
Cluster_0635	Zm00001d006276,Zm00001d006282,Zm00001d006274,Zm00001d006285,Zm00001d006279,Zm00001d006283,Zm00001d006278,Zm00001d006281,Zm00001d006275,Zm00001d006277,Zm00001d006280
Cluster_0636	Zm00001d006298,Zm00001d006306
Cluster_0637	Zm00001d006307,Zm00001d006300,Zm00001d006301,Zm00001d006303,Zm00001d006302
Cluster_0638	Zm00001d006313,Zm00001d006312
Cluster_0639	Zm00001d006342,Zm00001d006341,Zm00001d006340
Cluster_0640	Zm00001d002728,Zm00001d002727,Zm00001d002729
Cluster_0645	Zm00001d006449,Zm00001d006450,Zm00001d006446
Cluster_0647	Zm00001d006484,Zm00001d006485
Cluster_0650	Zm00001d006505,Zm00001d006506
Cluster_0652	Zm00001d006525,Zm00001d006526
Cluster_0653	Zm00001d006531,Zm00001d006535,Zm00001d006536,Zm00001d006527
Cluster_0654	Zm00001d006547,Zm00001d006548
Cluster_0656	Zm00001d002747,Zm00001d002744,Zm00001d002748
Cluster_0657	Zm00001d006684,Zm00001d006683
Cluster_0658	Zm00001d006688,Zm00001d006697
Cluster_0659	Zm00001d006735,Zm00001d006736
Cluster_0661	Zm00001d006776,Zm00001d006777
Cluster_0662	Zm00001d006779,Zm00001d006778
Cluster_0663	Zm00001d002760,Zm00001d002761,Zm00001d002762
Cluster_0664	Zm00001d006923,Zm00001d006924
Cluster_0665	Zm00001d006936,Zm00001d006937,Zm00001d006933
Cluster_0667	Zm00001d006947,Zm00001d006948
Cluster_0669	Zm00001d007127,Zm00001d007125,Zm00001d007129
Cluster_0670	Zm00001d007160,Zm00001d007161
Cluster_0673	Zm00001d007209,Zm00001d007211
Cluster_0678	Zm00001d007334,Zm00001d007337
Cluster_0681	Zm00001d007367,Zm00001d007368
Cluster_0682	Zm00001d007403,Zm00001d007400
Cluster_0683	Zm00001d007426,Zm00001d007430
Cluster_0684	Zm00001d007457,Zm00001d007456
Cluster_0685	Zm00001d007469,Zm00001d007468,Zm00001d007467
Cluster_0687	Zm00001d007491,Zm00001d007495
Cluster_0688	Zm00001d007493,Zm00001d007492
Cluster_0689	Zm00001d007529,Zm00001d007528
Cluster_0690	Zm00001d007550,Zm00001d007561
Cluster_0692	Zm00001d007559,Zm00001d007531,Zm00001d007548,Zm00001d007555,Zm00001d007534
Cluster_0693	Zm00001d007560,Zm00001d007549
Cluster_0694	Zm00001d007567,Zm00001d007553
Cluster_0695	Zm00001d007587,Zm00001d007589,Zm00001d007586,Zm00001d007590
Cluster_0697	Zm00001d007604,Zm00001d007616,Zm00001d007618,Zm00001d007620,Zm00001d007623
Cluster_0699	Zm00001d007661,Zm00001d007675,Zm00001d007670,Zm00001d007672,Zm00001d007667,Zm00001d007665,Zm00001d007658
Cluster_0701	Zm00001d007705,Zm00001d007700
Cluster_0702	Zm00001d007725,Zm00001d007743
Cluster_0703	Zm00001d007740,Zm00001d007728,Zm00001d007732,Zm00001d007726,Zm00001d007746,Zm00001d007733
Cluster_0704	Zm00001d007757,Zm00001d007755
Cluster_0706	Zm00001d007782,Zm00001d007777
Cluster_0707	Zm00001d007790,Zm00001d007793,Zm00001d007780
Cluster_0708	Zm00001d007810,Zm00001d007819,Zm00001d007815
Cluster_0712	Zm00001d007918,Zm00001d007924
Cluster_0714	Zm00001d007959,Zm00001d007958,Zm00001d007957
Cluster_0715	Zm00001d002848,Zm00001d002847,Zm00001d002845
Cluster_0716	Zm00001d001887,Zm00001d001885
Cluster_0717	Zm00001d002886,Zm00001d002887,Zm00001d002879
Cluster_0719	Zm00001d002902,Zm00001d002897,Zm00001d002898,Zm00001d002901,Zm00001d002899
Cluster_0721	Zm00001d001902,Zm00001d001903
Cluster_0722	Zm00001d002912,Zm00001d002916
Cluster_0723	Zm00001d002915,Zm00001d002907
Cluster_0724	Zm00001d001908,Zm00001d001910,Zm00001d001909
