Cluster_ID	Genes	Maize_Gene	Best_Sb	Best_Sb_dS	Best_Os	Best_Os_dS
Cluster_0021	Zm00001d025528,Zm00001d025533	Zm00001d025528	Sobic.006G096300.1	0.1669	NA	NA
Cluster_0021	Zm00001d025528,Zm00001d025533	Zm00001d025533	Sobic.006G096400.1	0.4885	NA	NA
Cluster_0023	Zm00001d023615,Zm00001d023616	Zm00001d023615	Sobic.008G060300.1	0.9741	OS05T0322900-01	2.6927
Cluster_0024	Zm00001d025558,Zm00001d025552	Zm00001d025558	Sobic.006G098600.1	0.7508	NA	NA
Cluster_0027	Zm00001d025573,Zm00001d025572	Zm00001d025572	Sobic.006G102800.1	0.5605	NA	NA
Cluster_0028	Zm00001d025584,Zm00001d025585	Zm00001d025584	Sobic.006G104800.1	0.1199	NA	NA
Cluster_0031	Zm00001d025601,Zm00001d025607,Zm00001d025599,Zm00001d025593	Zm00001d025607	Sobic.006G105900.1	1.9083	OS04T0459500-02	99.0000
Cluster_0034	Zm00001d025633,Zm00001d025629	Zm00001d025633	Sobic.006G110200.2	0.1263	OS04T0464800-00	0.4914
Cluster_0035	Zm00001d025633,Zm00001d025629	Zm00001d025633	Sobic.006G110200.2	0.1263	OS04T0464800-00	0.4914
Cluster_0037	Zm00001d025741,Zm00001d025744	Zm00001d025741	Sobic.006G129300.1	0.1952	OS04T0487400-00	3.1192
Cluster_0042	Zm00001d025847,Zm00001d025846	Zm00001d025846	Sobic.006G146000.1	0.4138	NA	NA
Cluster_0042	Zm00001d025847,Zm00001d025846	Zm00001d025847	Sobic.006G146200.1	0.3971	NA	NA
Cluster_0043	Zm00001d025881,Zm00001d025875	Zm00001d025875	Sobic.007G030200.1	0.7626	NA	NA
Cluster_0045	Zm00001d025889,Zm00001d025888,Zm00001d025887	Zm00001d025887	Sobic.006G152600.1	0.2485	OS04T0524600-01	0.8532
Cluster_0045	Zm00001d025889,Zm00001d025888,Zm00001d025887	Zm00001d025888	Sobic.006G152700.2	0.0963	OS04T0524900-00	0.7132
Cluster_0045	Zm00001d025889,Zm00001d025888,Zm00001d025887	Zm00001d025889	Sobic.006G152900.1	0.2747	NA	NA
Cluster_0046	Zm00001d025900,Zm00001d025901	Zm00001d025901	Sobic.006G154500.1	0.8212	NA	NA
Cluster_0047	Zm00001d025924,Zm00001d025920,Zm00001d025921,Zm00001d025922,Zm00001d025923	Zm00001d025920	Sobic.006G158200.1	0.5093	NA	NA
Cluster_0047	Zm00001d025924,Zm00001d025920,Zm00001d025921,Zm00001d025922,Zm00001d025923	Zm00001d025922	Sobic.006G158400.1	0.3173	NA	NA
Cluster_0047	Zm00001d025924,Zm00001d025920,Zm00001d025921,Zm00001d025922,Zm00001d025923	Zm00001d025923	Sobic.006G158700.1	0.3284	NA	NA
Cluster_0047	Zm00001d025924,Zm00001d025920,Zm00001d025921,Zm00001d025922,Zm00001d025923	Zm00001d025924	Sobic.006G158800.1	0.4499	NA	NA
Cluster_0048	Zm00001d026026,Zm00001d026028,Zm00001d026029	Zm00001d026028	Sobic.006G194000.1	0.3500	NA	NA
Cluster_0050	Zm00001d026133,Zm00001d026134	Zm00001d026133	Sobic.006G178300.2	0.7044	NA	NA
Cluster_0050	Zm00001d026133,Zm00001d026134	Zm00001d026134	Sobic.006G178200.1	0.4080	NA	NA
Cluster_0052	Zm00001d026169,Zm00001d026170,Zm00001d026171	Zm00001d026169	Sobic.006G171300.1	0.2637	OS04T0552200-00	1.6841
Cluster_0052	Zm00001d026169,Zm00001d026170,Zm00001d026171	Zm00001d026170	Sobic.006G171200.1	0.2954	OS05T0246300-01	1.7140
Cluster_0053	Zm00001d026177,Zm00001d026178	Zm00001d026178	Sobic.006G170500.2	0.4824	NA	NA
Cluster_0054	Zm00001d026182,Zm00001d026191,Zm00001d026184	Zm00001d026184	Sobic.006G169900.1	0.4870	NA	NA
Cluster_0054	Zm00001d026182,Zm00001d026191,Zm00001d026184	Zm00001d026191	Sobic.006G167800.3	0.4204	OS04T0546800-01	1.6951
Cluster_0055	Zm00001d026203,Zm00001d026204,Zm00001d026197	Zm00001d026197	Sobic.006G198700.1	0.4173	OS04T0593200-01	1.2548
Cluster_0056	Zm00001d026220,Zm00001d026221	Zm00001d026221	Sobic.006G201200.1	0.4191	NA	NA
Cluster_0059	Zm00001d026251,Zm00001d026250	Zm00001d026250	Sobic.006G205600.1	0.5739	NA	NA
Cluster_0059	Zm00001d026251,Zm00001d026250	Zm00001d026251	Sobic.006G205700.1	0.3654	NA	NA
Cluster_0061	Zm00001d026341,Zm00001d026339	Zm00001d026341	Sobic.006G221101.1	0.2413	OS04T0624701-00	0.6555
Cluster_0062	Zm00001d026354,Zm00001d026353	Zm00001d026354	Sobic.006G223900.1	0.3737	NA	NA
Cluster_0063	Zm00001d026370,Zm00001d026371,Zm00001d026369	Zm00001d026369	Sobic.006G226700.1	0.5972	NA	NA
Cluster_0063	Zm00001d026370,Zm00001d026371,Zm00001d026369	Zm00001d026370	Sobic.006G227300.1	0.5626	NA	NA
Cluster_0065	Zm00001d023248,Zm00001d023247	Zm00001d023247	Sobic.008G012700.1	1.2771	NA	NA
Cluster_0065	Zm00001d023248,Zm00001d023247	Zm00001d023248	Sobic.008G012800.2	0.3667	OS11T0141500-00	3.1587
Cluster_0067	Zm00001d026406,Zm00001d026413	Zm00001d026406	Sobic.006G234800.1	0.6492	NA	NA
Cluster_0067	Zm00001d026406,Zm00001d026413	Zm00001d026413	Sobic.006G235200.1	0.1851	NA	NA
Cluster_0069	Zm00001d026454,Zm00001d026457	Zm00001d026454	Sobic.006G241200.1	0.1910	NA	NA
Cluster_0069	Zm00001d026454,Zm00001d026457	Zm00001d026457	Sobic.006G241400.1	0.7053	OS04T0649600-01	1.1740
Cluster_0071	Zm00001d026485,Zm00001d026483	Zm00001d026485	Sobic.006G245900.1	0.0855	NA	NA
Cluster_0072	Zm00001d026484,Zm00001d026485	Zm00001d026485	Sobic.006G245900.1	0.0855	NA	NA
Cluster_0074	Zm00001d026494,Zm00001d026493	Zm00001d026494	Sobic.006G248801.1	0.4834	NA	NA
Cluster_0076	Zm00001d023254,Zm00001d023257	Zm00001d023257	Sobic.008G014000.1	0.4374	NA	NA
Cluster_0077	Zm00001d023677,Zm00001d023673	Zm00001d023673	Sobic.008G094300.1	0.7475	NA	NA
Cluster_0077	Zm00001d023677,Zm00001d023673	Zm00001d023677	Sobic.008G094400.1	0.5934	NA	NA
Cluster_0078	Zm00001d026551,Zm00001d026553	Zm00001d026551	Sobic.006G257600.1	0.4399	NA	NA
Cluster_0079	Zm00001d026557,Zm00001d026558	Zm00001d026557	Sobic.006G258400.1	0.2413	OS04T0668600-01	0.7272
Cluster_0082	Zm00001d026589,Zm00001d026588	Zm00001d026588	Sobic.006G262300.1	0.2365	OS01T0551400-00	1.0180
Cluster_0083	Zm00001d026663,Zm00001d026661	Zm00001d026663	Sobic.006G274000.1	0.5347	OS04T0685000-01	3.3686
Cluster_0084	Zm00001d023695,Zm00001d023698	Zm00001d023695	Sobic.008G062300.1	0.0753	OS12T0183200-00	0.5584
Cluster_0084	Zm00001d023695,Zm00001d023698	Zm00001d023698	Sobic.008G062400.1	0.1482	NA	NA
Cluster_0089	Zm00001d023728,Zm00001d023721,Zm00001d023722,Zm00001d023723	Zm00001d023728	Sobic.008G104400.1	0.2912	OS12T0502700-01	0.8812
Cluster_0091	Zm00001d023287,Zm00001d023284,Zm00001d023282	Zm00001d023282	Sobic.008G020300.1	0.5997	NA	NA
Cluster_0092	Zm00001d023799,Zm00001d023800	Zm00001d023799	Sobic.008G087500.1	0.3826	NA	NA
Cluster_0094	Zm00001d023841,Zm00001d023840	Zm00001d023841	Sobic.008G123000.1	0.1140	NA	NA
Cluster_0096	Zm00001d023869,Zm00001d023870,Zm00001d023872,Zm00001d023873	Zm00001d023870	Sobic.008G117600.2	0.3711	NA	NA
Cluster_0097	Zm00001d023905,Zm00001d023906,Zm00001d023907,Zm00001d023903	Zm00001d023906	Sobic.008G113900.1	0.2748	NA	NA
Cluster_0098	Zm00001d023904,Zm00001d023908	Zm00001d023904	Sobic.008G113700.1	0.1101	NA	NA
Cluster_0099	Zm00001d023314,Zm00001d023313	Zm00001d023313	Sobic.008G026600.1	1.8569	NA	NA
Cluster_0099	Zm00001d023314,Zm00001d023313	Zm00001d023314	Sobic.008G026800.1	0.7441	OS12T0117400-01	1.5753
Cluster_0101	Zm00001d023939,Zm00001d023941	Zm00001d023939	Sobic.008G111300.2	0.4693	OS12T0514000-01	1.5165
Cluster_0101	Zm00001d023939,Zm00001d023941	Zm00001d023941	Sobic.008G111100.1	0.5596	NA	NA
Cluster_0102	Zm00001d023320,Zm00001d023321,Zm00001d023317,Zm00001d023323,Zm00001d023325,Zm00001d023329,Zm00001d023318,Zm00001d023322,Zm00001d023330	Zm00001d023322	Sobic.010G156300.1	0.4029	OS05T0365300-02	0.9777
Cluster_0104	Zm00001d023336,Zm00001d023332	Zm00001d023332	Sobic.008G028600.1	0.5720	NA	NA
Cluster_0104	Zm00001d023336,Zm00001d023332	Zm00001d023336	Sobic.008G028800.1	0.2593	OS12T0116600-01	0.9059
Cluster_0105	Zm00001d023337,Zm00001d023339	Zm00001d023337	Sobic.008G029500.1	0.1670	NA	NA
Cluster_0105	Zm00001d023337,Zm00001d023339	Zm00001d023339	Sobic.008G029800.1	0.1390	NA	NA
Cluster_0107	Zm00001d023343,Zm00001d023344,Zm00001d023345	Zm00001d023345	Sobic.008G031000.1	0.6309	NA	NA
Cluster_0108	Zm00001d023349,Zm00001d023347	Zm00001d023347	NA	NA	OS11T0114150-01	1.8772
Cluster_0108	Zm00001d023349,Zm00001d023347	Zm00001d023349	Sobic.008G031600.2	0.5376	NA	NA
Cluster_0110	Zm00001d023365,Zm00001d023353,Zm00001d023360	Zm00001d023365	Sobic.008G032000.1	0.3211	OS11T0113700-01	0.6760
Cluster_0111	Zm00001d023370,Zm00001d023368,Zm00001d023369	Zm00001d023368	Sobic.008G032500.1	0.1209	NA	NA
Cluster_0113	Zm00001d023384,Zm00001d023385	Zm00001d023384	Sobic.008G034700.1	0.5974	NA	NA
Cluster_0115	Zm00001d023400,Zm00001d023413	Zm00001d023400	Sobic.008G036000.1	0.7550	NA	NA
Cluster_0116	Zm00001d023409,Zm00001d023405	Zm00001d023409	Sobic.008G037100.1	0.7713	NA	NA
Cluster_0118	Zm00001d023411,Zm00001d023402	Zm00001d023411	Sobic.008G036900.1	0.6610	NA	NA
Cluster_0119	Zm00001d023418,Zm00001d023401,Zm00001d023417,Zm00001d023406,Zm00001d023412,Zm00001d023399,Zm00001d023398	Zm00001d023418	Sobic.008G035700.1	nan	NA	NA
Cluster_0120	Zm00001d023427,Zm00001d023426	Zm00001d023426	Sobic.008G038400.1	0.0635	NA	NA
Cluster_0121	Zm00001d023439,Zm00001d023451	Zm00001d023439	Sobic.008G040300.1	0.0993	OS11T0153900-01	0.5788
Cluster_0124	Zm00001d024265,Zm00001d024266,Zm00001d024252	Zm00001d024265	Sobic.007G090451.1	0.8115	NA	NA
Cluster_0125	Zm00001d023225,Zm00001d023217	Zm00001d023217	Sobic.008G003600.1	0.4191	NA	NA
Cluster_0125	Zm00001d023225,Zm00001d023217	Zm00001d023225	Sobic.005G004800.1	1.1274	NA	NA
Cluster_0126	Zm00001d023456,Zm00001d023455	Zm00001d023455	Sobic.008G042100.2	1.0201	NA	NA
Cluster_0126	Zm00001d023456,Zm00001d023455	Zm00001d023456	Sobic.008G042200.1	1.0623	NA	NA
Cluster_0127	Zm00001d024306,Zm00001d024305	Zm00001d024306	Sobic.007G075400.1	0.1024	NA	NA
Cluster_0128	Zm00001d024323,Zm00001d024322	Zm00001d024322	Sobic.007G077532.1	0.3049	NA	NA
Cluster_0128	Zm00001d024323,Zm00001d024322	Zm00001d024323	Sobic.007G077466.1	0.3164	NA	NA
Cluster_0129	Zm00001d024349,Zm00001d024351	Zm00001d024351	Sobic.007G082500.1	0.3430	NA	NA
Cluster_0131	Zm00001d023472,Zm00001d023469	Zm00001d023472	Sobic.008G043600.1	0.0939	NA	NA
Cluster_0132	Zm00001d024386,Zm00001d024392,Zm00001d024379,Zm00001d024378,Zm00001d024382	Zm00001d024378	Sobic.007G085600.1	0.5382	OS08T0237800-00	2.4377
Cluster_0132	Zm00001d024386,Zm00001d024392,Zm00001d024379,Zm00001d024378,Zm00001d024382	Zm00001d024382	Sobic.007G090460.1	0.7718	NA	NA
Cluster_0132	Zm00001d024386,Zm00001d024392,Zm00001d024379,Zm00001d024378,Zm00001d024382	Zm00001d024386	Sobic.007G090436.1	1.6856	NA	NA
Cluster_0132	Zm00001d024386,Zm00001d024392,Zm00001d024379,Zm00001d024378,Zm00001d024382	Zm00001d024392	Sobic.007G086400.1	0.5604	OS08T0240566-00	1.5554
Cluster_0133	Zm00001d023481,Zm00001d023493,Zm00001d023490,Zm00001d023491,Zm00001d023485,Zm00001d023484,Zm00001d023487,Zm00001d023486,Zm00001d023489,Zm00001d023483	Zm00001d023484	Sobic.001G030800.1	0.5698	NA	NA
Cluster_0133	Zm00001d023481,Zm00001d023493,Zm00001d023490,Zm00001d023491,Zm00001d023485,Zm00001d023484,Zm00001d023487,Zm00001d023486,Zm00001d023489,Zm00001d023483	Zm00001d023493	Sobic.001G031000.1	0.4768	NA	NA
Cluster_0134	Zm00001d024458,Zm00001d024447,Zm00001d024454	Zm00001d024458	Sobic.007G057700.1	0.2913	NA	NA
Cluster_0136	Zm00001d024479,Zm00001d024478,Zm00001d024486,Zm00001d024480,Zm00001d024481,Zm00001d024477	Zm00001d024481	Sobic.007G055800.1	0.3683	NA	NA
Cluster_0137	Zm00001d023498,Zm00001d023499	Zm00001d023498	Sobic.008G045450.1	0.5399	NA	NA
Cluster_0139	Zm00001d024495,Zm00001d024494	Zm00001d024494	Sobic.007G054600.1	0.3985	NA	NA
Cluster_0141	Zm00001d024547,Zm00001d024546	Zm00001d024546	Sobic.007G047400.1	0.1276	NA	NA
Cluster_0142	Zm00001d023504,Zm00001d023506	Zm00001d023504	Sobic.008G046500.1	0.1556	NA	NA
Cluster_0143	Zm00001d024565,Zm00001d024554,Zm00001d024562,Zm00001d024558,Zm00001d024559	Zm00001d024558	Sobic.001G031000.1	0.5291	NA	NA
Cluster_0145	Zm00001d024567,Zm00001d024568	Zm00001d024567	Sobic.007G046200.2	0.2117	OS08T0157100-01	1.4570
Cluster_0145	Zm00001d024567,Zm00001d024568	Zm00001d024568	Sobic.007G046100.1	1.0482	NA	NA
Cluster_0147	Zm00001d024594,Zm00001d024595	Zm00001d024595	Sobic.007G043300.2	0.3640	NA	NA
Cluster_0148	Zm00001d024610,Zm00001d024607	Zm00001d024607	Sobic.007G041000.1	0.5140	NA	NA
Cluster_0148	Zm00001d024610,Zm00001d024607	Zm00001d024610	Sobic.007G040500.1	0.3196	NA	NA
Cluster_0149	Zm00001d024619,Zm00001d024615,Zm00001d024617	Zm00001d024615	Sobic.007G040400.1	0.3689	NA	NA
Cluster_0152	Zm00001d024664,Zm00001d024665	Zm00001d024664	Sobic.007G035300.1	0.9289	NA	NA
Cluster_0152	Zm00001d024664,Zm00001d024665	Zm00001d024665	Sobic.007G035500.1	1.0332	NA	NA
Cluster_0155	Zm00001d024710,Zm00001d024711	Zm00001d024711	Sobic.007G029800.1	0.5646	NA	NA
Cluster_0156	Zm00001d024723,Zm00001d024722	Zm00001d024722	Sobic.009G031200.2	1.0002	NA	NA
Cluster_0156	Zm00001d024723,Zm00001d024722	Zm00001d024723	Sobic.009G031400.1	0.4538	NA	NA
Cluster_0157	Zm00001d024725,Zm00001d024726	Zm00001d024726	Sobic.009G031900.1	0.6039	NA	NA
Cluster_0158	Zm00001d024738,Zm00001d024740,Zm00001d024734,Zm00001d024735	Zm00001d024734	Sobic.009G032600.1	1.6320	NA	NA
Cluster_0158	Zm00001d024738,Zm00001d024740,Zm00001d024734,Zm00001d024735	Zm00001d024738	Sobic.009G032800.1	0.9733	NA	NA
Cluster_0158	Zm00001d024738,Zm00001d024740,Zm00001d024734,Zm00001d024735	Zm00001d024740	Sobic.009G032900.1	0.7763	OS05T0135000-01	2.2361
Cluster_0159	Zm00001d024744,Zm00001d024755	Zm00001d024744	Sobic.009G033100.2	0.2397	OS01T0310800-01	0.6437
Cluster_0159	Zm00001d024744,Zm00001d024755	Zm00001d024755	Sobic.009G033700.1	0.2584	OS05T0135800-01	0.7502
Cluster_0160	Zm00001d024745,Zm00001d024750,Zm00001d024751,Zm00001d024752,Zm00001d024753,Zm00001d024749	Zm00001d024745	Sobic.005G051500.1	0.6709	NA	NA
Cluster_0160	Zm00001d024745,Zm00001d024750,Zm00001d024751,Zm00001d024752,Zm00001d024753,Zm00001d024749	Zm00001d024753	Sobic.009G033500.1	0.4835	NA	NA
Cluster_0161	Zm00001d023227,Zm00001d023228	Zm00001d023227	Sobic.008G009100.1	0.4783	NA	NA
Cluster_0161	Zm00001d023227,Zm00001d023228	Zm00001d023228	Sobic.008G009200.1	0.7256	NA	NA
Cluster_0162	Zm00001d024759,Zm00001d024761,Zm00001d024760	Zm00001d024759	Sobic.009G034100.1	0.1194	NA	NA
Cluster_0163	Zm00001d024770,Zm00001d024771	Zm00001d024771	Sobic.009G035200.1	0.3894	OS05T0137700-00	0.6585
Cluster_0164	Zm00001d024810,Zm00001d024809,Zm00001d024814	Zm00001d024809	Sobic.009G039000.1	0.5672	OS06T0173800-00	1.0946
Cluster_0164	Zm00001d024810,Zm00001d024809,Zm00001d024814	Zm00001d024810	Sobic.009G039200.1	0.2516	NA	NA
Cluster_0166	Zm00001d024843,Zm00001d024853,Zm00001d024852,Zm00001d024851,Zm00001d024850	Zm00001d024853	Sobic.009G044400.1	0.5542	OS05T0149400-01	1.5221
Cluster_0167	Zm00001d024867,Zm00001d024871	Zm00001d024867	Sobic.006G015400.1	0.3985	NA	NA
Cluster_0167	Zm00001d024867,Zm00001d024871	Zm00001d024871	Sobic.006G015300.1	0.6724	NA	NA
Cluster_0168	Zm00001d024895,Zm00001d024894	Zm00001d024895	Sobic.009G039800.1	0.1384	OS01T0229300-01	0.7822
Cluster_0169	Zm00001d024897,Zm00001d024900	Zm00001d024900	Sobic.006G007300.1	0.3338	NA	NA
Cluster_0170	Zm00001d024907,Zm00001d024906	Zm00001d024906	Sobic.006G004700.1	0.7110	NA	NA
Cluster_0170	Zm00001d024907,Zm00001d024906	Zm00001d024907	Sobic.006G004600.2	0.3544	NA	NA
Cluster_0171	Zm00001d023540,Zm00001d023539,Zm00001d023541	Zm00001d023539	Sobic.008G051400.2	0.2452	OS12T0168800-01	1.2981
Cluster_0171	Zm00001d023540,Zm00001d023539,Zm00001d023541	Zm00001d023541	Sobic.008G051500.1	0.7307	NA	NA
Cluster_0172	Zm00001d024943,Zm00001d024946	Zm00001d024946	Sobic.006G001000.1	0.7096	NA	NA
Cluster_0173	Zm00001d024962,Zm00001d024961	Zm00001d024961	Sobic.003G192600.1	0.3678	NA	NA
Cluster_0173	Zm00001d024962,Zm00001d024961	Zm00001d024962	Sobic.003G192400.1	0.1382	OS01T0117700-00	1.1063
Cluster_0175	Zm00001d023551,Zm00001d023548,Zm00001d023554	Zm00001d023554	Sobic.008G052500.1	0.3354	NA	NA
Cluster_0176	Zm00001d025000,Zm00001d024999	Zm00001d025000	Sobic.006G013500.1	0.1335	NA	NA
Cluster_0177	Zm00001d025022,Zm00001d025019	Zm00001d025019	Sobic.006G029200.1	0.2540	NA	NA
Cluster_0177	Zm00001d025022,Zm00001d025019	Zm00001d025022	Sobic.006G028600.1	0.4296	OS04T0182300-00	1.3967
Cluster_0178	Zm00001d030094,Zm00001d030095	Zm00001d030094	Sobic.001G285200.2	0.1804	NA	NA
Cluster_0178	Zm00001d030094,Zm00001d030095	Zm00001d030095	Sobic.001G285100.2	0.2905	OS10T0577100-00	1.0906
Cluster_0179	Zm00001d030127,Zm00001d030130	Zm00001d030130	Sobic.001G283100.1	0.2217	NA	NA
Cluster_0180	Zm00001d030159,Zm00001d030158	Zm00001d030158	Sobic.001G282000.1	0.3154	NA	NA
Cluster_0180	Zm00001d030159,Zm00001d030158	Zm00001d030159	Sobic.001G282100.1	0.1821	NA	NA
Cluster_0181	Zm00001d027678,Zm00001d027679	Zm00001d027678	Sobic.001G503100.1	0.2079	NA	NA
Cluster_0181	Zm00001d027678,Zm00001d027679	Zm00001d027679	Sobic.001G503000.1	0.2780	OS03T0149100-00	1.1169
Cluster_0182	Zm00001d030180,Zm00001d030177	Zm00001d030177	Sobic.001G279500.1	0.4663	NA	NA
Cluster_0182	Zm00001d030180,Zm00001d030177	Zm00001d030180	Sobic.001G279300.2	0.4387	NA	NA
Cluster_0183	Zm00001d027685,Zm00001d027684	Zm00001d027684	Sobic.001G502500.1	0.6188	NA	NA
Cluster_0183	Zm00001d027685,Zm00001d027684	Zm00001d027685	Sobic.001G502400.1	0.6515	OS03T0149800-01	1.3146
Cluster_0184	Zm00001d027687,Zm00001d027686	Zm00001d027686	Sobic.001G502300.1	0.8146	NA	NA
Cluster_0186	Zm00001d030218,Zm00001d030212,Zm00001d030213	Zm00001d030213	Sobic.001G277600.1	0.2528	NA	NA
Cluster_0186	Zm00001d030218,Zm00001d030212,Zm00001d030213	Zm00001d030218	Sobic.001G278100.1	0.3635	OS10T0104800-01	2.2261
Cluster_0187	Zm00001d030233,Zm00001d030234,Zm00001d030235	Zm00001d030233	Sobic.001G276800.1	0.5788	NA	NA
Cluster_0187	Zm00001d030233,Zm00001d030234,Zm00001d030235	Zm00001d030234	Sobic.001G276600.1	0.2914	NA	NA
Cluster_0187	Zm00001d030233,Zm00001d030234,Zm00001d030235	Zm00001d030235	Sobic.001G276300.1	0.3506	NA	NA
Cluster_0188	Zm00001d030253,Zm00001d030248	Zm00001d030248	Sobic.001G273200.1	0.4487	NA	NA
Cluster_0188	Zm00001d030253,Zm00001d030248	Zm00001d030253	Sobic.001G271600.2	0.4204	NA	NA
Cluster_0190	Zm00001d030282,Zm00001d030269,Zm00001d030285,Zm00001d030270	Zm00001d030282	Sobic.001G269000.1	0.1870	OS10T0140200-01	0.5689
Cluster_0190	Zm00001d030282,Zm00001d030269,Zm00001d030285,Zm00001d030270	Zm00001d030285	Sobic.001G268700.1	0.1835	NA	NA
Cluster_0191	Zm00001d027717,Zm00001d027718	Zm00001d027717	Sobic.001G499900.1	0.6678	NA	NA
Cluster_0191	Zm00001d027717,Zm00001d027718	Zm00001d027718	Sobic.001G499800.1	0.3171	NA	NA
Cluster_0192	Zm00001d030303,Zm00001d030304	Zm00001d030303	Sobic.001G267800.1	0.3877	NA	NA
Cluster_0192	Zm00001d030303,Zm00001d030304	Zm00001d030304	Sobic.001G267600.2	0.3421	NA	NA
Cluster_0193	Zm00001d030314,Zm00001d030316	Zm00001d030314	Sobic.001G266200.1	0.2754	NA	NA
Cluster_0193	Zm00001d030314,Zm00001d030316	Zm00001d030316	Sobic.001G265900.1	0.3484	NA	NA
Cluster_0194	Zm00001d027733,Zm00001d027732	Zm00001d027732	Sobic.001G498100.1	0.2269	NA	NA
Cluster_0196	Zm00001d030347,Zm00001d030348	Zm00001d030347	Sobic.001G264000.1	0.3206	NA	NA
Cluster_0196	Zm00001d030347,Zm00001d030348	Zm00001d030348	Sobic.001G263900.1	0.4641	OS10T0159800-01	1.2539
Cluster_0198	Zm00001d030470,Zm00001d030471	Zm00001d030471	Sobic.004G127700.1	0.1291	NA	NA
Cluster_0201	Zm00001d030517,Zm00001d030516	Zm00001d030516	Sobic.002G399300.1	0.2107	OS10T0372500-00	1.3336
Cluster_0205	Zm00001d030587,Zm00001d030588	Zm00001d030588	Sobic.010G153000.1	0.2447	NA	NA
Cluster_0208	Zm00001d027855,Zm00001d027859	Zm00001d027855	Sobic.001G488600.1	0.0900	NA	NA
Cluster_0208	Zm00001d027855,Zm00001d027859	Zm00001d027859	Sobic.001G488400.1	0.4032	NA	NA
Cluster_0209	Zm00001d030720,Zm00001d030707	Zm00001d030707	Sobic.008G135800.1	0.2656	NA	NA
Cluster_0210	Zm00001d030765,Zm00001d030767	Zm00001d030765	Sobic.008G140100.2	0.2944	NA	NA
Cluster_0211	Zm00001d030782,Zm00001d030780,Zm00001d030781	Zm00001d030782	Sobic.008G141100.1	0.1750	NA	NA
Cluster_0212	Zm00001d030801,Zm00001d030803	Zm00001d030801	Sobic.006G278900.1	0.5145	NA	NA
Cluster_0215	Zm00001d030847,Zm00001d030848	Zm00001d030848	Sobic.005G122500.1	0.4099	NA	NA
Cluster_0216	Zm00001d030856,Zm00001d030845,Zm00001d030851	Zm00001d030851	Sobic.008G144000.1	0.5660	NA	NA
Cluster_0216	Zm00001d030856,Zm00001d030845,Zm00001d030851	Zm00001d030856	Sobic.008G144401.1	0.4023	NA	NA
Cluster_0217	Zm00001d030861,Zm00001d030860	Zm00001d030860	Sobic.008G144900.2	0.1334	OS12T0582800-01	0.4646
Cluster_0218	Zm00001d030908,Zm00001d030909,Zm00001d030907	Zm00001d030907	Sobic.008G149300.1	0.2416	NA	NA
Cluster_0219	Zm00001d030934,Zm00001d030920	Zm00001d030934	Sobic.008G150300.1	0.1845	OS01T0664500-03	0.6297
Cluster_0221	Zm00001d030947,Zm00001d030950	Zm00001d030950	Sobic.008G152400.1	0.4276	OS12T0596600-01	3.8836
Cluster_0222	Zm00001d030971,Zm00001d030972	Zm00001d030971	Sobic.008G154100.1	0.5203	NA	NA
