Cluster_ID	Cluster_Genes	Maize_Gene	Sorghum_Gene	Orzya_Gene	Note
Cluster_0120	Zm00001d023427,Zm00001d023426	Zm00001d023427	Sobic.008G038300.1	NA	SynMap_Chosen
Cluster_0120	Zm00001d023427,Zm00001d023426	Zm00001d023426	Sobic.008G038400.1	NA	Other_Orthologue
Cluster_0121	Zm00001d023439,Zm00001d023451	Zm00001d023439	Sobic.008G040300.1	NA	Both
Cluster_0127	Zm00001d024306,Zm00001d024305	Zm00001d024305	Sobic.007G075400.1	NA	SynMap_Chosen
Cluster_0127	Zm00001d024306,Zm00001d024305	Zm00001d024306	Sobic.007G075400.1	NA	Other_Orthologue
Cluster_0128	Zm00001d024323,Zm00001d024322	Zm00001d024323	Sobic.007G077500.1	NA	SynMap_Chosen
Cluster_0128	Zm00001d024323,Zm00001d024322	Zm00001d024322	Sobic.007G077532.1	NA	Other_Orthologue
Cluster_0139	Zm00001d024494,Zm00001d024495	Zm00001d024494	Sobic.007G054600.1	NA	Both
Cluster_0141	Zm00001d024546,Zm00001d024547	Zm00001d024546	Sobic.007G047400.1	NA	Both
Cluster_0146	Zm00001d024591,Zm00001d024593	Zm00001d024591	Sobic.007G043600.1	NA	BLAST
Cluster_0155	Zm00001d024710,Zm00001d024711	Zm00001d024711	Sobic.007G029800.1	NA	Both
Cluster_0156	Zm00001d024723,Zm00001d024722	Zm00001d024723	Sobic.009G031400.1	NA	Both
Cluster_0156	Zm00001d024723,Zm00001d024722	Zm00001d024722	Sobic.009G031200.2	NA	Other_Orthologue
Cluster_0159	Zm00001d024744,Zm00001d024755	Zm00001d024755	Sobic.009G033700.1	NA	Both
Cluster_0159	Zm00001d024744,Zm00001d024755	Zm00001d024744	Sobic.009G033100.2	OS01T0310800-01	Other_Orthologue
Cluster_0163	Zm00001d024770,Zm00001d024771	Zm00001d024771	Sobic.009G035200.1	NA	Both
Cluster_0170	Zm00001d024907,Zm00001d024906	Zm00001d024906	Sobic.006G014000.2	NA	SynMap_Chosen
Cluster_0170	Zm00001d024907,Zm00001d024906	Zm00001d024907	Sobic.006G004600.2	NA	Other_Orthologue
Cluster_0173	Zm00001d024962,Zm00001d024961	Zm00001d024961	Sobic.003G192600.1	NA	Orthofinder_Only
Cluster_0173	Zm00001d024962,Zm00001d024961	Zm00001d024962	Sobic.003G192400.1	OS01T0117700-00	Orthofinder_Only
Cluster_0176	Zm00001d025000,Zm00001d024999	Zm00001d025000	Sobic.006G013500.1	NA	Orthofinder_Only
Cluster_0177	Zm00001d025019,Zm00001d025022	Zm00001d025019	Sobic.006G029200.1	NA	Both
Cluster_0177	Zm00001d025019,Zm00001d025022	Zm00001d025022	Sobic.006G028600.1	OS04T0182300-00	Other_Orthologue
Cluster_0178	Zm00001d030095,Zm00001d030094	Zm00001d030095	Sobic.001G285100.1	NA	SynMap_Chosen
Cluster_0178	Zm00001d030095,Zm00001d030094	Zm00001d030094	Sobic.001G285200.2	NA	Other_Orthologue
Cluster_0180	Zm00001d030159,Zm00001d030158	Zm00001d030159	Sobic.001G282100.1	NA	Both
Cluster_0180	Zm00001d030159,Zm00001d030158	Zm00001d030158	Sobic.001G282000.1	NA	Other_Orthologue
Cluster_0181	Zm00001d027679,Zm00001d027678	Zm00001d027679	Sobic.001G503000.1	NA	Both
Cluster_0181	Zm00001d027679,Zm00001d027678	Zm00001d027678	Sobic.001G503100.1	NA	Other_Orthologue
Cluster_0183	Zm00001d027684,Zm00001d027685	Zm00001d027685	Sobic.001G502400.1	NA	Both
Cluster_0183	Zm00001d027684,Zm00001d027685	Zm00001d027684	Sobic.001G502500.1	NA	Other_Orthologue
Cluster_0188	Zm00001d030248,Zm00001d030253	Zm00001d030248	Sobic.001G273200.1	NA	Both
Cluster_0188	Zm00001d030248,Zm00001d030253	Zm00001d030253	Sobic.001G271600.2	NA	Other_Orthologue
Cluster_0192	Zm00001d030303,Zm00001d030304	Zm00001d030303	Sobic.001G267800.1	NA	Both
Cluster_0192	Zm00001d030303,Zm00001d030304	Zm00001d030304	Sobic.001G267600.2	NA	Other_Orthologue
Cluster_0193	Zm00001d030316,Zm00001d030314	Zm00001d030314	Sobic.001G266200.1	NA	Orthofinder_Only
Cluster_0193	Zm00001d030316,Zm00001d030314	Zm00001d030316	Sobic.001G265900.1	NA	Orthofinder_Only
Cluster_0198	Zm00001d030471,Zm00001d030470	Zm00001d030471	Sobic.004G127700.1	NA	Orthofinder_Only
Cluster_0201	Zm00001d030516,Zm00001d030517	Zm00001d030516	Sobic.002G399300.1	OS10T0372500-00	Orthofinder_Only
Cluster_0204	Zm00001d030573,Zm00001d030572	Zm00001d030572	Sobic.001G260400.1	NA	BLAST
Cluster_0206	Zm00001d030675,Zm00001d030676	Zm00001d030676	Sobic.008G133300.1	NA	BLAST
Cluster_0208	Zm00001d027855,Zm00001d027859	Zm00001d027855	Sobic.001G488600.1	NA	Both
Cluster_0208	Zm00001d027855,Zm00001d027859	Zm00001d027859	Sobic.001G488400.1	NA	Other_Orthologue
Cluster_0210	Zm00001d030765,Zm00001d030767	Zm00001d030765	Sobic.008G140100.2	NA	Orthofinder_Only
Cluster_0215	Zm00001d030848,Zm00001d030847	Zm00001d030848	Sobic.005G122500.1	NA	Orthofinder_Only
Cluster_0217	Zm00001d030860,Zm00001d030861	Zm00001d030860	Sobic.008G144900.1	NA	SynMap_Chosen
Cluster_0219	Zm00001d030934,Zm00001d030920	Zm00001d030934	Sobic.008G150300.1	NA	Both
Cluster_0224	Zm00001d027283,Zm00001d027281	Zm00001d027281	Sobic.001G542200.1	NA	Both
Cluster_0224	Zm00001d027283,Zm00001d027281	Zm00001d027283	Sobic.001G542100.1	NA	Other_Orthologue
Cluster_0233	Zm00001d031221,Zm00001d031222	Zm00001d031221	Sobic.008G191200.1	NA	Both
Cluster_0239	Zm00001d031309,Zm00001d031308	Zm00001d031308	Sobic.007G219800.1	NA	BLAST_Leftmost
Cluster_0241	Zm00001d031340,Zm00001d031341	Zm00001d031340	Sobic.007G215200.1	NA	BLAST
Cluster_0246	Zm00001d031437,Zm00001d031434	Zm00001d031437	NA	OS08T0506400-01	BLAST
Cluster_0250	Zm00001d031488,Zm00001d031489	Zm00001d031488	Sobic.007G206000.1	NA	SynMap_Chosen
Cluster_0250	Zm00001d031488,Zm00001d031489	Zm00001d031489	Sobic.007G205900.1	NA	Other_Orthologue
Cluster_0252	Zm00001d031517,Zm00001d031516	Zm00001d031517	Sobic.007G204100.1	NA	Both
Cluster_0254	Zm00001d027290,Zm00001d027291	Zm00001d027291	Sobic.001G541300.1	NA	Both
Cluster_0254	Zm00001d027290,Zm00001d027291	Zm00001d027290	Sobic.001G541400.1	NA	Other_Orthologue
Cluster_0255	Zm00001d031555,Zm00001d031556	Zm00001d031555	Sobic.007G198100.1	NA	Both
Cluster_0255	Zm00001d031555,Zm00001d031556	Zm00001d031556	Sobic.007G198000.1	NA	Other_Orthologue
Cluster_0261	Zm00001d031639,Zm00001d031638	Zm00001d031639	Sobic.007G191900.1	NA	Both
Cluster_0264	Zm00001d028002,Zm00001d028003	Zm00001d028002	Sobic.001G475500.1	NA	Both
Cluster_0266	Zm00001d031764,Zm00001d031765	Zm00001d031764	Sobic.007G153500.1	NA	Both
Cluster_0272	Zm00001d031822,Zm00001d031823	Zm00001d031822	Sobic.007G159400.1	NA	SynMap_Chosen
Cluster_0273	Zm00001d031870,Zm00001d031868	Zm00001d031868	Sobic.007G163700.1	NA	BLAST_Leftmost
Cluster_0274	Zm00001d031902,Zm00001d031903	Zm00001d031902	Sobic.007G166400.1	NA	Both
Cluster_0280	Zm00001d031993,Zm00001d031994	Zm00001d031994	Sobic.007G173300.1	NA	SynMap_Chosen
Cluster_0280	Zm00001d031993,Zm00001d031994	Zm00001d031993	Sobic.007G173300.1	OS08T0554100-01	Other_Orthologue
Cluster_0282	Zm00001d032032,Zm00001d032024	Zm00001d032032	Sobic.007G178300.1	NA	SynMap_Chosen
Cluster_0282	Zm00001d032032,Zm00001d032024	Zm00001d032024	Sobic.007G177100.1	NA	Other_Orthologue
Cluster_0283	Zm00001d032042,Zm00001d032035	Zm00001d032035	Sobic.007G178500.1	NA	Orthofinder_Only
Cluster_0283	Zm00001d032042,Zm00001d032035	Zm00001d032042	Sobic.007G179750.1	NA	Orthofinder_Only
Cluster_0287	Zm00001d032107,Zm00001d032103	Zm00001d032103	Sobic.007G145600.1	NA	Both
Cluster_0289	Zm00001d032175,Zm00001d032177	Zm00001d032175	Sobic.007G139200.1	NA	Both
Cluster_0292	Zm00001d032287,Zm00001d032285	Zm00001d032285	NA	OS08T0402500-01	SynMap_Chosen
Cluster_0292	Zm00001d032287,Zm00001d032285	Zm00001d032287	Sobic.007G122800.1	NA	Other_Orthologue
Cluster_0293	Zm00001d032317,Zm00001d032320	Zm00001d032317	Sobic.007G126500.1	NA	BLAST
Cluster_0295	Zm00001d032358,Zm00001d032357	Zm00001d032358	Sobic.007G105800.1	NA	Orthofinder_Only
Cluster_0298	Zm00001d032423,Zm00001d032422	Zm00001d032422	Sobic.001G191200.1	NA	BLAST
Cluster_0299	Zm00001d032447,Zm00001d032448	Zm00001d032448	Sobic.001G194100.1	NA	Both
Cluster_0299	Zm00001d032447,Zm00001d032448	Zm00001d032447	Sobic.001G194000.1	NA	Other_Orthologue
Cluster_0301	Zm00001d032471,Zm00001d032470	Zm00001d032471	Sobic.001G196500.1	NA	SynMap_Chosen
Cluster_0301	Zm00001d032471,Zm00001d032470	Zm00001d032470	Sobic.001G196500.2	OS10T0511900-01	Other_Orthologue
Cluster_0303	Zm00001d032496,Zm00001d032497	Zm00001d032497	Sobic.001G198900.1	NA	BLAST
Cluster_0304	Zm00001d032500,Zm00001d032499	Zm00001d032500	Sobic.001G199100.2	NA	BLAST
Cluster_0306	Zm00001d028102,Zm00001d028100	Zm00001d028102	Sobic.001G465800.1	NA	Both
Cluster_0310	Zm00001d032605,Zm00001d032608	Zm00001d032605	Sobic.001G208100.1	NA	Both
Cluster_0313	Zm00001d032691,Zm00001d032692	Zm00001d032691	Sobic.001G218400.1	NA	Both
Cluster_0313	Zm00001d032691,Zm00001d032692	Zm00001d032692	Sobic.001G218500.1	NA	Other_Orthologue
Cluster_0316	Zm00001d032744,Zm00001d032740	Zm00001d032740	Sobic.001G223100.1	NA	SynMap_Chosen
Cluster_0316	Zm00001d032744,Zm00001d032740	Zm00001d032744	Sobic.001G223200.1	NA	Other_Orthologue
Cluster_0321	Zm00001d032836,Zm00001d032837	Zm00001d032837	Sobic.001G233900.1	NA	Both
Cluster_0321	Zm00001d032836,Zm00001d032837	Zm00001d032836	Sobic.001G233800.1	OS10T0446100-01	Other_Orthologue
Cluster_0326	Zm00001d032917,Zm00001d032916	Zm00001d032916	Sobic.001G242300.2	NA	Orthofinder_Only
Cluster_0326	Zm00001d032917,Zm00001d032916	Zm00001d032917	Sobic.001G242500.1	NA	Orthofinder_Only
Cluster_0330	Zm00001d032974,Zm00001d032975	Zm00001d032974	Sobic.001G250300.1	NA	Both
Cluster_0332	Zm00001d033023,Zm00001d033021	Zm00001d033023	Sobic.004G151700.1	NA	Orthofinder_Only
Cluster_0337	Zm00001d028164,Zm00001d028162	Zm00001d028164	Sobic.001G470800.1	NA	Both
Cluster_0338	Zm00001d033109,Zm00001d033108	Zm00001d033109	Sobic.001G178300.1	NA	Both
Cluster_0338	Zm00001d033109,Zm00001d033108	Zm00001d033108	Sobic.001G178400.1	NA	Other_Orthologue
Cluster_0340	Zm00001d033130,Zm00001d033129	Zm00001d033130	Sobic.001G177100.1	NA	SynMap_Chosen
Cluster_0340	Zm00001d033130,Zm00001d033129	Zm00001d033129	Sobic.001G177400.1	NA	Other_Orthologue
Cluster_0343	Zm00001d033170,Zm00001d033171	Zm00001d033170	Sobic.001G173600.1	NA	BLAST
Cluster_0349	Zm00001d033272,Zm00001d033273	Zm00001d033273	Sobic.001G159600.1	NA	Both
Cluster_0358	Zm00001d033489,Zm00001d033490	Zm00001d033489	Sobic.001G149800.1	NA	SynMap_Chosen
Cluster_0358	Zm00001d033489,Zm00001d033490	Zm00001d033490	Sobic.001G150300.1	NA	Other_Orthologue
Cluster_0359	Zm00001d033514,Zm00001d033516	Zm00001d033516	Sobic.001G136400.1	NA	Both
Cluster_0362	Zm00001d033544,Zm00001d033543	Zm00001d033544	Sobic.001G134900.1	NA	Both
Cluster_0362	Zm00001d033544,Zm00001d033543	Zm00001d033543	Sobic.001G134800.1	OS03T0684700-01	Other_Orthologue
Cluster_0366	Zm00001d033627,Zm00001d033625	Zm00001d033625	Sobic.001G125300.1	NA	Orthofinder_Only
Cluster_0375	Zm00001d033861,Zm00001d033859	Zm00001d033859	Sobic.001G106200.1	NA	Both
Cluster_0375	Zm00001d033861,Zm00001d033859	Zm00001d033861	Sobic.001G106000.2	OS03T0727200-00	Other_Orthologue
Cluster_0378	Zm00001d033927,Zm00001d033929	Zm00001d033929	Sobic.001G098000.1	NA	Both
Cluster_0378	Zm00001d033927,Zm00001d033929	Zm00001d033927	Sobic.001G098400.1	NA	Other_Orthologue
Cluster_0379	Zm00001d033979,Zm00001d033980	Zm00001d033980	NA	OS03T0743500-02	BLAST
Cluster_0381	Zm00001d034002,Zm00001d034003	Zm00001d034002	Sobic.001G091000.1	NA	Both
Cluster_0381	Zm00001d034002,Zm00001d034003	Zm00001d034003	Sobic.001G090900.2	OS03T0747500-01	Other_Orthologue
Cluster_0382	Zm00001d034015,Zm00001d034017	Zm00001d034017	Sobic.001G089000.1	NA	Both
Cluster_0382	Zm00001d034015,Zm00001d034017	Zm00001d034015	Sobic.001G089100.3	NA	Other_Orthologue
Cluster_0388	Zm00001d034129,Zm00001d034128	Zm00001d034129	Sobic.001G080200.1	NA	Both
Cluster_0388	Zm00001d034129,Zm00001d034128	Zm00001d034128	Sobic.001G080300.1	NA	Other_Orthologue
Cluster_0389	Zm00001d034137,Zm00001d034125	Zm00001d034137	NA	OS03T0763000-01	SynMap_Chosen
Cluster_0389	Zm00001d034137,Zm00001d034125	Zm00001d034125	Sobic.001G080700.1	NA	Other_Orthologue
Cluster_0393	Zm00001d028269,Zm00001d028270	Zm00001d028270	Sobic.002G229500.1	NA	Orthofinder_Only
Cluster_0394	Zm00001d034237,Zm00001d034232	Zm00001d034237	Sobic.001G074200.1	NA	Both
Cluster_0397	Zm00001d034254,Zm00001d034253	Zm00001d034254	Sobic.001G072800.1	NA	SynMap_Chosen
Cluster_0398	Zm00001d034265,Zm00001d034266	Zm00001d034265	Sobic.001G071500.1	NA	Both
Cluster_0403	Zm00001d028280,Zm00001d028286	Zm00001d028280	Sobic.001G449800.1	NA	Both
Cluster_0403	Zm00001d028280,Zm00001d028286	Zm00001d028286	Sobic.001G449300.1	NA	Other_Orthologue
Cluster_0404	Zm00001d034376,Zm00001d034372	Zm00001d034376	Sobic.001G063300.1	NA	SynMap_Chosen
Cluster_0404	Zm00001d034376,Zm00001d034372	Zm00001d034372	Sobic.001G063600.1	OS03T0788500-01	Other_Orthologue
Cluster_0417	Zm00001d034553,Zm00001d034554	Zm00001d034553	Sobic.001G045700.1	NA	Both
Cluster_0418	Zm00001d034621,Zm00001d034620	Zm00001d034620	Sobic.001G038200.1	NA	Both
Cluster_0420	Zm00001d034644,Zm00001d034643	Zm00001d034644	Sobic.001G034700.1	NA	SynMap_Chosen
Cluster_0420	Zm00001d034644,Zm00001d034643	Zm00001d034643	Sobic.001G034900.1	NA	Other_Orthologue
Cluster_0422	Zm00001d034662,Zm00001d034658	Zm00001d034662	Sobic.001G033400.1	NA	Both
Cluster_0423	Zm00001d034669,Zm00001d034668	Zm00001d034668	Sobic.001G032700.1	NA	SynMap_Chosen
Cluster_0423	Zm00001d034669,Zm00001d034668	Zm00001d034669	Sobic.001G032550.1	NA	Other_Orthologue
Cluster_0425	Zm00001d034675,Zm00001d034676	Zm00001d034675	Sobic.001G031900.1	NA	SynMap_Chosen
Cluster_0427	Zm00001d028309,Zm00001d028308	Zm00001d028309	Sobic.001G447000.1	NA	BLAST
Cluster_0436	Zm00001d028319,Zm00001d028317	Zm00001d028317	Sobic.001G446400.1	NA	Both
Cluster_0437	Zm00001d034935,Zm00001d034936	Zm00001d034935	Sobic.001G000800.1	NA	Both
Cluster_0437	Zm00001d034935,Zm00001d034936	Zm00001d034936	Sobic.001G000900.1	NA	Other_Orthologue
Cluster_0441	Zm00001d028355,Zm00001d028354	Zm00001d028355	Sobic.001G443900.1	NA	Both
Cluster_0441	Zm00001d028355,Zm00001d028354	Zm00001d028354	Sobic.001G444100.1	NA	Other_Orthologue
Cluster_0442	Zm00001d028368,Zm00001d028367	Zm00001d028367	Sobic.001G442300.1	NA	SynMap_Chosen
Cluster_0442	Zm00001d028368,Zm00001d028367	Zm00001d028368	Sobic.001G442200.1	NA	Other_Orthologue
Cluster_0443	Zm00001d028400,Zm00001d028399	Zm00001d028400	Sobic.001G439100.1	NA	BLAST
Cluster_0445	Zm00001d028456,Zm00001d028457	Zm00001d028456	Sobic.001G431800.1	NA	Both
Cluster_0445	Zm00001d028456,Zm00001d028457	Zm00001d028457	Sobic.001G431900.1	NA	Other_Orthologue
Cluster_0449	Zm00001d028554,Zm00001d028556	Zm00001d028554	Sobic.001G426100.1	NA	BLAST_Leftmost
Cluster_0452	Zm00001d028679,Zm00001d028680	Zm00001d028679	Sobic.001G414500.1	NA	Both
Cluster_0452	Zm00001d028679,Zm00001d028680	Zm00001d028680	Sobic.001G414400.2	OS01T0837000-01	Other_Orthologue
Cluster_0453	Zm00001d028692,Zm00001d028693	Zm00001d028692	Sobic.001G412800.1	NA	Both
Cluster_0453	Zm00001d028692,Zm00001d028693	Zm00001d028693	Sobic.001G412700.1	OS03T0283200-00	Other_Orthologue
Cluster_0455	Zm00001d028767,Zm00001d028768	Zm00001d028767	Sobic.001G405200.1	NA	Both
Cluster_0455	Zm00001d028767,Zm00001d028768	Zm00001d028768	Sobic.001G405150.1	NA	Other_Orthologue
Cluster_0456	Zm00001d028776,Zm00001d028775	Zm00001d028776	Sobic.001G404500.1	NA	SynMap_Chosen
Cluster_0456	Zm00001d028776,Zm00001d028775	Zm00001d028775	Sobic.001G404500.1	NA	Other_Orthologue
Cluster_0457	Zm00001d028788,Zm00001d028789	Zm00001d028788	Sobic.002G229500.1	NA	Orthofinder_Only
Cluster_0457	Zm00001d028788,Zm00001d028789	Zm00001d028789	Sobic.010G237100.1	OS06T0686900-01	Orthofinder_Only
Cluster_0462	Zm00001d028900,Zm00001d028899	Zm00001d028899	Sobic.001G395000.1	OS03T0308600-01	Orthofinder_Only
Cluster_0462	Zm00001d028900,Zm00001d028899	Zm00001d028900	Sobic.001G394900.1	OS03T0308700-00	Orthofinder_Only
Cluster_0463	Zm00001d027436,Zm00001d027439	Zm00001d027436	Sobic.001G525500.1	NA	Orthofinder_Only
Cluster_0463	Zm00001d027436,Zm00001d027439	Zm00001d027439	Sobic.001G525400.1	OS03T0124300-01	Orthofinder_Only
Cluster_0466	Zm00001d029084,Zm00001d029088	Zm00001d029084	Sobic.001G378800.2	NA	BLAST_Leftmost
Cluster_0469	Zm00001d029099,Zm00001d029101	Zm00001d029099	Sobic.001G377500.1	NA	Both
Cluster_0485	Zm00001d029376,Zm00001d029377	Zm00001d029376	Sobic.001G352600.1	NA	Both
Cluster_0485	Zm00001d029376,Zm00001d029377	Zm00001d029377	Sobic.001G352500.1	NA	Other_Orthologue
Cluster_0487	Zm00001d027508,Zm00001d027509	Zm00001d027508	NA	OS03T0130900-01	BLAST
Cluster_0490	Zm00001d029462,Zm00001d029461	Zm00001d029462	Sobic.001G341800.1	NA	SynMap_Chosen
Cluster_0490	Zm00001d029462,Zm00001d029461	Zm00001d029461	Sobic.001G341900.1	OS03T0406900-01	Other_Orthologue
Cluster_0491	Zm00001d029476,Zm00001d029478	Zm00001d029476	Sobic.001G341200.1	NA	SynMap_Chosen
Cluster_0491	Zm00001d029476,Zm00001d029478	Zm00001d029478	Sobic.001G341100.1	NA	Other_Orthologue
Cluster_0496	Zm00001d029550,Zm00001d029551	Zm00001d029550	Sobic.001G333900.1	NA	Both
Cluster_0502	Zm00001d029601,Zm00001d029602	Zm00001d029602	Sobic.001G328500.1	NA	Both
Cluster_0503	Zm00001d029619,Zm00001d029620	Zm00001d029620	Sobic.001G325600.1	NA	SynMap_Chosen
Cluster_0503	Zm00001d029619,Zm00001d029620	Zm00001d029619	Sobic.001G325400.1	NA	Other_Orthologue
Cluster_0505	Zm00001d029657,Zm00001d029656	Zm00001d029657	Sobic.001G322300.1	NA	Both
Cluster_0511	Zm00001d029730,Zm00001d029729	Zm00001d029730	Sobic.001G315200.1	NA	Both
Cluster_0519	Zm00001d029922,Zm00001d029924	Zm00001d029924	Sobic.001G302500.1	NA	Both
Cluster_0519	Zm00001d029922,Zm00001d029924	Zm00001d029922	Sobic.001G302400.1	NA	Other_Orthologue
Cluster_0521	Zm00001d029972,Zm00001d029973	Zm00001d029973	Sobic.001G294900.1	NA	SynMap_Chosen
Cluster_0521	Zm00001d029972,Zm00001d029973	Zm00001d029972	Sobic.002G229500.1	NA	Other_Orthologue
Cluster_0523	Zm00001d004287,Zm00001d004288	Zm00001d004287	Sobic.006G028000.1	NA	BLAST
Cluster_0525	Zm00001d002319,Zm00001d002320	Zm00001d002319	Sobic.006G214500.1	NA	Both
Cluster_0537	Zm00001d004457,Zm00001d004458	Zm00001d004458	Sobic.006G013500.1	NA	Both
Cluster_0542	Zm00001d001802,Zm00001d001800	Zm00001d001802	Sobic.006G270500.1	NA	SynMap_Chosen
Cluster_0542	Zm00001d001802,Zm00001d001800	Zm00001d001800	Sobic.006G270500.1	NA	Other_Orthologue
Cluster_0557	Zm00001d002476,Zm00001d002482	Zm00001d002476	Sobic.006G199800.1	NA	Both
Cluster_0561	Zm00001d004785,Zm00001d004784	Zm00001d004784	Sobic.005G059500.1	NA	BLAST
Cluster_0567	Zm00001d002515,Zm00001d002514	Zm00001d002514	Sobic.006G195200.1	NA	Both
Cluster_0567	Zm00001d002515,Zm00001d002514	Zm00001d002515	Sobic.006G195000.1	NA	Other_Orthologue
Cluster_0575	Zm00001d004977,Zm00001d004978	Zm00001d004978	Sobic.005G028800.1	NA	Both
Cluster_0576	Zm00001d002553,Zm00001d002551	Zm00001d002553	Sobic.004G140400.1	NA	Orthofinder_Only
Cluster_0577	Zm00001d004994,Zm00001d004995	Zm00001d004995	Sobic.005G025100.1	NA	Both
Cluster_0583	Zm00001d002572,Zm00001d002570	Zm00001d002570	Sobic.006G189000.1	NA	SynMap_Chosen
Cluster_0584	Zm00001d005062,Zm00001d005060	Zm00001d005060	Sobic.005G013300.1	NA	BLAST_Leftmost
Cluster_0593	Zm00001d002618,Zm00001d002620	Zm00001d002618	Sobic.006G184800.1	NA	Both
