Cluster_ID	Cluster_Genes	Maize_Gene	Sorghum_Gene	Orzya_Gene	Note
Cluster_0029	Zm00008a037991,Zm00008a037992	Zm00008a037992	Sobic.006G097500.1	NA	PASS
Cluster_0032	Zm00008a038017,Zm00008a038018	Zm00008a038017	Sobic.006G102800.1	NA	PASS
Cluster_0034	Zm00008a038033,Zm00008a038044	Zm00008a038044	Sobic.006G105900.1	OS04T0459500-02	PASS
Cluster_0038	Zm00008a038111,Zm00008a038100,Zm00008a038112	Zm00008a038100	Sobic.006G116200.1	NA	PASS
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125	Zm00008a038123	Sobic.006G123100.1	NA	PASS
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125	Zm00008a038125	Sobic.006G123200.1	OS04T0481900-00	PASS
Cluster_0041	Zm00008a038127,Zm00008a038128	Zm00008a038128	Sobic.006G123900.1	NA	PASS
Cluster_0042	Zm00008a038136,Zm00008a038135	Zm00008a038135	Sobic.006G126100.1	OS04T0485100-01	PASS
Cluster_0044	Zm00008a036598,Zm00008a036599	Zm00008a036599	Sobic.008G032000.1	OS11T0113700-01	FAIL
Cluster_0048	Zm00008a036287,Zm00008a036279	Zm00008a036279	Sobic.008G003600.1	NA	PASS
Cluster_0048	Zm00008a036287,Zm00008a036279	Zm00008a036287	Sobic.005G004800.1	NA	FAIL
Cluster_0049	Zm00008a038210,Zm00008a038208	Zm00008a038210	Sobic.006G140300.1	NA	PASS
Cluster_0051	Zm00008a038214,Zm00008a038213	Zm00008a038214	Sobic.006G140600.1	NA	PASS
Cluster_0052	Zm00008a038235,Zm00008a038236	Zm00008a038235	Sobic.006G146200.1	NA	PASS
Cluster_0052	Zm00008a038235,Zm00008a038236	Zm00008a038236	Sobic.006G146000.1	NA	PASS
Cluster_0053	Zm00008a038238,Zm00008a038239	Zm00008a038239	Sobic.006G144900.1	NA	PASS
Cluster_0058	Zm00008a038285,Zm00008a038286	Zm00008a038285	Sobic.001G040701.1	NA	FAIL
Cluster_0058	Zm00008a038285,Zm00008a038286	Zm00008a038286	Sobic.007G149600.1	NA	FALSE
Cluster_0060	Zm00008a038289,Zm00008a038288	Zm00008a038289	Sobic.006G157500.1	NA	PASS
Cluster_0061	Zm00008a038296,Zm00008a038294,Zm00008a038295	Zm00008a038295	Sobic.006G158200.1	NA	PASS
Cluster_0062	Zm00008a038297,Zm00008a038298,Zm00008a038299	Zm00008a038298	Sobic.006G158400.1	NA	PASS
Cluster_0062	Zm00008a038297,Zm00008a038298,Zm00008a038299	Zm00008a038299	Sobic.006G158800.1	NA	PASS
Cluster_0064	Zm00008a038354,Zm00008a038353,Zm00008a038352	Zm00008a038352	Sobic.010G086400.2	OS06T0218300-01	PASS
Cluster_0064	Zm00008a038354,Zm00008a038353,Zm00008a038352	Zm00008a038354	Sobic.006G189700.1	NA	PASS
Cluster_0066	Zm00008a038374,Zm00008a038373	Zm00008a038373	Sobic.006G194000.1	NA	PASS
Cluster_0071	Zm00008a038448,Zm00008a038449	Zm00008a038449	Sobic.006G180200.1	NA	PASS
Cluster_0073	Zm00008a038461,Zm00008a038460	Zm00008a038461	Sobic.006G178200.1	NA	PASS
Cluster_0073	Zm00008a038461,Zm00008a038460	Zm00008a038460	Sobic.006G178300.2	NA	PASS
Cluster_0074	Zm00008a038466,Zm00008a038465	Zm00008a038466	Sobic.006G176200.1	NA	PASS
Cluster_0075	Zm00008a038472,Zm00008a038471	Zm00008a038472	Sobic.010G039500.1	NA	FAIL
Cluster_0077	Zm00008a038487,Zm00008a038486	Zm00008a038486	Sobic.006G172400.1	OS04T0554300-00	PASS
Cluster_0078	Zm00008a038489,Zm00008a038488	Zm00008a038488	Sobic.006G172200.2	NA	PASS
Cluster_0079	Zm00008a038492,Zm00008a038493	Zm00008a038492	Sobic.006G171300.1	OS04T0552200-00	PASS
Cluster_0079	Zm00008a038492,Zm00008a038493	Zm00008a038493	Sobic.006G171200.1	OS05T0246300-01	PASS
Cluster_0081	Zm00008a038507,Zm00008a038506	Zm00008a038506	Sobic.006G170600.1	NA	PASS
Cluster_0081	Zm00008a038507,Zm00008a038506	Zm00008a038507	Sobic.006G170500.2	NA	PASS
Cluster_0083	Zm00008a038511,Zm00008a038517	Zm00008a038511	Sobic.006G169900.1	NA	PASS
Cluster_0083	Zm00008a038511,Zm00008a038517	Zm00008a038517	Sobic.006G167800.3	OS04T0546800-01	PASS
Cluster_0084	Zm00008a038513,Zm00008a038514	Zm00008a038513	Sobic.006G169700.1	NA	PASS
Cluster_0085	Zm00008a038552,Zm00008a038551,Zm00008a038550,Zm00008a038549	Zm00008a038551	Sobic.007G157200.1	NA	FALSE
Cluster_0086	Zm00008a038562,Zm00008a038561	Zm00008a038562	Sobic.006G205700.1	NA	PASS
Cluster_0086	Zm00008a038562,Zm00008a038561	Zm00008a038561	Sobic.006G205600.1	NA	PASS
Cluster_0087	Zm00008a036289,Zm00008a036291	Zm00008a036289	Sobic.008G009100.1	NA	PASS
Cluster_0087	Zm00008a036289,Zm00008a036291	Zm00008a036291	Sobic.008G009200.1	NA	PASS
Cluster_0090	Zm00008a038603,Zm00008a038604	Zm00008a038603	Sobic.006G215000.1	NA	PASS
Cluster_0094	Zm00008a038656,Zm00008a038657,Zm00008a038659	Zm00008a038656	Sobic.006G226700.1	NA	PASS
Cluster_0094	Zm00008a038656,Zm00008a038657,Zm00008a038659	Zm00008a038657	Sobic.006G227300.1	NA	PASS
Cluster_0097	Zm00008a038725,Zm00008a038726	Zm00008a038725	Sobic.006G242300.1	NA	PASS
Cluster_0097	Zm00008a038725,Zm00008a038726	Zm00008a038726	Sobic.006G242300.1	NA	PASS
Cluster_0098	Zm00008a038746,Zm00008a038747	Zm00008a038746	Sobic.001G267500.1	NA	FAIL
Cluster_0099	Zm00008a038761,Zm00008a038760	Zm00008a038761	Sobic.006G247700.1	NA	PASS
Cluster_0100	Zm00008a038775,Zm00008a038777,Zm00008a038776	Zm00008a038775	Sobic.006G251400.1	OS04T0661100-00	PASS
Cluster_0103	Zm00008a038807,Zm00008a038809,Zm00008a038808	Zm00008a038808	Sobic.006G258600.2	NA	PASS
Cluster_0105	Zm00008a038830,Zm00008a038831	Zm00008a038830	Sobic.006G262300.1	OS01T0551400-00	PASS
Cluster_0106	Zm00008a038869,Zm00008a038868	Zm00008a038868	Sobic.006G270800.1	OS04T0681500-01	PASS
Cluster_0108	Zm00008a038890,Zm00008a038888	Zm00008a038890	Sobic.006G274000.1	OS04T0685000-01	PASS
Cluster_0111	Zm00008a038897,Zm00008a038898	Zm00008a038897	NA	OS04T0685900-01	SynMap_Chosen
Cluster_0113	Zm00008a038922,Zm00008a038921	Zm00008a038921	Sobic.006G116300.2	NA	FAIL
Cluster_0114	Zm00008a036633,Zm00008a036631	Zm00008a036631	Sobic.008G094400.1	NA	PASS
Cluster_0114	Zm00008a036633,Zm00008a036631	Zm00008a036633	Sobic.008G094300.1	NA	PASS
Cluster_0117	Zm00008a036650,Zm00008a036652	Zm00008a036650	Sobic.008G062300.1	OS12T0183200-00	PASS
Cluster_0117	Zm00008a036650,Zm00008a036652	Zm00008a036652	Sobic.008G062400.1	NA	PASS
Cluster_0118	Zm00008a036672,Zm00008a036669,Zm00008a036670,Zm00008a036667,Zm00008a036673	Zm00008a036673	Sobic.008G104400.1	OS12T0502700-01	PASS
Cluster_0119	Zm00008a036678,Zm00008a036679	Zm00008a036679	Sobic.008G104000.1	OS12T0502300-01	PASS
Cluster_0120	Zm00008a036680,Zm00008a036681	Zm00008a036680	Sobic.008G103800.1	NA	PASS
Cluster_0123	Zm00008a036706,Zm00008a036705	Zm00008a036706	Sobic.005G104800.1	NA	FAIL
Cluster_0124	Zm00008a036311,Zm00008a036309	Zm00008a036309	Sobic.008G012700.1	NA	PASS
Cluster_0124	Zm00008a036311,Zm00008a036309	Zm00008a036311	Sobic.008G012800.2	OS11T0141500-00	PASS
Cluster_0125	Zm00008a036712,Zm00008a036713	Zm00008a036713	Sobic.K001900.1	NA	FAIL
Cluster_0127	Zm00008a036315,Zm00008a036303	Zm00008a036315	Sobic.008G013800.1	NA	PASS
Cluster_0127	Zm00008a036315,Zm00008a036303	Zm00008a036303	Sobic.008G011200.1	NA	PASS
Cluster_0128	Zm00008a036318,Zm00008a036316	Zm00008a036316	Sobic.008G014000.1	NA	PASS
Cluster_0131	Zm00008a036744,Zm00008a036745	Zm00008a036745	Sobic.010G184900.1	NA	FAIL
Cluster_0133	Zm00008a036763,Zm00008a036761	Zm00008a036763	Sobic.008G123000.1	NA	FAIL
Cluster_0136	Zm00008a036773,Zm00008a036757	Zm00008a036757	Sobic.008G118600.1	NA	PASS
Cluster_0137	Zm00008a036779,Zm00008a036778,Zm00008a036782,Zm00008a036780,Zm00008a036781	Zm00008a036779	Sobic.008G117600.2	NA	PASS
Cluster_0138	Zm00008a036803,Zm00008a036805,Zm00008a036804	Zm00008a036805	Sobic.008G113900.1	NA	PASS
Cluster_0139	Zm00008a036806,Zm00008a036807	Zm00008a036807	Sobic.008G113700.1	NA	PASS
Cluster_0140	Zm00008a036342,Zm00008a036343	Zm00008a036342	Sobic.008G019400.1	NA	PASS
Cluster_0142	Zm00008a036347,Zm00008a036349	Zm00008a036347	Sobic.008G020300.1	NA	PASS
Cluster_0143	Zm00008a036353,Zm00008a036352	Zm00008a036352	Sobic.008G021000.1	NA	PASS
Cluster_0144	Zm00008a036829,Zm00008a036826	Zm00008a036826	Sobic.008G111300.2	OS12T0514000-01	PASS
Cluster_0144	Zm00008a036829,Zm00008a036826	Zm00008a036829	Sobic.008G111100.1	NA	FAIL
Cluster_0146	Zm00008a036368,Zm00008a036369,Zm00008a036371,Zm00008a036370	Zm00008a036369	Sobic.008G026200.1	OS02T0262800-01	PASS
Cluster_0147	Zm00008a036866,Zm00008a036864,Zm00008a036863	Zm00008a036863	Sobic.008G079800.1	NA	PASS
Cluster_0154	Zm00008a036897,Zm00008a036898	Zm00008a036897	Sobic.008G083000.3	OS12T0233400-01	PASS
Cluster_0156	Zm00008a036389,Zm00008a036385	Zm00008a036385	Sobic.008G028400.1	NA	PASS
Cluster_0156	Zm00008a036389,Zm00008a036385	Zm00008a036389	Sobic.008G028800.1	OS10T0558600-00	PASS
Cluster_0158	Zm00008a036391,Zm00008a036390,Zm00008a036392,Zm00008a036387	Zm00008a036390	Sobic.008G029500.1	NA	PASS
Cluster_0158	Zm00008a036391,Zm00008a036390,Zm00008a036392,Zm00008a036387	Zm00008a036392	Sobic.008G029800.1	NA	PASS
Cluster_0159	Zm00008a036394,Zm00008a036384	Zm00008a036384	Sobic.010G231400.1	OS12T0432600-01	FAIL
Cluster_0159	Zm00008a036394,Zm00008a036384	Zm00008a036394	Sobic.008G030200.2	NA	PASS
Cluster_0160	Zm00008a036399,Zm00008a036405,Zm00008a036404,Zm00008a036406,Zm00008a036401,Zm00008a036400,Zm00008a036402	Zm00008a036400	Sobic.008G032000.1	NA	PASS
Cluster_0160	Zm00008a036399,Zm00008a036405,Zm00008a036404,Zm00008a036406,Zm00008a036401,Zm00008a036400,Zm00008a036402	Zm00008a036406	NA	OS11T0113700-01	PASS
Cluster_0163	Zm00008a036421,Zm00008a036420	Zm00008a036421	Sobic.008G034700.1	NA	PASS
Cluster_0165	Zm00008a036427,Zm00008a036440,Zm00008a036426	Zm00008a036426	Sobic.008G035800.1	NA	PASS
Cluster_0165	Zm00008a036427,Zm00008a036440,Zm00008a036426	Zm00008a036427	Sobic.008G035700.1	NA	PASS
Cluster_0166	Zm00008a036438,Zm00008a036433	Zm00008a036433	Sobic.008G036900.1	NA	PASS
Cluster_0167	Zm00008a036435,Zm00008a036436	Zm00008a036436	Sobic.008G037100.1	NA	PASS
Cluster_0170	Zm00008a036439,Zm00008a036432	Zm00008a036439	Sobic.008G036000.1	NA	PASS
Cluster_0171	Zm00008a037011,Zm00008a037010,Zm00008a037013,Zm00008a037029,Zm00008a037016	Zm00008a037029	Sobic.007G064800.1	NA	PASS
Cluster_0172	Zm00008a037017,Zm00008a037005	Zm00008a037017	Sobic.007G062100.1	NA	PASS
Cluster_0172	Zm00008a037017,Zm00008a037005	Zm00008a037005	Sobic.007G092000.1	NA	PASS
Cluster_0174	Zm00008a037021,Zm00008a037022	Zm00008a037022	Sobic.007G062200.1	OS08T0179400-00	PASS
Cluster_0175	Zm00008a036458,Zm00008a036469	Zm00008a036458	Sobic.008G040300.1	OS11T0153900-01	PASS
Cluster_0177	Zm00008a037039,Zm00008a037037,Zm00008a037043,Zm00008a037041	Zm00008a037037	Sobic.007G065900.1	OS12T0154800-00	PASS
Cluster_0177	Zm00008a037039,Zm00008a037037,Zm00008a037043,Zm00008a037041	Zm00008a037039	NA	OS12T0155000-00	PASS
Cluster_0178	Zm00008a037056,Zm00008a037057	Zm00008a037056	Sobic.007G069100.1	NA	FAIL
Cluster_0179	Zm00008a037070,Zm00008a037062	Zm00008a037070	Sobic.007G090451.1	NA	FAIL
Cluster_0180	Zm00008a037101,Zm00008a037100	Zm00008a037100	Sobic.007G076100.1	NA	PASS
Cluster_0181	Zm00008a037108,Zm00008a037107,Zm00008a037106	Zm00008a037107	Sobic.007G077532.1	NA	PASS
Cluster_0181	Zm00008a037108,Zm00008a037107,Zm00008a037106	Zm00008a037108	Sobic.007G077466.1	NA	PASS
Cluster_0185	Zm00008a037128,Zm00008a037131	Zm00008a037131	Sobic.007G082500.1	NA	PASS
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037148	Sobic.007G085600.1	OS08T0237800-00	FAIL
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037152	Sobic.007G090460.1	NA	FAIL
Cluster_0187	Zm00008a037152,Zm00008a037154,Zm00008a037149,Zm00008a037148	Zm00008a037154	Sobic.007G090436.1	NA	FAIL
Cluster_0189	Zm00008a036484,Zm00008a036486	Zm00008a036486	Sobic.008G043600.1	NA	PASS
Cluster_0190	Zm00008a037163,Zm00008a037162	Zm00008a037162	Sobic.010G235200.2	OS07T0530300-01	FAIL
Cluster_0192	Zm00008a037205,Zm00008a037206	Zm00008a037205	Sobic.007G056900.1	NA	PASS
Cluster_0195	Zm00008a036497,Zm00008a036498	Zm00008a036497	Sobic.008G045450.1	NA	PASS
Cluster_0196	Zm00008a036271,Zm00008a036270	Zm00008a036271	Sobic.008G002400.1	OS12T0104300-01	FAIL
Cluster_0197	Zm00008a037222,Zm00008a037223	Zm00008a037222	Sobic.002G117000.1	OS07T0418200-01	FAIL
Cluster_0199	Zm00008a036501,Zm00008a036502	Zm00008a036501	Sobic.008G046500.1	NA	PASS
Cluster_0199	Zm00008a036501,Zm00008a036502	Zm00008a036502	Sobic.004G146400.1	NA	PASS
Cluster_0202	Zm00008a037269,Zm00008a037270	Zm00008a037269	Sobic.007G047400.1	NA	PASS
Cluster_0203	Zm00008a037279,Zm00008a037275,Zm00008a037277	Zm00008a037279	Sobic.003G211233.1	NA	FAIL
Cluster_0204	Zm00008a037281,Zm00008a037287	Zm00008a037281	Sobic.007G046100.1	NA	PASS
Cluster_0206	Zm00008a037301,Zm00008a037300,Zm00008a037299	Zm00008a037300	Sobic.007G043300.2	NA	PASS
Cluster_0207	Zm00008a037309,Zm00008a037310	Zm00008a037309	Sobic.007G042400.1	NA	PASS
Cluster_0209	Zm00008a037327,Zm00008a037326	Zm00008a037327	Sobic.007G039300.1	NA	PASS
Cluster_0210	Zm00008a037333,Zm00008a037334	Zm00008a037333	Sobic.007G038500.1	OS08T0151900-00	PASS
Cluster_0213	Zm00008a037347,Zm00008a037348	Zm00008a037347	Sobic.007G035300.1	NA	PASS
Cluster_0213	Zm00008a037347,Zm00008a037348	Zm00008a037348	Sobic.007G035500.1	NA	PASS
Cluster_0215	Zm00008a036513,Zm00008a036506	Zm00008a036506	NA	OS12T0163600-01	PASS
Cluster_0215	Zm00008a036513,Zm00008a036506	Zm00008a036513	Sobic.008G047100.1	NA	PASS
Cluster_0219	Zm00008a036515,Zm00008a036516	Zm00008a036515	Sobic.008G048200.1	NA	PASS
Cluster_0222	Zm00008a037401,Zm00008a037402	Zm00008a037402	Sobic.009G031400.1	NA	PASS
Cluster_0223	Zm00008a037406,Zm00008a037407	Zm00008a037406	Sobic.009G031900.1	NA	PASS
Cluster_0224	Zm00008a037410,Zm00008a037409	Zm00008a037409	Sobic.009G032400.1	NA	PASS
Cluster_0225	Zm00008a037418,Zm00008a037434	Zm00008a037434	Sobic.009G033700.1	NA	PASS
Cluster_0225	Zm00008a037418,Zm00008a037434	Zm00008a037418	Sobic.009G033100.2	OS01T0310800-01	PASS
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037411	Sobic.009G032600.1	NA	PASS
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037415	Sobic.009G032800.1	OS05T0135000-01	PASS
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037416	Sobic.009G032900.1	NA	PASS
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037428	Sobic.009G033300.2	NA	PASS
Cluster_0227	Zm00008a037427,Zm00008a037430,Zm00008a037415,Zm00008a037416,Zm00008a037411,Zm00008a037426,Zm00008a037412,Zm00008a037428,Zm00008a037429	Zm00008a037430	Sobic.009G033500.1	NA	PASS
Cluster_0228	Zm00008a037437,Zm00008a037439,Zm00008a037438	Zm00008a037437	Sobic.009G034100.1	NA	PASS
Cluster_0231	Zm00008a037440,Zm00008a037455,Zm00008a037456	Zm00008a037440	Sobic.009G034200.3	NA	PASS
Cluster_0231	Zm00008a037440,Zm00008a037455,Zm00008a037456	Zm00008a037456	Sobic.009G035700.1	NA	PASS
Cluster_0232	Zm00008a036522,Zm00008a036524	Zm00008a036522	Sobic.008G049900.1	NA	FAIL
Cluster_0232	Zm00008a036522,Zm00008a036524	Zm00008a036524	Sobic.008G050100.1	NA	PASS
Cluster_0233	Zm00008a037458,Zm00008a037457	Zm00008a037457	Sobic.K024500.1	NA	FAIL
Cluster_0235	Zm00008a037478,Zm00008a037480	Zm00008a037478	Sobic.009G039200.1	NA	PASS
Cluster_0238	Zm00008a037502,Zm00008a037498,Zm00008a037501,Zm00008a037500	Zm00008a037500	NA	OS05T0149400-01	PASS
Cluster_0238	Zm00008a037502,Zm00008a037498,Zm00008a037501,Zm00008a037500	Zm00008a037502	Sobic.009G044400.1	NA	PASS
Cluster_0239	Zm00008a037512,Zm00008a037514	Zm00008a037512	Sobic.006G015400.1	NA	FAIL
Cluster_0239	Zm00008a037512,Zm00008a037514	Zm00008a037514	Sobic.006G015300.1	NA	FAIL
Cluster_0240	Zm00008a036531,Zm00008a036533,Zm00008a036532,Zm00008a036534	Zm00008a036531	Sobic.008G051400.2	NA	PASS
Cluster_0240	Zm00008a036531,Zm00008a036533,Zm00008a036532,Zm00008a036534	Zm00008a036534	NA	OS12T0168800-01	true_syntenic
Cluster_0241	Zm00008a037535,Zm00008a037536	Zm00008a037535	Sobic.006G014000.2	NA	FAIL
Cluster_0241	Zm00008a037535,Zm00008a037536	Zm00008a037536	Sobic.006G004600.2	NA	PASS
Cluster_0243	Zm00008a036539,Zm00008a036541,Zm00008a036540,Zm00008a036545,Zm00008a036550	Zm00008a036539	Sobic.008G052500.1	NA	PASS
Cluster_0243	Zm00008a036539,Zm00008a036541,Zm00008a036540,Zm00008a036545,Zm00008a036550	Zm00008a036550	Sobic.008G053800.1	NA	PASS
Cluster_0245	Zm00008a037567,Zm00008a037566	Zm00008a037567	Sobic.006G002000.1	NA	PASS
Cluster_0245	Zm00008a037567,Zm00008a037566	Zm00008a037566	Sobic.006G002100.1	NA	PASS
Cluster_0247	Zm00008a037570,Zm00008a037571	Zm00008a037571	Sobic.006G001000.1	NA	PASS
Cluster_0249	Zm00008a037576,Zm00008a037577	Zm00008a037577	Sobic.006G000100.1	OS06T0303400-00	FAIL
Cluster_0250	Zm00008a037585,Zm00008a037584	Zm00008a037584	Sobic.003G192600.1	NA	FAIL
Cluster_0250	Zm00008a037585,Zm00008a037584	Zm00008a037585	Sobic.003G192400.1	OS01T0117700-00	FAIL
Cluster_0251	Zm00008a037589,Zm00008a037590	Zm00008a037590	Sobic.001G010800.1	OS04T0303900-01	FAIL
Cluster_0254	Zm00008a037615,Zm00008a037614	Zm00008a037614	Sobic.003G168600.1	NA	FAIL
Cluster_0255	Zm00008a037629,Zm00008a037632	Zm00008a037629	Sobic.006G029200.1	NA	FAIL
Cluster_0255	Zm00008a037629,Zm00008a037632	Zm00008a037632	Sobic.006G028600.1	OS04T0182300-00	PASS
Cluster_0256	Zm00008a036552,Zm00008a036551	Zm00008a036551	Sobic.008G054000.1	NA	PASS
Cluster_0258	Zm00008a037644,Zm00008a037645	Zm00008a037644	Sobic.006G024000.1	OS04T0206600-01	PASS
Cluster_0259	Zm00008a037655,Zm00008a037646	Zm00008a037646	Sobic.006G022800.1	NA	PASS
Cluster_0261	Zm00008a002189,Zm00008a002190	Zm00008a002190	Sobic.001G286300.2	NA	PASS
Cluster_0263	Zm00008a002203,Zm00008a002201	Zm00008a002203	Sobic.001G285100.1	NA	PASS
Cluster_0263	Zm00008a002203,Zm00008a002201	Zm00008a002201	Sobic.001G285200.2	NA	PASS
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000334	Sobic.001G506900.1	NA	PASS
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000335	Sobic.001G506800.1	NA	PASS
Cluster_0264	Zm00008a000336,Zm00008a000337,Zm00008a000334,Zm00008a000335,Zm00008a000338	Zm00008a000336	Sobic.001G506600.1	NA	PASS
Cluster_0266	Zm00008a000341,Zm00008a000340	Zm00008a000340	Sobic.001G506000.1	NA	PASS
Cluster_0267	Zm00008a002226,Zm00008a002228	Zm00008a002228	Sobic.001G283100.1	NA	PASS
Cluster_0268	Zm00008a002230,Zm00008a002231	Zm00008a002230	Sobic.001G282800.1	NA	PASS
Cluster_0269	Zm00008a002237,Zm00008a002238	Zm00008a002237	Sobic.001G282400.1	NA	PASS
Cluster_0270	Zm00008a002254,Zm00008a002253	Zm00008a002254	Sobic.001G282100.1	NA	FAIL
Cluster_0270	Zm00008a002254,Zm00008a002253	Zm00008a002253	Sobic.001G282000.1	NA	PASS
Cluster_0271	Zm00008a000350,Zm00008a000339	Zm00008a000339	Sobic.001G506100.1	NA	PASS
Cluster_0273	Zm00008a002275,Zm00008a002274	Zm00008a002275	Sobic.001G279800.1	NA	FAIL
Cluster_0275	Zm00008a000022,Zm00008a000021	Zm00008a000021	Sobic.001G543900.1	NA	PASS
Cluster_0278	Zm00008a002302,Zm00008a002303	Zm00008a002303	Sobic.001G277900.1	NA	PASS
Cluster_0279	Zm00008a000364,Zm00008a000363	Zm00008a000364	Sobic.001G503000.1	NA	PASS
Cluster_0279	Zm00008a000364,Zm00008a000363	Zm00008a000363	Sobic.001G503100.1	NA	PASS
Cluster_0281	Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002317,Zm00008a002321	Zm00008a002316	Sobic.001G276800.1	NA	PASS
Cluster_0281	Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002317,Zm00008a002321	Zm00008a002317	Sobic.001G276600.1	NA	PASS
Cluster_0281	Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002317,Zm00008a002321	Zm00008a002318	Sobic.001G276400.1	NA	PASS
Cluster_0281	Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002317,Zm00008a002321	Zm00008a002320	Sobic.001G275800.1	NA	PASS
Cluster_0281	Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002317,Zm00008a002321	Zm00008a002321	Sobic.001G275500.2	NA	PASS
Cluster_0283	Zm00008a000368,Zm00008a000369	Zm00008a000369	Sobic.001G502400.1	NA	PASS
Cluster_0283	Zm00008a000368,Zm00008a000369	Zm00008a000368	Sobic.001G502500.1	NA	PASS
