Anchor	Maize1	Maize2
Sobic.009G184400.1.v3.1	Zm00001d038585_T001	Zm00001d010676_T001
Sobic.006G067600.1.v3.1	Zm00001d003813_T001	NA
Sobic.010G138400.1.v3.1	Zm00001d045948_T002	NA
Sobic.009G123000.1.v3.1	NA	Zm00001d009969_T001
Sobic.003G332900.1.v3.1	Zm00001d043108_T001	NA
Sobic.002G042600.1.v3.1	Zm00001d018859_T001	Zm00001d007904_T002
Sobic.006G264201.1.v3.1	Zm00001d001857_T001	Zm00001d026599_T001
Sobic.010G054600.1.v3.1	Zm00001d045192_T008	Zm00001d036322_T001
Sobic.001G530000.1.v3.1	Zm00001d027384_T001	NA
Sobic.007G044900.1.v3.1	Zm00001d024574_T001	NA
Sobic.003G341300.1.v3.1	Zm00001d043023_T001	NA
Sobic.009G159900.1.v3.1	Zm00001d038355_T001	Zm00001d010060_T001
Sobic.009G017200.1.v3.1	Zm00001d035601_T001	Zm00001d011038_T001
Sobic.004G219900.1.v3.1	Zm00001d017270_T001	Zm00001d051156_T001
Sobic.001G509300.1.v3.1	Zm00001d027613_T002	NA
Sobic.003G266001.1.v3.1	Zm00001d043776_T001	NA
Sobic.001G087900.2.v3.1	Zm00001d034034_T001	NA
Sobic.009G140700.1.v3.1	Zm00001d038208_T001	Zm00001d010241_T002
Sobic.006G138400.1.v3.1	Zm00001d003112_T001	NA
Sobic.001G109300.1.v3.1	Zm00001d033830_T001	Zm00001d013389_T004
Sobic.001G528400.1.v3.1	NA	Zm00001d048480_T002
Sobic.004G155100.1.v3.1	Zm00001d016566_T001	NA
Sobic.005G114000.2.v3.1	Zm00001d049218_T001	NA
Sobic.006G116100.1.v3.1	Zm00001d003329_T002	Zm00001d025673_T005
Sobic.009G213600.1.v3.1	Zm00001d038852_T001	NA
Sobic.005G193800.1.v3.1	Zm00001d048804_T001	NA
Sobic.003G084300.3.v3.1	Zm00001d039976_T001	Zm00001d008564_T001
Sobic.003G267400.1.v3.1	NA	Zm00001d011645_T001
Sobic.009G172950.1.v3.1	Zm00001d038467_T001	Zm00001d010611_T001
Sobic.001G408400.1.v3.1	Zm00001d028731_T001	NA
Sobic.003G056100.1.v3.1	Zm00001d039731_T002	NA
Sobic.006G017600.2.v3.1	Zm00001d004409_T002	NA
Sobic.002G369500.1.v3.1	Zm00001d022092_T001	NA
Sobic.001G148500.1.v3.1	Zm00001d033477_T001	Zm00001d013639_T001
Sobic.001G342500.1.v3.1	Zm00001d029457_T001	NA
Sobic.004G219300.1.v3.1	NA	Zm00001d051138_T001
Sobic.006G077400.1.v3.1	Zm00001d003715_T001	NA
Sobic.002G254900.1.v3.1	Zm00001d021016_T001	NA
Sobic.002G398000.1.v3.1	NA	Zm00001d007053_T001
Sobic.001G042200.1.v3.1	Zm00001d034590_T002	Zm00001d013019_T002
Sobic.010G183400.1.v3.1	Zm00001d046405_T001	NA
Sobic.003G321101.1.v3.1	Zm00001d043234_T001	NA
Sobic.003G197400.1.v3.1	Zm00001d044293_T003	NA
Sobic.006G083300.1.v3.1	Zm00001d003655_T005	NA
Sobic.003G265500.1.v3.1	Zm00001d043779_T001	NA
Sobic.006G254900.1.v3.1	Zm00001d001948_T001	Zm00001d026537_T001
Sobic.004G227100.1.v3.1	Zm00001d017363_T001	NA
Sobic.009G252800.2.v3.1	Zm00001d039182_T001	Zm00001d009735_T001
Sobic.008G051000.1.v3.1	Zm00001d023536_T001	NA
Sobic.001G190200.1.v3.1	Zm00001d032409_T001	NA
Sobic.002G361600.1.v3.1	Zm00001d022022_T001	Zm00001d006754_T001
Sobic.006G265700.2.v3.1	Zm00001d001845_T001	NA
Sobic.004G350900.2.v3.1	NA	Zm00001d051875_T001
Sobic.004G340000.1.v3.1	NA	Zm00001d051944_T001
Sobic.005G215200.2.v3.1	Zm00001d048662_T001	NA
Sobic.002G226900.1.v3.1	Zm00001d020728_T005	NA
Sobic.001G028500.1.v3.1	Zm00001d034718_T001	NA
Sobic.007G071600.1.v3.1	Zm00001d024273_T001	NA
Sobic.003G055700.1.v3.1	Zm00001d039719_T001	NA
Sobic.010G082850.1.v3.1	Zm00001d044923_T001	NA
Sobic.001G490000.1.v3.1	NA	Zm00001d048319_T001
Sobic.003G406900.2.v3.1	NA	Zm00001d012010_T001
Sobic.003G183600.2.v3.1	Zm00001d044541_T002	NA
Sobic.008G106900.1.v3.1	NA	Zm00001d041744_T001
Sobic.001G416500.2.v3.1	Zm00001d028664_T001	NA
Sobic.001G054200.1.v3.1	Zm00001d034485_T001	NA
Sobic.004G102400.1.v3.1	Zm00001d016234_T001	Zm00001d053541_T001
Sobic.005G061900.1.v3.1	Zm00001d053059_T002	NA
Sobic.006G210400.1.v3.1	Zm00001d002362_T001	NA
Sobic.006G172200.2.v3.1	Zm00001d002725_T001	Zm00001d026165_T001
Sobic.005G183900.1.v3.1	Zm00001d048860_T001	NA
Sobic.002G094600.1.v3.1	Zm00001d019317_T002	Zm00001d005478_T003
Sobic.005G204600.1.v3.1	Zm00001d048697_T003	NA
Sobic.006G089300.1.v3.1	Zm00001d003603_T001	NA
Sobic.002G368600.1.v3.1	Zm00001d022085_T001	Zm00001d006820_T001
Sobic.007G223400.1.v3.1	Zm00001d031277_T001	Zm00001d052815_T001
Sobic.001G507300.1.v3.1	Zm00001d027630_T001	NA
Sobic.003G384300.1.v3.1	Zm00001d042555_T001	NA
Sobic.009G100300.1.v3.1	Zm00001d038027_T001	NA
Sobic.002G305700.1.v3.1	Zm00001d021515_T001	Zm00001d006398_T001
Sobic.004G158700.1.v3.1	Zm00001d016615_T002	NA
Sobic.004G204500.1.v3.1	Zm00001d017118_T001	NA
Sobic.002G156100.1.v3.1	Zm00001d019980_T001	Zm00001d005520_T001
Sobic.007G047400.1.v3.1	Zm00001d024546_T001	Zm00001d049543_T001
Sobic.006G061700.1.v3.1	Zm00001d003859_T001	Zm00001d025303_T002
Sobic.004G279300.1.v3.1	Zm00001d017642_T001	Zm00001d051480_T001
Sobic.002G115000.1.v3.1	Zm00001d019473_T001	NA
Sobic.004G242300.1.v3.1	Zm00001d017998_T001	Zm00001d052277_T001
Sobic.003G155700.1.v3.1	Zm00001d040757_T001	NA
Sobic.001G089000.1.v3.1	Zm00001d034015_T005	Zm00001d013268_T003
Sobic.001G535400.1.v3.1	Zm00001d027330_T001	NA
Sobic.001G059700.1.v3.1	Zm00001d034414_T001	Zm00001d013089_T001
Sobic.008G141100.1.v3.1	Zm00001d030782_T001	Zm00001d041515_T003
Sobic.006G149500.2.v3.1	NA	Zm00001d025870_T001
Sobic.007G148800.1.v3.1	Zm00001d032073_T001	NA
Sobic.002G090800.1.v3.1	Zm00001d019288_T001	Zm00001d005462_T001
Sobic.010G108500.1.v3.1	Zm00001d045661_T001	Zm00001d037327_T001
Sobic.004G349237.1.v3.1	Zm00001d018510_T001	NA
Sobic.001G095100.1.v3.1	Zm00001d033968_T001	NA
Sobic.002G398400.1.v3.1	Zm00001d022349_T001	NA
Sobic.001G460100.1.v3.1	Zm00001d028187_T001	NA
Sobic.001G354200.1.v3.1	Zm00001d029353_T002	Zm00001d047192_T001
Sobic.003G239700.2.v3.1	Zm00001d044037_T001	NA
Sobic.004G207400.1.v3.1	Zm00001d017139_T001	NA
Sobic.001G028100.1.v3.1	Zm00001d034721_T001	Zm00001d012922_T002
Sobic.001G453200.1.v3.1	Zm00001d028241_T002	Zm00001d048061_T001
Sobic.005G087400.4.v3.1	Zm00001d048993_T001	NA
Sobic.003G381600.1.v3.1	NA	Zm00001d012199_T001
Sobic.010G176500.1.v3.1	Zm00001d046396_T001	NA
Sobic.004G293700.1.v3.1	Zm00001d017501_T001	Zm00001d051373_T001
Sobic.001G490800.1.v3.1	NA	Zm00001d048322_T001
Sobic.002G324200.1.v3.1	Zm00001d021668_T001	NA
Sobic.008G046800.1.v3.1	Zm00001d023510_T001	Zm00001d041918_T001
Sobic.010G013200.1.v3.1	NA	Zm00001d035964_T001
Sobic.003G250900.1.v3.1	Zm00001d043927_T001	NA
Sobic.008G170500.1.v3.1	Zm00001d031068_T001	NA
Sobic.001G346300.1.v3.1	Zm00001d029435_T001	Zm00001d047245_T002
Sobic.004G100900.1.v3.1	Zm00001d016259_T001	NA
Sobic.010G169600.1.v3.1	Zm00001d046221_T003	NA
Sobic.001G092100.1.v3.1	Zm00001d033994_T002	NA
Sobic.004G238400.1.v3.1	Zm00001d018035_T001	NA
Sobic.001G326400.1.v3.1	Zm00001d029613_T001	NA
Sobic.001G502200.1.v3.1	Zm00001d027688_T001	Zm00001d048403_T001
Sobic.009G146400.1.v3.1	Zm00001d038250_T001	NA
Sobic.004G060400.1.v3.1	Zm00001d015430_T001	NA
Sobic.003G028200.1.v3.1	NA	Zm00001d008870_T002
Sobic.008G135100.1.v3.1	NA	Zm00001d041567_T001
Sobic.010G051800.1.v3.1	Zm00001d045212_T001	NA
Sobic.009G026700.1.v3.1	NA	Zm00001d010972_T001
Sobic.001G173400.1.v3.1	Zm00001d033172_T001	NA
Sobic.010G065200.1.v3.1	Zm00001d045111_T001	NA
Sobic.002G032800.1.v3.1	Zm00001d018789_T001	NA
Sobic.002G194700.1.v3.1	Zm00001d020396_T002	NA
Sobic.003G439700.1.v3.1	NA	Zm00001d011802_T001
Sobic.002G409900.1.v3.1	NA	Zm00001d007117_T001
Sobic.009G059300.1.v3.1	Zm00001d037512_T001	NA
Sobic.006G119100.1.v3.1	Zm00001d003310_T001	NA
Sobic.006G120400.1.v3.1	Zm00001d003293_T001	Zm00001d025684_T001
Sobic.004G156800.1.v3.1	Zm00001d016595_T002	NA
Sobic.001G131900.1.v3.1	Zm00001d033556_T002	Zm00001d013524_T002
Sobic.009G139200.1.v3.1	Zm00001d038198_T001	NA
Sobic.008G187700.1.v3.1	Zm00001d031192_T001	NA
Sobic.010G057500.2.v3.1	Zm00001d045171_T002	NA
Sobic.004G204100.1.v3.1	Zm00001d017113_T002	NA
Sobic.004G217450.1.v3.1	Zm00001d017247_T001	Zm00001d051119_T001
Sobic.010G016200.1.v3.1	Zm00001d045514_T001	NA
Sobic.003G030300.1.v3.1	NA	Zm00001d008858_T001
Sobic.004G026100.1.v3.1	NA	Zm00001d053963_T001
Sobic.010G151700.1.v3.1	Zm00001d046072_T001	NA
Sobic.009G237900.1.v3.1	Zm00001d039071_T001	NA
Sobic.007G213200.1.v3.1	Zm00001d031413_T001	Zm00001d052876_T001
Sobic.006G200800.1.v3.1	Zm00001d002454_T001	NA
Sobic.009G250100.1.v3.1	NA	Zm00001d009716_T001
Sobic.005G101300.1.v3.1	Zm00001d049048_T001	NA
Sobic.004G081900.2.v3.1	Zm00001d015798_T001	Zm00001d053655_T001
Sobic.002G373300.1.v3.1	Zm00001d022131_T001	NA
Sobic.002G319700.1.v3.1	Zm00001d021638_T001	NA
Sobic.004G052900.1.v3.1	Zm00001d015344_T001	NA
Sobic.003G190800.1.v3.1	Zm00001d044226_T001	Zm00001d011180_T003
Sobic.009G204200.1.v3.1	Zm00001d038779_T001	NA
Sobic.008G095200.2.v3.1	Zm00001d023661_T001	NA
Sobic.009G210200.3.v3.1	Zm00001d038732_T001	Zm00001d010822_T001
Sobic.001G076100.1.v3.1	Zm00001d034197_T001	Zm00001d013175_T001
Sobic.006G200000.1.v3.1	Zm00001d002475_T001	Zm00001d026206_T001
Sobic.004G330700.1.v3.1	Zm00001d018378_T001	Zm00001d052031_T001
Sobic.002G214700.1.v3.1	NA	Zm00001d005812_T002
Sobic.003G326200.1.v3.1	NA	Zm00001d012572_T001
Sobic.006G183400.1.v3.1	Zm00001d002632_T001	NA
Sobic.002G224000.1.v3.1	NA	Zm00001d005844_T002
Sobic.006G262400.1.v3.1	Zm00001d001877_T001	NA
Sobic.009G026101.1.v3.1	Zm00001d035494_T001	Zm00001d010976_T001
Sobic.003G305000.1.v3.1	Zm00001d043368_T001	NA
Sobic.001G043500.2.v3.1	Zm00001d034578_T001	NA
Sobic.001G216200.1.v3.1	Zm00001d032668_T001	Zm00001d013999_T001
Sobic.009G143200.1.v3.1	Zm00001d038223_T001	NA
Sobic.003G345400.1.v3.1	Zm00001d042977_T001	Zm00001d012451_T001
Sobic.008G074000.1.v3.1	Zm00001d023964_T001	Zm00001d041769_T001
Sobic.002G073900.1.v3.1	Zm00001d019142_T001	NA
Sobic.003G301900.2.v3.1	Zm00001d043401_T001	Zm00001d012701_T001
Sobic.006G149600.1.v3.1	Zm00001d003011_T001	Zm00001d025871_T001
Sobic.001G128900.1.v3.1	Zm00001d033592_T001	NA
Sobic.001G112200.1.v3.1	Zm00001d033793_T001	NA
Sobic.010G022400.1.v3.1	Zm00001d045463_T001	Zm00001d036050_T001
Sobic.002G408100.1.v3.1	Zm00001d022504_T001	NA
Sobic.003G055600.1.v3.1	Zm00001d039718_T001	NA
Sobic.002G393000.1.v3.1	Zm00001d022302_T001	NA
Sobic.002G127550.1.v3.1	Zm00001d019587_T003	NA
Sobic.002G271300.1.v3.1	Zm00001d021248_T002	Zm00001d006180_T001
Sobic.006G205800.2.v3.1	Zm00001d002406_T001	NA
Sobic.003G418900.1.v3.1	Zm00001d042182_T001	NA
Sobic.001G540400.2.v3.1	Zm00001d027299_T001	NA
Sobic.005G017500.2.v3.1	Zm00001d052380_T001	Zm00001d005029_T001
Sobic.001G049200.1.v3.1	Zm00001d034519_T001	NA
Sobic.002G382600.1.v3.1	Zm00001d022199_T002	Zm00001d006916_T001
Sobic.006G125900.1.v3.1	Zm00001d003257_T002	Zm00001d025713_T001
Sobic.003G142100.1.v3.1	NA	Zm00001d009060_T001
Sobic.002G361300.1.v3.1	Zm00001d022010_T004	Zm00001d006751_T001
Sobic.009G246500.1.v3.1	NA	Zm00001d009690_T001
Sobic.001G215500.1.v3.1	Zm00001d032663_T001	Zm00001d013993_T001
Sobic.009G088200.1.v3.1	NA	Zm00001d010043_T001
Sobic.007G196201.1.v3.1	Zm00001d031586_T001	NA
Sobic.003G402100.2.v3.1	Zm00001d042362_T001	Zm00001d012048_T001
Sobic.001G224900.1.v3.1	Zm00001d032771_T001	Zm00001d014066_T001
Sobic.001G358700.1.v3.1	Zm00001d029299_T001	NA
Sobic.002G067800.2.v3.1	Zm00001d019087_T015	Zm00001d007770_T001
Sobic.005G201100.1.v3.1	Zm00001d048731_T011	NA
Sobic.004G287000.1.v3.1	Zm00001d017545_T001	NA
Sobic.009G045000.1.v3.1	Zm00001d024858_T002	NA
Sobic.002G014800.2.v3.1	Zm00001d018699_T001	NA
Sobic.003G159600.1.v3.1	Zm00001d040795_T002	NA
Sobic.002G180900.1.v3.1	Zm00001d020228_T001	Zm00001d005650_T001
Sobic.009G170500.3.v3.1	Zm00001d038437_T001	NA
Sobic.009G148100.1.v3.1	Zm00001d038338_T001	Zm00001d010201_T001
Sobic.001G106900.2.v3.1	Zm00001d033853_T001	NA
Sobic.001G410600.1.v3.1	Zm00001d028707_T001	NA
Sobic.004G198400.1.v3.1	Zm00001d017047_T001	Zm00001d050920_T002
Sobic.003G052300.1.v3.1	Zm00001d039685_T001	NA
Sobic.005G044300.5.v3.1	Zm00001d052779_T001	NA
Sobic.003G294600.1.v3.1	Zm00001d043452_T001	Zm00001d012751_T002
Sobic.003G382200.1.v3.1	Zm00001d042581_T001	NA
Sobic.002G394100.1.v3.1	Zm00001d022309_T002	NA
Sobic.004G259432.1.v3.1	Zm00001d017851_T001	Zm00001d051658_T001
Sobic.003G301500.1.v3.1	NA	Zm00001d012707_T003
Sobic.003G340900.1.v3.1	Zm00001d043026_T001	Zm00001d012484_T002
Sobic.010G001600.1.v3.1	Zm00001d045610_T001	NA
Sobic.003G083300.1.v3.1	Zm00001d039965_T001	Zm00001d008569_T001
Sobic.004G092500.1.v3.1	Zm00001d016378_T001	Zm00001d053589_T002
Sobic.002G353100.1.v3.1	Zm00001d021926_T001	NA
Sobic.001G426300.2.v3.1	Zm00001d028549_T001	NA
Sobic.001G440700.1.v3.1	Zm00001d028384_T003	Zm00001d047958_T001
Sobic.010G092300.1.v3.1	Zm00001d044831_T001	Zm00001d037227_T001
Sobic.009G259700.1.v3.1	NA	Zm00001d009776_T001
Sobic.004G338900.1.v3.1	Zm00001d018437_T001	Zm00001d051952_T001
Sobic.010G132000.1.v3.1	Zm00001d045888_T001	NA
Sobic.004G024300.1.v3.1	Zm00001d015092_T001	NA
Sobic.004G194000.1.v3.1	Zm00001d016998_T001	Zm00001d050911_T001
Sobic.002G330400.1.v3.1	Zm00001d021708_T003	NA
Sobic.004G000100.4.v3.1	Zm00001d014912_T010	NA
Sobic.008G081900.1.v3.1	Zm00001d024009_T001	NA
Sobic.003G003450.1.v3.1	Zm00001d039265_T001	NA
Sobic.004G056300.1.v3.1	NA	Zm00001d053799_T005
Sobic.003G393500.1.v3.1	Zm00001d042461_T001	NA
Sobic.009G171700.1.v3.1	NA	Zm00001d010607_T001
Sobic.001G534000.1.v3.1	Zm00001d027337_T001	NA
Sobic.004G011000.1.v3.1	Zm00001d014988_T001	Zm00001d054047_T001
Sobic.001G155900.1.v3.1	Zm00001d033229_T001	NA
Sobic.004G228000.2.v3.1	NA	Zm00001d051245_T001
Sobic.006G276700.2.v3.1	Zm00001d002889_T002	Zm00001d026680_T001
Sobic.004G082500.1.v3.1	NA	Zm00001d053650_T001
Sobic.007G087000.1.v3.1	Zm00001d024408_T001	Zm00001d050208_T003
Sobic.010G050200.1.v3.1	Zm00001d045233_T002	NA
Sobic.004G275600.1.v3.1	Zm00001d017676_T001	NA
Sobic.003G151200.1.v3.1	Zm00001d040689_T001	NA
Sobic.009G057000.2.v3.1	Zm00001d037528_T001	NA
Sobic.007G038900.1.v3.1	NA	Zm00001d049582_T001
Sobic.001G033500.1.v3.1	Zm00001d034659_T001	Zm00001d012960_T001
Sobic.001G023500.1.v3.1	Zm00001d034754_T001	Zm00001d012895_T003
Sobic.006G242600.1.v3.1	Zm00001d002057_T001	Zm00001d026470_T001
Sobic.001G178500.1.v3.1	Zm00001d033105_T001	Zm00001d013779_T001
Sobic.003G442700.1.v3.1	NA	Zm00001d011790_T001
Sobic.004G303200.1.v3.1	Zm00001d017387_T001	Zm00001d051272_T001
Sobic.010G064000.1.v3.1	Zm00001d045119_T001	NA
Sobic.008G083300.1.v3.1	Zm00001d024047_T001	NA
Sobic.006G053500.1.v3.1	Zm00001d003937_T001	NA
Sobic.001G148800.1.v3.1	NA	Zm00001d013643_T001
Sobic.003G311900.2.v3.1	NA	Zm00001d012651_T004
Sobic.002G265300.1.v3.1	NA	Zm00001d006133_T001
Sobic.002G039200.1.v3.1	Zm00001d018828_T001	NA
Sobic.001G129900.1.v3.1	Zm00001d033580_T001	NA
Sobic.001G240100.2.v3.1	Zm00001d032897_T001	NA
Sobic.003G273200.1.v3.1	Zm00001d043699_T001	NA
Sobic.004G329300.1.v3.1	Zm00001d018370_T001	NA
Sobic.010G177100.1.v3.1	Zm00001d046488_T001	Zm00001d036947_T001
Sobic.001G139700.1.v3.1	Zm00001d033395_T001	NA
Sobic.006G231800.1.v3.1	Zm00001d002154_T007	NA
Sobic.007G185900.1.v3.1	Zm00001d031694_T001	Zm00001d052709_T004
Sobic.007G059700.4.v3.1	Zm00001d024429_T001	NA
Sobic.003G432100.1.v3.1	NA	Zm00001d011835_T001
Sobic.004G282800.1.v3.1	Zm00001d017598_T001	NA
Sobic.001G364700.2.v3.1	Zm00001d029235_T001	NA
Sobic.003G386200.1.v3.1	Zm00001d042534_T002	Zm00001d012171_T001
Sobic.001G448400.1.v3.1	Zm00001d028294_T001	Zm00001d048008_T001
Sobic.001G489900.1.v3.1	Zm00001d027846_T001	NA
Sobic.003G280200.1.v3.1	Zm00001d043610_T001	NA
Sobic.007G136900.1.v3.1	Zm00001d032197_T001	Zm00001d050403_T001
Sobic.002G230100.5.v3.1	Zm00001d020764_T001	Zm00001d005920_T004
Sobic.006G108100.1.v3.1	Zm00001d003405_T001	NA
Sobic.001G441300.1.v3.1	NA	Zm00001d047966_T001
Sobic.001G293700.2.v3.1	NA	Zm00001d047074_T002
Sobic.004G309800.1.v3.1	Zm00001d018179_T013	Zm00001d052157_T005
Sobic.007G084800.1.v3.1	Zm00001d024371_T001	NA
Sobic.008G186100.2.v3.1	Zm00001d031167_T002	NA
Sobic.007G023100.1.v3.1	Zm00001d035134_T001	Zm00001d049651_T001
Sobic.009G025400.1.v3.1	Zm00001d035506_T003	NA
Sobic.002G377000.1.v3.1	NA	Zm00001d006882_T001
Sobic.002G267600.1.v3.1	NA	Zm00001d006154_T001
Sobic.010G116300.1.v3.1	Zm00001d045739_T001	NA
Sobic.004G184900.2.v3.1	Zm00001d016878_T001	NA
Sobic.004G233900.1.v3.1	NA	Zm00001d052231_T002
Sobic.003G332200.1.v3.1	Zm00001d043117_T001	Zm00001d012538_T001
Sobic.004G295200.1.v3.1	NA	Zm00001d051361_T001
Sobic.006G193100.1.v3.1	Zm00001d002534_T001	NA
Sobic.009G215000.1.v3.1	NA	Zm00001d009415_T001
Sobic.005G036200.2.v3.1	Zm00001d052519_T006	NA
Sobic.006G144000.2.v3.1	NA	Zm00001d025837_T001
Sobic.003G432000.1.v3.1	Zm00001d042051_T001	NA
Sobic.002G254000.2.v3.1	Zm00001d021001_T001	NA
Sobic.002G131500.1.v3.1	Zm00001d019644_T002	NA
Sobic.004G085500.1.v3.1	Zm00001d015744_T001	NA
Sobic.005G129600.1.v3.1	Zm00001d049276_T003	NA
Sobic.003G150400.1.v3.1	Zm00001d040682_T001	Zm00001d009160_T001
Sobic.001G292400.2.v3.1	Zm00001d030004_T001	Zm00001d047060_T001
Sobic.004G039400.1.v3.1	Zm00001d015251_T001	NA
Sobic.009G217500.1.v3.1	Zm00001d038884_T001	NA
Sobic.006G067700.1.v3.1	Zm00001d003812_T001	Zm00001d025342_T002
Sobic.002G262200.1.v3.1	Zm00001d021128_T001	NA
Sobic.001G196000.1.v3.1	Zm00001d032464_T001	Zm00001d013859_T002
Sobic.004G205100.1.v3.1	Zm00001d017121_T001	Zm00001d051001_T001
Sobic.003G384200.1.v3.1	NA	Zm00001d012176_T001
Sobic.003G200600.1.v3.1	Zm00001d044315_T001	NA
Sobic.008G150400.1.v3.1	NA	Zm00001d041381_T001
Sobic.009G246100.1.v3.1	Zm00001d039139_T001	Zm00001d009686_T002
Sobic.003G156100.1.v3.1	Zm00001d040763_T001	NA
Sobic.001G519200.1.v3.1	NA	Zm00001d048449_T001
Sobic.006G275500.1.v3.1	Zm00001d002876_T001	NA
Sobic.009G147500.1.v3.1	Zm00001d038252_T001	Zm00001d010210_T001
Sobic.005G147800.1.v3.1	Zm00001d053099_T002	NA
Sobic.003G444500.1.v3.1	NA	Zm00001d011780_T001
Sobic.004G267600.1.v3.1	Zm00001d017773_T001	Zm00001d051568_T001
Sobic.010G010400.1.v3.1	Zm00001d045546_T001	NA
Sobic.005G155800.1.v3.1	Zm00001d053123_T001	NA
Sobic.004G282400.1.v3.1	Zm00001d017604_T001	NA
Sobic.008G191000.1.v3.1	NA	Zm00001d041204_T001
Sobic.007G134700.1.v3.1	Zm00001d032225_T001	NA
Sobic.002G197500.2.v3.1	Zm00001d020426_T001	NA
Sobic.002G341500.1.v3.1	NA	Zm00001d006610_T001
Sobic.004G351800.1.v3.1	NA	Zm00001d051864_T008
Sobic.001G403400.1.v3.1	Zm00001d028787_T001	Zm00001d047706_T001
Sobic.003G137100.1.v3.1	Zm00001d040539_T001	Zm00001d008203_T001
Sobic.001G217200.1.v3.1	Zm00001d032681_T002	NA
Sobic.006G095500.1.v3.1	Zm00001d003534_T001	NA
Sobic.003G083400.1.v3.1	Zm00001d039966_T001	NA
Sobic.004G048800.1.v3.1	Zm00001d015314_T001	NA
Sobic.004G208600.1.v3.1	Zm00001d017151_T001	Zm00001d051020_T001
Sobic.008G186600.2.v3.1	Zm00001d031200_T002	NA
Sobic.001G049800.1.v3.1	Zm00001d034515_T001	NA
Sobic.002G051800.1.v3.1	Zm00001d018939_T001	NA
Sobic.001G238700.1.v3.1	NA	Zm00001d014140_T001
Sobic.004G301700.1.v3.1	Zm00001d017401_T001	Zm00001d051306_T001
Sobic.010G205100.1.v3.1	Zm00001d046595_T001	Zm00001d036749_T001
Sobic.005G119400.3.v3.1	NA	Zm00001d007323_T001
Sobic.002G215200.1.v3.1	Zm00001d020618_T003	Zm00001d005817_T001
Sobic.003G275600.1.v3.1	Zm00001d043669_T001	NA
Sobic.001G172400.1.v3.1	Zm00001d033180_T001	NA
Sobic.006G163200.1.v3.1	Zm00001d002803_T001	NA
Sobic.009G254900.1.v3.1	Zm00001d039174_T001	NA
Sobic.002G031800.1.v3.1	Zm00001d018788_T001	NA
