Gene Model ID	Gene Symbol	Source	Chromosome	Start	End
AC209206.3_FG011	ago1b	MaizeGDB-curated	Chr10	137,506,877	137,513,415
GRMZM2G039455	ago1c	MaizeGDB-curated	Chr2	17,563,301	17,573,156
GRMZM2G361518	ago1d	MaizeGDB-curated	Chr5	64,791,077	64,796,881
GRMZM2G007791	ago2a	MaizeGDB-curated	Chr2	9,973,816	9,981,340
GRMZM2G354867	ago2b	MaizeGDB-curated	Chr10	141,823,070	141,828,449
GRMZM2G589579	ago4a	MaizeGDB-curated	Chr8	2,511,463	2,518,808
GRMZM2G059033	ago5b	MaizeGDB-curated	Chr2	233,385,077	233,392,000
GRMZM2G123063	ago5c	MaizeGDB-curated	Chr5	4,001,278	4,009,529
GRMZM2G347402	ago6	MaizeGDB-curated	Chr7	72,044,775	72,053,779
GRMZM2G106213	agp1	MaizeGDB-curated	Chr2	174,023,583	174,034,507
GRMZM2G027955	agp2	MaizeGDB-curated	Chr6	166,787,452	166,793,059
GRMZM2G391936	agpll1	MaizeGDB-curated	Chr1	273,514,151	273,518,985
GRMZM2G144002	agpll2	MaizeGDB-curated	Chr7	23,769,242	23,780,203
GRMZM2G163437	agpsl1	MaizeGDB-curated	Chr1	221,701,404	221,705,997
GRMZM2G129413	aic1	MaizeGDB-curated	Chr1	119,659,886	119,663,853
GRMZM2G061234	ak1	MaizeGDB-curated	Chr7	159,799,011	159,812,272
GRMZM2G047774	akin1	MaizeGDB-curated	Chr1	299,540,824	299,549,015
GRMZM2G052812	akr1	MaizeGDB-curated	Chr6	64,079,621	64,110,792
GRMZM2G091054	al9	MaizeGDB-curated	Chr8	171,118,734	171,119,464
GRMZM2G057823	ald1	MaizeGDB-curated	Chr3	165,765,568	165,768,179
GRMZM2G066024	ald2	MaizeGDB-curated	Chr8	162,856,704	162,859,417
GRMZM2G125268	aldh2	MaizeGDB-curated	Chr4	165,996,358	165,999,622
GRMZM2G071021	aldh3	MaizeGDB-curated	Chr3	221,771,183	221,775,333
GRMZM2G097706	aldh5	MaizeGDB-curated	Chr3	221,783,373	221,791,498
GRMZM2G148810	alf1	MaizeGDB-curated	Chr6	124,888,239	124,892,792
GRMZM2G050495	alf10	MaizeGDB-curated	Chr10	119,722,635	119,728,067
GRMZM2G158918	alf11	MaizeGDB-curated	Chr8	102,976,534	102,982,864
GRMZM5G893976	alf12	MaizeGDB-curated	Chr8	15,276,414	15,280,931
GRMZM2G080917	alf13	MaizeGDB-curated	Chr3	170,149,613	170,154,226
GRMZM2G156088	alf14	MaizeGDB-curated	Chr10	119,489,514	119,496,893
AC225147.4_FG003	alf15	MaizeGDB-curated	Chr1	292,952,249	292,956,375
GRMZM2G016564	alf16	MaizeGDB-curated	Chr10	119,517,572	119,518,319
GRMZM2G110952	alf17	MaizeGDB-curated	Chr5	2,576,260	2,595,158
GRMZM2G008259	alf18	MaizeGDB-curated	Chr4	11,403,566	11,428,284
GRMZM2G047316	alf19	MaizeGDB-curated	Chr2	158,912,747	158,917,610
GRMZM2G063864	alf2	MaizeGDB-curated	Chr5	174,455,049	174,458,989
GRMZM2G038066	alf3	MaizeGDB-curated	Chr7	165,038,048	165,044,961
GRMZM2G153087	alf4	MaizeGDB-curated	Chr3	135,934,895	135,940,205
GRMZM2G016817	alf5	MaizeGDB-curated	Chr6	147,835,864	147,843,229
GRMZM2G115424	alf6	MaizeGDB-curated	Chr10	31,315,303	31,320,114
GRMZM2G107807	alf7	MaizeGDB-curated	Chr4	120,648,398	120,651,921
GRMZM2G172001	alf8	MaizeGDB-curated	Chr8	164,293,635	164,297,965
GRMZM2G017142	alf9	MaizeGDB-curated	Chr8	125,066,160	125,069,152
GRMZM2G030571	algt1	MaizeGDB-curated	Chr1	56,676,074	56,678,959
GRMZM2G003762	alp1	MaizeGDB-curated	Chr10	4,676,400	4,679,041
GRMZM2G143357	als1	MaizeGDB-curated	Chr4	96,832,612	96,834,891
GRMZM2G143008	als2	MaizeGDB-curated	Chr5	164,024,379	164,026,683
GRMZM2G124963	alt10	MaizeGDB-curated	Chr2	212,180,526	212,185,824
GRMZM2G088064	alt4	MaizeGDB-curated	Chr5	37,251,082	37,256,273
GRMZM2G088028	alt5	MaizeGDB-curated	Chr5	37,248,072	37,250,198
GRMZM2G120563	alt7	MaizeGDB-curated	Chr7	1,309,331	1,321,760
GRMZM5G840582	alt8	MaizeGDB-curated	Chr2	236,204,010	236,208,701
GRMZM2G053999	alt9	MaizeGDB-curated	Chr7	165,787,766	165,790,666
GRMZM2G060400	ami1	MaizeGDB-curated	Chr2	183,985,910	183,988,519
GRMZM2G137676	ami2	MaizeGDB-curated	Chr7	120,006,864	120,009,317
GRMZM2G359298	amo1	MaizeGDB-curated	Chr10	103,645,937	103,651,506
GRMZM2G175140	amt1	MaizeGDB-curated	Chr10	130,101,668	130,103,747
GRMZM2G028736	amt2	MaizeGDB-curated	Chr5	185,705,977	185,707,950
GRMZM2G118950	amt3	MaizeGDB-curated	Chr2	28,938,473	28,940,284
GRMZM2G450125	amyb2	MaizeGDB-curated	Chr1	9,051,958	9,054,939
GRMZM2G175218	amyb4	MaizeGDB-curated	Chr3	1,535,920	1,540,195
GRMZM2G081554	an1	MaizeGDB-curated	Chr1	241,277,428	241,285,679
GRMZM2G325131	ans1	MaizeGDB-curated	Chr2	41,652,488	41,657,690
GRMZM2G171383	ans2	MaizeGDB-curated	Chr10	123,312,541	123,317,141
GRMZM5G837108	ant1	MaizeGDB-curated	Chr5	203,603,047	203,604,860
GRMZM2G064993	anx1	MaizeGDB-curated	Chr6	112,316,067	112,319,639
GRMZM2G061950	anx2	MaizeGDB-curated	Chr5	208,242,490	208,245,487
GRMZM2G141535	ao1	MaizeGDB-curated	Chr1	286,519,501	286,527,285
GRMZM5G899851	ao2	MaizeGDB-curated	Chr5	4,589,117	4,593,360
GRMZM2G019799	ao3	MaizeGDB-curated	Chr1	286,429,198	286,437,131
GRMZM2G141473	ao4	MaizeGDB-curated	Chr1	286,577,038	286,584,000
GRMZM2G406830	ao5	MaizeGDB-curated	Chr7	7,451,202	7,456,538
GRMZM2G077316	aoc1	MaizeGDB-curated	Chr1	76,740,125	76,741,716
GRMZM2G067225	aos1	MaizeGDB-curated	Chr9	145,603,968	145,606,347
GRMZM2G002178	aos2	MaizeGDB-curated	Chr1	28,926,395	28,928,612
GRMZM2G376661	aos3	MaizeGDB-curated	Chr1	280,918,468	280,920,450
GRMZM2G072653	aos4	MaizeGDB-curated	Chr1	280,908,391	280,910,737
AC233960.1_FG002	aox1	MaizeGDB-curated	Chr5	200,032,552	200,035,241
GRMZM2G125669	aox2	MaizeGDB-curated	Chr2	12,345,073	12,348,033
GRMZM2G074743	aox3	MaizeGDB-curated	Chr2	12,274,611	12,276,371
AC195874.2_FG002	ap17	MaizeGDB-curated	Chr2	220,221,529	220,227,569
GRMZM2G082998	apg1	MaizeGDB-curated	Chr1	174,010,202	174,012,244
GRMZM2G007453	apo1	MaizeGDB-curated	Chr2	9,988,448	9,994,999
AC189750.4_FG004	aprl1	MaizeGDB-curated	Chr7	152,388,543	152,391,232
GRMZM2G087254	aprl2	MaizeGDB-curated	Chr2	203,181,028	203,184,356
GRMZM2G042582	aprl3	MaizeGDB-curated	Chr4	180,575,468	180,577,838
GRMZM2G159535	aprl4	MaizeGDB-curated	Chr5	208,428,136	208,430,824
GRMZM2G085249	aprl5	MaizeGDB-curated	Chr1	218,147,403	218,155,498
GRMZM2G141848	aprl6	MaizeGDB-curated	Chr10	24,452,184	24,457,178
GRMZM2G155073	aprl7	MaizeGDB-curated	Chr3	132,867,816	132,870,557
GRMZM2G046231	aprl8	MaizeGDB-curated	Chr1	290,214,394	290,215,834
GRMZM2G025248	aprl9	MaizeGDB-curated	Chr5	3,553,168	3,555,891
GRMZM2G170101	aprt1	MaizeGDB-curated	Chr2	31,501,795	31,510,516
GRMZM2G149952	aps1	MaizeGDB-curated	Chr1	275,157,705	275,161,519
GRMZM2G054300	apx1	MaizeGDB-curated	Chr9	138,678,093	138,682,438
GRMZM2G140667	apx2	MaizeGDB-curated	Chr2	219,258,176	219,261,097
GRMZM2G137839	apx3	MaizeGDB-curated	Chr1	43,682,818	43,686,019
GRMZM2G395844	arf1	MaizeGDB-curated	Chr5	3,055,229	3,058,761
GRMZM2G169820	arftf1	MaizeGDB-curated	Chr1	190,580,078	190,595,543
GRMZM2G338259	arftf10	MaizeGDB-curated	Chr3	156,523,681	156,529,660
GRMZM2G056120	arftf11	MaizeGDB-curated	Chr3	196,638,145	196,644,110
GRMZM2G437460	arftf12	MaizeGDB-curated	Chr3	210,346,707	210,354,569
GRMZM2G378580	arftf13	MaizeGDB-curated	Chr4	23,548,742	23,554,591
GRMZM2G137413	arftf14	MaizeGDB-curated	Chr4	118,717,709	118,723,692
GRMZM2G081406	arftf15	MaizeGDB-curated	Chr4	143,829,841	143,832,631
GRMZM2G028980	arftf16	MaizeGDB-curated	Chr4	237,016,081	237,022,029
GRMZM2G159399	arftf17	MaizeGDB-curated	Chr5	27,964,682	27,969,438
GRMZM2G035405	arftf18	MaizeGDB-curated	Chr5	42,328,068	42,332,365
AC207656.3_FG002	arftf19	MaizeGDB-curated	Chr5	49,282,509	49,284,911
GRMZM2G153233	arftf2	MaizeGDB-curated	Chr1	230,778,452	230,782,861
GRMZM2G102845	arftf20	MaizeGDB-curated	Chr5	78,415,886	78,423,936
GRMZM2G390641	arftf21	MaizeGDB-curated	Chr6	89,284,779	89,287,980
GRMZM2G089640	arftf22	MaizeGDB-curated	Chr6	91,485,004	91,487,958
GRMZM2G441325	arftf23	MaizeGDB-curated	Chr6	158,843,020	158,849,314
GRMZM2G030710	arftf24	MaizeGDB-curated	Chr6	164,719,893	164,725,158
GRMZM2G116557	arftf25	MaizeGDB-curated	Chr8	159,641,546	159,646,951
GRMZM5G874163	arftf26	MaizeGDB-curated	Chr8	173,768,820	173,775,129
GRMZM2G160005	arftf27	MaizeGDB-curated	Chr9	11,128,329	11,140,405
GRMZM2G006042	arftf28	MaizeGDB-curated	Chr10	13,788,443	13,794,457
GRMZM2G086949	arftf29	MaizeGDB-curated	Chr10	146,553,165	146,558,259
GRMZM2G078274	arftf3	MaizeGDB-curated	Chr2	2,271,404	2,279,360
GRMZM2G475882	arftf30	MaizeGDB-curated	Chr10	147,154,383	147,163,265
GRMZM2G023813	arftf31	MaizeGDB-curated	Chr10	148,635,880	148,637,733
GRMZM2G181254	arftf32	MaizeGDB-curated	Chr1	159,192,608	159,194,386
GRMZM2G179121	arftf33	MaizeGDB-curated	Chr1	158,940,439	158,942,519
GRMZM2G081158	arftf34	MaizeGDB-curated	Chr1	173,434,033	173,442,028
GRMZM2G317900	arftf35	MaizeGDB-curated	Chr5	57,456,264	57,463,575
GRMZM2G702026	arftf36	MaizeGDB-curated	Chr5	173,850,054	173,855,670
GRMZM2G075715	arftf37	MaizeGDB-curated	Chr7	39,745,937	39,752,588
GRMZM2G005284	arftf38	MaizeGDB-curated	Chr10	130,985,138	130,987,563
GRMZM2G034840	arftf4	MaizeGDB-curated	Chr2	3,342,917	3,349,175
GRMZM5G808366	arftf5	MaizeGDB-curated	Chr2	26,048,274	26,053,073
GRMZM2G122614	arftf6	MaizeGDB-curated	Chr2	28,604,618	28,606,017
GRMZM2G475263	arftf7	MaizeGDB-curated	Chr3	1,552,179	1,556,524
GRMZM2G352159	arftf8	MaizeGDB-curated	Chr3	107,585,492	107,591,866
GRMZM2G073750	arftf9	MaizeGDB-curated	Chr3	123,881,899	123,888,098
GRMZM2G365731	arid1	MaizeGDB-curated	Chr1	236,206,412	236,245,981
GRMZM5G883993	arid10	MaizeGDB-curated	Chr9	100,869,848	100,876,008
GRMZM2G140156	arid2	MaizeGDB-curated	Chr2	184,041,779	184,053,401
GRMZM2G110109	arid3	MaizeGDB-curated	Chr4	162,151,216	162,155,711
GRMZM2G138976	arid4	MaizeGDB-curated	Chr7	120,237,787	120,284,629
GRMZM2G421899	arid5	MaizeGDB-curated	Chr5	202,662,495	202,668,619
GRMZM2G024976	arid6	MaizeGDB-curated	Chr5	159,240,339	159,247,522
GRMZM2G466292	arid7	MaizeGDB-curated	Chr5	65,453,074	65,462,393
GRMZM2G180654	arid8	MaizeGDB-curated	Chr6	98,248,764	98,255,015
GRMZM5G866423	arid9	MaizeGDB-curated	Chr1	209,583,050	209,585,556
GRMZM2G015384	arp4	MaizeGDB-curated	Chr1	2,874,117	2,894,252
GRMZM2G066460	arpp0	MaizeGDB-curated	Chr6	9,206,517	9,209,074
GRMZM2G102891	arpp2a-2	MaizeGDB-curated	Chr8	72,750,165	72,752,947
GRMZM2G010257	arpp2a-3	MaizeGDB-curated	Chr2	2,550,585	2,552,593
GRMZM2G114954	arpp2b	MaizeGDB-curated	Chr8	98,106,249	98,110,627
GRMZM2G077208	arpp3	MaizeGDB-curated	Chr5	56,870,925	56,872,383
GRMZM2G126821	arpp40	MaizeGDB-curated	Chr9	151,935,786	151,938,224
GRMZM2G126834	arr1	MaizeGDB-curated	Chr9	146,136,871	146,143,251
GRMZM2G409974	arr2	MaizeGDB-curated	Chr9	13,465,293	13,469,635
GRMZM2G099797	arr3	MaizeGDB-curated	Chr1	28,417,831	28,422,778
GRMZM2G360523	arr4	MaizeGDB-curated	Chr9	101,990,935	101,999,695
GRMZM2G133262	arr5	MaizeGDB-curated	Chr5	58,834,080	58,845,813
GRMZM2G177220	arr6	MaizeGDB-curated	Chr3	165,939,858	165,943,821
GRMZM2G100318	arr7	MaizeGDB-curated	Chr8	163,129,203	163,133,084
GRMZM2G479110	arr8	MaizeGDB-curated	Chr5	213,780,789	213,785,593
GRMZM2G140633	asc1	MaizeGDB-curated	Chr7	127,925,177	127,927,750
GRMZM2G418289	asg3	MaizeGDB-curated	Chr1	82,397,413	82,401,819
GRMZM2G074589	asn1	MaizeGDB-curated	Chr9	32,468,024	32,477,360
GRMZM2G093175	asn2	MaizeGDB-curated	Chr3	229,507,263	229,511,632
GRMZM2G053669	asn3	MaizeGDB-curated	Chr1	45,118,780	45,122,813
GRMZM2G078472	asn4	MaizeGDB-curated	Chr9	138,041,002	138,044,999
GRMZM2G395114	ast91	MaizeGDB-curated	Chr2	4,895,674	4,900,685
GRMZM2G127949	atl1	MaizeGDB-curated	Chr3	178,053,577	178,060,075
GRMZM2G101020	atp1	MaizeGDB-curated	Chr3	141,387,560	141,390,705
GRMZM2G113408	atp2	MaizeGDB-curated	Chr6	163,133,778	163,137,313
GRMZM2G171628	atp3	MaizeGDB-curated	Chr2	202,325,435	202,328,872
GRMZM2G128665	atp4	MaizeGDB-curated	Chr1	26,825,757	26,828,101
GRMZM5G862663	atpc1	MaizeGDB-curated	Chr5	208,034,934	208,036,864
GRMZM2G048907	atpc2	MaizeGDB-curated	Chr7	152,868,671	152,870,546
GRMZM2G063754	AY105479	MaizeGDB-curated	Chr6	123,931,291	123,934,591
GRMZM2G303118	AY106040	MaizeGDB-curated	Chr2	14,837,139	14,848,360
GRMZM2G069676	AY106170	MaizeGDB-curated	Chr7	41,746,480	41,810,114
GRMZM2G153138	AY106313	MaizeGDB-curated	Chr3	2,070,509	2,079,118
GRMZM2G068117	AY106825	MaizeGDB-curated	Chr1	293,700,005	293,704,720
GRMZM2G404973	AY107034	MaizeGDB-curated	Chr2	22,692,870	22,695,229
GRMZM2G383404	AY107053	MaizeGDB-curated	Chr6	120,201,718	120,203,603
GRMZM2G085718	AY107200	MaizeGDB-curated	Chr4	229,715,408	229,720,104
GRMZM2G007466	AY107329	MaizeGDB-curated	Chr5	183,171,312	183,177,271
GRMZM2G394212	AY107489	MaizeGDB-curated	Chr1	50,093,597	50,096,783
GRMZM2G467169	AY107496	MaizeGDB-curated	Chr9	12,108,547	12,115,783
GRMZM2G459811	AY109128	MaizeGDB-curated	Chr1	293,870,055	293,875,566
GRMZM2G021605	AY109534	MaizeGDB-curated	Chr4	181,259,476	181,262,496
GRMZM2G028039	AY109543	MaizeGDB-curated	Chr9	149,430,555	149,437,059
GRMZM2G111309	AY109644	MaizeGDB-curated	Chr7	148,490,575	148,493,173
GRMZM2G110198	AY109678	MaizeGDB-curated	Chr1	115,412,522	115,416,244
GRMZM2G004619	AY109917	MaizeGDB-curated	Chr2	199,378,455	199,380,799
GRMZM2G012566	AY109929	MaizeGDB-curated	Chr1	38,552,479	38,555,256
GRMZM2G019267	AY110019	MaizeGDB-curated	Chr1	271,027,530	271,032,041
GRMZM2G139041	AY110160	MaizeGDB-curated	Chr1	295,097,497	295,100,438
GRMZM2G703928	AY110191	MaizeGDB-curated	Chr1	227,428,695	227,431,105
GRMZM2G070011	AY110253	MaizeGDB-curated	Chr4	15,320,600	15,322,087
GRMZM2G031568	AY110297	MaizeGDB-curated	Chr3	67,694,182	67,699,591
GRMZM2G703918	AY110356	MaizeGDB-curated	Chr1	224,142,943	224,149,783
GRMZM2G006047	AY110426	MaizeGDB-curated	Chr1	287,181,576	287,182,811
GRMZM2G032047	AY110435	MaizeGDB-curated	Chr1	46,129,394	46,130,844
GRMZM2G462635	AY110542	MaizeGDB-curated	Chr6	135,110,368	135,111,326
GRMZM2G374302	AY110562	MaizeGDB-curated	Chr4	144,862,958	144,868,207
GRMZM2G149265	AY110569	MaizeGDB-curated	Chr8	167,827,882	167,831,438
GRMZM2G313678	AY110625	MaizeGDB-curated	Chr5	1,033,436	1,038,047
GRMZM2G179308	AY111089	MaizeGDB-curated	Chr5	180,787,355	180,790,720
GRMZM2G018793	AY111333	MaizeGDB-curated	Chr3	93,198,079	93,199,928
GRMZM2G125239	AY111962	MaizeGDB-curated	Chr4	221,138,448	221,144,193
GRMZM2G120440	AY112175	MaizeGDB-curated	Chr1	294,807,181	294,809,796
AF546187.1_FG001	az19D1	MaizeGDB-curated	Chr1	161,790,710	161,791,432
AF546187.1_FG007	az19D2	MaizeGDB-curated	Chr1	162,006,911	162,007,636
GRMZM2G044625	az22z3	MaizeGDB-curated	Chr4	5,122,439	5,123,472
GRMZM2G346897	az22z4	MaizeGDB-curated	Chr4	5,145,291	5,146,364
