Anchor	Maize1	Maize2
LOC_Os03g50420.1.MSUv7.0	Zm00008a004983_T01.v1.1	NA
LOC_Os04g59150.2.MSUv7.0	Zm00008a006743_T01.v1.1	Zm00008a038912_T01.v1.1
LOC_Os01g36090.1.MSUv7.0	Zm00008a014703_T01.v1.1	NA
LOC_Os10g26670.1.MSUv7.0	Zm00008a004404_T01.v1.1	Zm00008a020156_T01.v1.1
LOC_Os11g32030.1.MSUv7.0	Zm00008a015374_T01.v1.1	NA
LOC_Os07g08500.1.MSUv7.0	Zm00008a026949_T01.v1.1	NA
LOC_Os12g39320.1.MSUv7.0	Zm00008a002789_T01.v1.1	NA
LOC_Os11g06670.1.MSUv7.0	Zm00008a018283_T01.v1.1	NA
LOC_Os09g26190.1.MSUv7.0	Zm00008a028137_T01.v1.1	Zm00008a008932_T01.v1.1
LOC_Os07g27490.1.MSUv7.0	Zm00008a027406_T01.v1.1	NA
LOC_Os03g50860.1.MSUv7.0	Zm00008a005007_T01.v1.1	Zm00008a019517_T01.v1.1
LOC_Os02g35760.1.MSUv7.0	Zm00008a022079_T01.v1.1	Zm00008a016528_T01.v1.1
LOC_Os06g49780.1.MSUv7.0	NA	Zm00008a024443_T01.v1.1
LOC_Os04g32600.1.MSUv7.0	Zm00008a007547_T01.v1.1	NA
LOC_Os06g49890.1.MSUv7.0	NA	Zm00008a024434_T01.v1.1
LOC_Os05g49050.1.MSUv7.0	NA	Zm00008a030789_T01.v1.1
LOC_Os03g56090.1.MSUv7.0	Zm00008a005336_T01.v1.1	Zm00008a019313_T01.v1.1
LOC_Os01g62760.1.MSUv7.0	Zm00008a013339_T01.v1.1	Zm00008a032917_T01.v1.1
LOC_Os03g01222.1.MSUv7.0	NA	Zm00008a036237_T01.v1.1
LOC_Os07g43530.1.MSUv7.0	Zm00008a029427_T01.v1.1	Zm00008a009815_T01.v1.1
LOC_Os08g40570.1.MSUv7.0	Zm00008a003299_T01.v1.1	NA
LOC_Os06g49740.1.MSUv7.0	Zm00008a020558_T01.v1.1	Zm00008a024445_T01.v1.1
LOC_Os04g42960.1.MSUv7.0	Zm00008a006918_T01.v1.1	Zm00008a038222_T01.v1.1
LOC_Os02g56280.1.MSUv7.0	Zm00008a023294_T01.v1.1	Zm00008a017396_T01.v1.1
LOC_Os09g10760.1.MSUv7.0	Zm00008a027587_T01.v1.1	NA
LOC_Os06g06820.1.MSUv7.0	Zm00008a033637_T01.v1.1	NA
LOC_Os07g39690.1.MSUv7.0	Zm00008a029218_T01.v1.1	NA
LOC_Os04g37570.1.MSUv7.0	Zm00008a007242_T01.v1.1	Zm00008a037987_T01.v1.1
LOC_Os09g29950.1.MSUv7.0	Zm00008a028365_T01.v1.1	NA
LOC_Os03g63090.1.MSUv7.0	NA	Zm00008a019028_T01.v1.1
LOC_Os08g33370.1.MSUv7.0	Zm00008a003802_T01.v1.1	Zm00008a016198_T01.v1.1
LOC_Os04g53530.1.MSUv7.0	Zm00008a006232_T01.v1.1	NA
LOC_Os03g52770.1.MSUv7.0	NA	Zm00008a019438_T01.v1.1
LOC_Os03g29950.1.MSUv7.0	Zm00008a001734_T01.v1.1	NA
LOC_Os01g15000.1.MSUv7.0	NA	Zm00008a029898_T01.v1.1
LOC_Os07g07880.1.MSUv7.0	Zm00008a026905_T01.v1.1	NA
LOC_Os04g41020.1.MSUv7.0	Zm00008a007038_T01.v1.1	NA
LOC_Os09g31170.1.MSUv7.0	NA	Zm00008a009115_T01.v1.1
LOC_Os08g39830.1.MSUv7.0	Zm00008a003231_T01.v1.1	NA
LOC_Os02g33710.1.MSUv7.0	Zm00008a021970_T01.v1.1	Zm00008a016446_T01.v1.1
LOC_Os04g45750.1.MSUv7.0	Zm00008a006660_T01.v1.1	Zm00008a038330_T01.v1.1
LOC_Os03g51380.1.MSUv7.0	Zm00008a005037_T01.v1.1	Zm00008a019494_T01.v1.1
LOC_Os02g47110.1.MSUv7.0	Zm00008a022718_T01.v1.1	NA
LOC_Os11g32470.1.MSUv7.0	NA	Zm00008a010132_T01.v1.1
LOC_Os01g01295.1.MSUv7.0	Zm00008a011367_T01.v1.1	NA
LOC_Os06g10470.1.MSUv7.0	Zm00008a033437_T01.v1.1	NA
LOC_Os04g39190.1.MSUv7.0	Zm00008a007140_T01.v1.1	NA
LOC_Os04g55650.1.MSUv7.0	NA	Zm00008a038723_T01.v1.1
LOC_Os05g04660.1.MSUv7.0	Zm00008a037450_T01.v1.1	NA
LOC_Os10g40040.1.MSUv7.0	Zm00008a002007_T01.v1.1	NA
LOC_Os02g58120.1.MSUv7.0	NA	Zm00008a017297_T01.v1.1
LOC_Os03g53300.1.MSUv7.0	Zm00008a005154_T01.v1.1	NA
LOC_Os03g57500.1.MSUv7.0	NA	Zm00008a019250_T01.v1.1
LOC_Os06g35814.1.MSUv7.0	Zm00008a034442_T01.v1.1	NA
LOC_Os03g57290.1.MSUv7.0	Zm00008a005413_T01.v1.1	Zm00008a019258_T01.v1.1
LOC_Os06g11970.1.MSUv7.0	NA	Zm00008a025025_T01.v1.1
LOC_Os04g47010.1.MSUv7.0	NA	Zm00008a038473_T01.v1.1
LOC_Os11g05540.1.MSUv7.0	NA	Zm00008a008296_T01.v1.1
LOC_Os10g38040.1.MSUv7.0	Zm00008a001888_T01.v1.1	NA
LOC_Os01g43320.1.MSUv7.0	Zm00008a014404_T01.v1.1	NA
LOC_Os02g17350.1.MSUv7.0	Zm00008a021445_T01.v1.1	NA
LOC_Os10g07290.1.MSUv7.0	Zm00008a002421_T01.v1.1	NA
LOC_Os01g58640.1.MSUv7.0	NA	Zm00008a033075_T01.v1.1
LOC_Os07g30020.1.MSUv7.0	Zm00008a028850_T01.v1.1	Zm00008a009394_T01.v1.1
LOC_Os03g10620.1.MSUv7.0	Zm00008a000665_T01.v1.1	Zm00008a035893_T01.v1.1
LOC_Os02g16000.1.MSUv7.0	Zm00008a021486_T01.v1.1	Zm00008a018413_T01.v1.1
LOC_Os01g20160.1.MSUv7.0	Zm00008a011700_T01.v1.1	NA
LOC_Os08g39150.1.MSUv7.0	Zm00008a003152_T01.v1.1	NA
LOC_Os08g10470.1.MSUv7.0	Zm00008a037089_T01.v1.1	NA
LOC_Os02g01300.1.MSUv7.0	Zm00008a020699_T01.v1.1	NA
LOC_Os04g57630.1.MSUv7.0	Zm00008a005974_T01.v1.1	NA
LOC_Os08g01270.2.MSUv7.0	NA	Zm00008a017961_T01.v1.1
LOC_Os03g10770.1.MSUv7.0	Zm00008a000657_T01.v1.1	Zm00008a035889_T01.v1.1
LOC_Os10g42940.1.MSUv7.0	Zm00008a002252_T01.v1.1	NA
LOC_Os03g15120.1.MSUv7.0	Zm00008a000981_T01.v1.1	NA
LOC_Os01g45750.1.MSUv7.0	Zm00008a014305_T01.v1.1	NA
LOC_Os03g17700.1.MSUv7.0	Zm00008a001159_T01.v1.1	Zm00008a035554_T01.v1.1
LOC_Os01g42850.1.MSUv7.0	NA	Zm00008a032088_T01.v1.1
LOC_Os01g47080.1.MSUv7.0	Zm00008a014241_T01.v1.1	NA
LOC_Os01g09590.1.MSUv7.0	Zm00008a010829_T01.v1.1	NA
LOC_Os11g47670.1.MSUv7.0	Zm00008a014871_T01.v1.1	NA
LOC_Os01g70690.1.MSUv7.0	NA	Zm00008a032555_T01.v1.1
LOC_Os01g49670.1.MSUv7.0	NA	Zm00008a032306_T01.v1.1
LOC_Os09g21180.1.MSUv7.0	NA	Zm00008a008840_T01.v1.1
LOC_Os09g19550.1.MSUv7.0	Zm00008a027804_T01.v1.1	NA
LOC_Os01g49680.1.MSUv7.0	Zm00008a014098_T01.v1.1	NA
LOC_Os05g41080.1.MSUv7.0	Zm00008a026068_T01.v1.1	NA
LOC_Os09g32820.1.MSUv7.0	NA	Zm00008a009171_T01.v1.1
LOC_Os05g25870.1.MSUv7.0	Zm00008a025550_T01.v1.1	NA
LOC_Os01g66710.1.MSUv7.0	Zm00008a013081_T01.v1.1	NA
LOC_Os01g45070.1.MSUv7.0	NA	Zm00008a032154_T01.v1.1
LOC_Os01g13930.1.MSUv7.0	Zm00008a010618_T01.v1.1	NA
LOC_Os09g24710.1.MSUv7.0	NA	Zm00008a008910_T01.v1.1
LOC_Os02g51410.1.MSUv7.0	Zm00008a023002_T01.v1.1	Zm00008a017603_T01.v1.1
LOC_Os02g37910.1.MSUv7.0	Zm00008a022197_T01.v1.1	NA
LOC_Os07g29390.1.MSUv7.0	Zm00008a028697_T01.v1.1	NA
LOC_Os03g46860.1.MSUv7.0	Zm00008a004730_T01.v1.1	NA
LOC_Os11g34310.1.MSUv7.0	NA	Zm00008a010159_T01.v1.1
LOC_Os03g50090.1.MSUv7.0	Zm00008a004960_T01.v1.1	Zm00008a019557_T01.v1.1
LOC_Os07g47250.2.MSUv7.0	Zm00008a029581_T01.v1.1	NA
LOC_Os03g11020.1.MSUv7.0	Zm00008a000630_T01.v1.1	NA
LOC_Os02g53510.1.MSUv7.0	Zm00008a023151_T01.v1.1	NA
LOC_Os01g57930.1.MSUv7.0	Zm00008a013627_T01.v1.1	NA
LOC_Os01g07730.1.MSUv7.0	Zm00008a010976_T01.v1.1	NA
LOC_Os07g23720.1.MSUv7.0	Zm00008a027329_T01.v1.1	NA
LOC_Os05g47545.1.MSUv7.0	Zm00008a026345_T01.v1.1	NA
LOC_Os05g50380.1.MSUv7.0	Zm00008a026539_T01.v1.1	NA
LOC_Os03g26870.1.MSUv7.0	Zm00008a001632_T01.v1.1	NA
LOC_Os02g57710.1.MSUv7.0	NA	Zm00008a017317_T01.v1.1
LOC_Os02g01890.1.MSUv7.0	Zm00008a020724_T01.v1.1	NA
LOC_Os10g41400.1.MSUv7.0	Zm00008a002095_T01.v1.1	NA
LOC_Os01g57110.1.MSUv7.0	NA	Zm00008a033112_T01.v1.1
LOC_Os09g33992.1.MSUv7.0	Zm00008a028573_T01.v1.1	NA
LOC_Os09g12530.1.MSUv7.0	Zm00008a027655_T01.v1.1	NA
LOC_Os12g38620.1.MSUv7.0	Zm00008a002714_T01.v1.1	Zm00008a012292_T01.v1.1
LOC_Os08g35740.1.MSUv7.0	Zm00008a003648_T01.v1.1	Zm00008a015990_T01.v1.1
LOC_Os09g35760.1.MSUv7.0	Zm00008a028621_T01.v1.1	NA
LOC_Os03g02680.1.MSUv7.0	Zm00008a000119_T01.v1.1	Zm00008a036185_T01.v1.1
LOC_Os10g39920.1.MSUv7.0	Zm00008a001997_T01.v1.1	NA
LOC_Os09g30310.1.MSUv7.0	Zm00008a028384_T01.v1.1	Zm00008a009099_T01.v1.1
LOC_Os03g12760.1.MSUv7.0	Zm00008a000845_T01.v1.1	NA
LOC_Os08g36590.1.MSUv7.0	Zm00008a003462_T01.v1.1	Zm00008a015918_T01.v1.1
LOC_Os04g45170.1.MSUv7.0	Zm00008a006689_T01.v1.1	NA
LOC_Os08g32920.1.MSUv7.0	Zm00008a003819_T01.v1.1	NA
LOC_Os03g42240.1.MSUv7.0	Zm00008a004660_T01.v1.1	Zm00008a019781_T01.v1.1
LOC_Os07g06450.1.MSUv7.0	Zm00008a026819_T01.v1.1	NA
LOC_Os07g25430.1.MSUv7.0	Zm00008a027349_T01.v1.1	NA
LOC_Os05g47446.1.MSUv7.0	Zm00008a026340_T01.v1.1	Zm00008a030682_T01.v1.1
LOC_Os01g58730.1.MSUv7.0	NA	Zm00008a033070_T01.v1.1
LOC_Os01g56590.1.MSUv7.0	Zm00008a013696_T01.v1.1	NA
LOC_Os08g38270.1.MSUv7.0	NA	Zm00008a018004_T01.v1.1
LOC_Os05g28950.1.MSUv7.0	Zm00008a025614_T01.v1.1	NA
LOC_Os05g38230.2.MSUv7.0	Zm00008a025930_T01.v1.1	Zm00008a031147_T01.v1.1
LOC_Os02g08364.1.MSUv7.0	Zm00008a021117_T01.v1.1	NA
LOC_Os07g36490.1.MSUv7.0	NA	Zm00008a009538_T01.v1.1
LOC_Os04g01590.1.MSUv7.0	NA	Zm00008a037537_T01.v1.1
LOC_Os12g10850.1.MSUv7.0	Zm00008a036850_T01.v1.1	NA
LOC_Os06g04460.1.MSUv7.0	NA	Zm00008a024201_T01.v1.1
LOC_Os04g33200.1.MSUv7.0	Zm00008a007505_T01.v1.1	Zm00008a037839_T01.v1.1
LOC_Os02g15900.1.MSUv7.0	Zm00008a021492_T01.v1.1	Zm00008a018432_T01.v1.1
LOC_Os03g06910.1.MSUv7.0	Zm00008a000435_T01.v1.1	NA
LOC_Os01g61680.1.MSUv7.0	NA	Zm00008a032965_T01.v1.1
LOC_Os01g50010.1.MSUv7.0	Zm00008a014073_T01.v1.1	NA
LOC_Os08g16930.1.MSUv7.0	Zm00008a036945_T01.v1.1	NA
LOC_Os01g66580.1.MSUv7.0	Zm00008a013092_T01.v1.1	NA
LOC_Os05g07240.1.MSUv7.0	NA	Zm00008a030975_T01.v1.1
LOC_Os03g10860.1.MSUv7.0	Zm00008a000640_T01.v1.1	Zm00008a035884_T01.v1.1
LOC_Os05g09500.1.MSUv7.0	Zm00008a025393_T01.v1.1	NA
LOC_Os09g24480.1.MSUv7.0	Zm00008a028013_T01.v1.1	NA
LOC_Os08g01750.1.MSUv7.0	Zm00008a023466_T01.v1.1	NA
LOC_Os05g30580.1.MSUv7.0	Zm00008a025567_T01.v1.1	NA
LOC_Os03g49770.1.MSUv7.0	Zm00008a004946_T01.v1.1	Zm00008a019573_T01.v1.1
LOC_Os06g09450.1.MSUv7.0	Zm00008a033484_T01.v1.1	NA
LOC_Os03g53540.1.MSUv7.0	Zm00008a005168_T01.v1.1	Zm00008a019413_T01.v1.1
LOC_Os10g01530.1.MSUv7.0	Zm00008a002313_T01.v1.1	NA
LOC_Os03g56200.1.MSUv7.0	Zm00008a005344_T01.v1.1	NA
LOC_Os03g09860.1.MSUv7.0	NA	Zm00008a035932_T01.v1.1
LOC_Os01g55740.1.MSUv7.0	NA	Zm00008a033162_T01.v1.1
LOC_Os06g49830.1.MSUv7.0	NA	Zm00008a024440_T01.v1.1
LOC_Os04g49260.1.MSUv7.0	Zm00008a006481_T01.v1.1	NA
LOC_Os02g49570.1.MSUv7.0	NA	Zm00008a017179_T01.v1.1
LOC_Os05g49790.1.MSUv7.0	Zm00008a026499_T01.v1.1	NA
LOC_Os03g18080.1.MSUv7.0	NA	Zm00008a035536_T01.v1.1
LOC_Os08g02080.1.MSUv7.0	Zm00008a023485_T01.v1.1	Zm00008a015678_T01.v1.1
LOC_Os04g30490.1.MSUv7.0	Zm00008a007672_T01.v1.1	NA
LOC_Os01g48180.1.MSUv7.0	Zm00008a014192_T01.v1.1	Zm00008a032239_T01.v1.1
LOC_Os02g51110.1.MSUv7.0	Zm00008a022977_T01.v1.1	NA
LOC_Os02g10780.1.MSUv7.0	NA	Zm00008a018578_T01.v1.1
LOC_Os01g54440.1.MSUv7.0	Zm00008a013819_T01.v1.1	NA
LOC_Os12g07780.1.MSUv7.0	Zm00008a036561_T01.v1.1	NA
LOC_Os02g06540.1.MSUv7.0	NA	Zm00008a018748_T01.v1.1
LOC_Os01g69050.2.MSUv7.0	Zm00008a012929_T01.v1.1	Zm00008a032640_T01.v1.1
LOC_Os02g57010.1.MSUv7.0	Zm00008a023326_T01.v1.1	NA
LOC_Os08g07850.1.MSUv7.0	Zm00008a037179_T01.v1.1,Zm00008a038684_T01.v1.1	NA
LOC_Os11g05930.1.MSUv7.0	NA	Zm00008a008251_T01.v1.1
LOC_Os12g42090.2.MSUv7.0	Zm00008a002954_T01.v1.1	NA
LOC_Os12g43840.1.MSUv7.0	Zm00008a003038_T01.v1.1	NA
LOC_Os01g03710.1.MSUv7.0	Zm00008a011234_T01.v1.1	Zm00008a030028_T01.v1.1
LOC_Os11g07490.1.MSUv7.0	Zm00008a018158_T01.v1.1	Zm00008a008183_T01.v1.1
LOC_Os01g56570.1.MSUv7.0	NA	Zm00008a033133_T01.v1.1
LOC_Os08g38010.1.MSUv7.0	Zm00008a003107_T01.v1.1	Zm00008a017992_T01.v1.1
LOC_Os06g13660.1.MSUv7.0	Zm00008a033269_T01.v1.1	NA
LOC_Os01g46720.1.MSUv7.0	Zm00008a014262_T01.v1.1	NA
LOC_Os01g59850.1.MSUv7.0	Zm00008a013532_T01.v1.1	NA
LOC_Os01g37480.1.MSUv7.0	Zm00008a014685_T01.v1.1	NA
LOC_Os05g03550.1.MSUv7.0	Zm00008a023781_T01.v1.1	Zm00008a031803_T01.v1.1
LOC_Os06g48620.1.MSUv7.0	NA	Zm00008a024480_T01.v1.1
LOC_Os07g38400.1.MSUv7.0	NA	Zm00008a009597_T01.v1.1
LOC_Os02g32950.1.MSUv7.0	NA	Zm00008a016414_T01.v1.1
LOC_Os02g09850.1.MSUv7.0	Zm00008a021219_T01.v1.1	NA
LOC_Os10g37730.1.MSUv7.0	Zm00008a001877_T01.v1.1	NA
LOC_Os01g69210.1.MSUv7.0	Zm00008a012915_T01.v1.1	NA
LOC_Os06g43760.1.MSUv7.0	Zm00008a034640_T01.v1.1	Zm00008a024675_T01.v1.1
LOC_Os01g49350.1.MSUv7.0	Zm00008a014115_T01.v1.1	NA
LOC_Os09g39200.1.MSUv7.0	Zm00008a027436_T01.v1.1	Zm00008a008612_T01.v1.1
LOC_Os05g11010.1.MSUv7.0	Zm00008a025459_T01.v1.1	NA
LOC_Os02g55140.1.MSUv7.0	Zm00008a023245_T01.v1.1	NA
LOC_Os06g02480.1.MSUv7.0	NA	Zm00008a024120_T01.v1.1
LOC_Os02g15800.1.MSUv7.0	Zm00008a021501_T01.v1.1	NA
LOC_Os03g55870.1.MSUv7.0	Zm00008a005321_T01.v1.1	NA
LOC_Os06g01850.1.MSUv7.0	Zm00008a033936_T01.v1.1	NA
LOC_Os06g51270.1.MSUv7.0	Zm00008a020651_T01.v1.1	Zm00008a024388_T01.v1.1
LOC_Os03g16610.1.MSUv7.0	Zm00008a001071_T01.v1.1	NA
LOC_Os01g61350.1.MSUv7.0	Zm00008a013432_T01.v1.1	Zm00008a032981_T01.v1.1
LOC_Os01g10830.1.MSUv7.0	Zm00008a010761_T01.v1.1	Zm00008a030286_T01.v1.1
LOC_Os02g57630.1.MSUv7.0	Zm00008a023365_T01.v1.1	Zm00008a017324_T01.v1.1
LOC_Os07g46480.1.MSUv7.0	Zm00008a029551_T01.v1.1	NA
LOC_Os06g06750.1.MSUv7.0	Zm00008a033647_T01.v1.1	Zm00008a024335_T01.v1.1
LOC_Os03g27880.1.MSUv7.0	Zm00008a001684_T01.v1.1	NA
LOC_Os03g09230.1.MSUv7.0	NA	Zm00008a035939_T01.v1.1
LOC_Os05g46395.1.MSUv7.0	Zm00008a026318_T01.v1.1	Zm00008a030658_T01.v1.1
LOC_Os04g31700.1.MSUv7.0	Zm00008a007617_T01.v1.1	NA
LOC_Os04g52180.1.MSUv7.0	Zm00008a006316_T01.v1.1	Zm00008a038583_T01.v1.1
LOC_Os10g33810.1.MSUv7.0	Zm00008a004170_T01.v1.1	Zm00008a020022_T01.v1.1
LOC_Os06g38550.1.MSUv7.0	Zm00008a034512_T01.v1.1	NA
LOC_Os06g45800.1.MSUv7.0	NA	Zm00008a024581_T01.v1.1
LOC_Os07g01560.1.MSUv7.0	Zm00008a026649_T01.v1.1	NA
LOC_Os05g40040.1.MSUv7.0	Zm00008a026021_T01.v1.1	Zm00008a031546_T01.v1.1
LOC_Os03g60720.1.MSUv7.0	Zm00008a005649_T01.v1.1	Zm00008a019100_T01.v1.1
LOC_Os03g24600.1.MSUv7.0	Zm00008a001551_T01.v1.1	NA
LOC_Os09g36730.1.MSUv7.0	Zm00008a029759_T01.v1.1	Zm00008a009277_T01.v1.1
LOC_Os05g05560.1.MSUv7.0	NA	Zm00008a031738_T01.v1.1
LOC_Os02g09920.1.MSUv7.0	NA	Zm00008a018631_T01.v1.1
LOC_Os03g17990.2.MSUv7.0	Zm00008a001178_T01.v1.1	Zm00008a035539_T01.v1.1
LOC_Os11g01530.1.MSUv7.0	Zm00008a017650_T01.v1.1	NA
LOC_Os05g14010.1.MSUv7.0	NA	Zm00008a031396_T01.v1.1
LOC_Os01g56470.1.MSUv7.0	Zm00008a013701_T01.v1.1	NA
LOC_Os02g56190.1.MSUv7.0	Zm00008a023288_T01.v1.1	Zm00008a017399_T01.v1.1
LOC_Os07g43970.1.MSUv7.0	Zm00008a029447_T01.v1.1	NA
LOC_Os01g66544.1.MSUv7.0	Zm00008a013094_T01.v1.1	NA
LOC_Os09g32710.1.MSUv7.0	Zm00008a028521_T01.v1.1	Zm00008a009165_T01.v1.1
LOC_Os07g38290.1.MSUv7.0	Zm00008a029138_T01.v1.1	NA
LOC_Os04g33740.1.MSUv7.0	Zm00008a007440_T01.v1.1	Zm00008a037856_T01.v1.1
LOC_Os05g11790.1.MSUv7.0	NA	Zm00008a030284_T01.v1.1
LOC_Os03g08520.1.MSUv7.0	Zm00008a000542_T01.v1.1	NA
LOC_Os03g17440.1.MSUv7.0	Zm00008a001143_T01.v1.1	Zm00008a035565_T01.v1.1
LOC_Os12g31840.1.MSUv7.0	Zm00008a036672_T01.v1.1	NA
LOC_Os10g39980.1.MSUv7.0	Zm00008a002013_T01.v1.1	NA
LOC_Os04g45800.1.MSUv7.0	NA	Zm00008a038331_T01.v1.1
LOC_Os05g39710.1.MSUv7.0	Zm00008a025991_T01.v1.1	NA
LOC_Os02g13290.1.MSUv7.0	Zm00008a021661_T01.v1.1	NA
LOC_Os01g04120.1.MSUv7.0	Zm00008a011202_T01.v1.1	NA
LOC_Os03g16440.1.MSUv7.0	Zm00008a001062_T01.v1.1	Zm00008a035608_T01.v1.1
LOC_Os01g45460.1.MSUv7.0	Zm00008a014316_T01.v1.1	NA
LOC_Os01g13370.1.MSUv7.0	Zm00008a010638_T01.v1.1	NA
LOC_Os06g39060.1.MSUv7.0	Zm00008a034570_T01.v1.1	NA
LOC_Os06g03940.1.MSUv7.0	Zm00008a033855_T01.v1.1	Zm00008a024164_T01.v1.1
LOC_Os03g44484.1.MSUv7.0	Zm00008a004580_T01.v1.1	Zm00008a019746_T01.v1.1
LOC_Os09g02170.1.MSUv7.0	Zm00008a027475_T01.v1.1	NA
LOC_Os03g44540.1.MSUv7.0	Zm00008a004574_T01.v1.1	Zm00008a019743_T01.v1.1
LOC_Os07g33860.1.MSUv7.0	Zm00008a028983_T01.v1.1	Zm00008a009494_T01.v1.1
LOC_Os05g28040.1.MSUv7.0	Zm00008a025661_T01.v1.1	NA
LOC_Os02g49650.1.MSUv7.0	Zm00008a022898_T01.v1.1	NA
LOC_Os02g38170.1.MSUv7.0	Zm00008a022218_T01.v1.1	NA
LOC_Os08g34550.1.MSUv7.0	NA	Zm00008a015955_T01.v1.1
LOC_Os04g58900.1.MSUv7.0	NA	Zm00008a038893_T01.v1.1
LOC_Os10g34010.1.MSUv7.0	Zm00008a004151_T01.v1.1	NA
LOC_Os01g09580.2.MSUv7.0	Zm00008a010830_T01.v1.1	Zm00008a030224_T01.v1.1
LOC_Os08g08840.1.MSUv7.0	Zm00008a037035_T01.v1.1	Zm00008a015481_T01.v1.1
LOC_Os02g50640.1.MSUv7.0	Zm00008a022940_T01.v1.1	NA
LOC_Os07g42250.1.MSUv7.0	NA	Zm00008a009770_T01.v1.1
LOC_Os04g46960.1.MSUv7.0	NA	Zm00008a038475_T01.v1.1
LOC_Os02g35130.1.MSUv7.0	Zm00008a022032_T01.v1.1	Zm00008a016477_T01.v1.1
LOC_Os02g12580.1.MSUv7.0	Zm00008a021697_T01.v1.1	Zm00008a018546_T01.v1.1
LOC_Os08g38710.1.MSUv7.0	Zm00008a003130_T01.v1.1	NA
LOC_Os01g55020.5.MSUv7.0	Zm00008a013795_T01.v1.1	Zm00008a033203_T01.v1.1
LOC_Os12g41160.1.MSUv7.0	NA	Zm00008a012219_T01.v1.1
